group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category,contribution_share_normalized
Cd_mgkg,0.018473,-0.0005504281390057345,1,['x_measured_Cd_mgkg'],negative,0.059618,measured_contribution,0.35726994932889805
As_mgkg,0.015692,0.012976264316217274,1,['x_measured_As_mgkg'],positive,0.050644,measured_contribution,0.3034850887711291
Zn_mgkg,0.005049,0.002437822329692901,1,['x_measured_Zn_mgkg'],positive,0.016294,measured_contribution,0.09764824198352222
CEC_cmolkg,0.002627,-0.0012119549111800996,1,['x_measured_CEC_cmolkg'],negative,0.008479,measured_contribution,0.050806482806637535
Cu_mgkg,0.002254,-0.0021929084850207258,1,['x_measured_Cu_mgkg'],negative,0.007274,measured_contribution,0.04359261981201408
Pb_mgkg,0.002083,-0.0014421726003509996,1,['x_measured_Pb_mgkg'],negative,0.006721,measured_contribution,0.040285460101342215
Hg_mgkg,0.001289,-2.584053191664168e-05,1,['x_measured_Hg_mgkg'],negative,0.004161,measured_contribution,0.024929408579275135
Cr_mgkg,0.001106,-0.0007473615642500183,1,['x_measured_Cr_mgkg'],negative,0.00357,measured_contribution,0.021390167485398216
OC_pct,0.00062,-0.0004963766065269704,1,['x_measured_OC_pct'],negative,0.002,measured_contribution,0.011990871465593937
pH,0.000569,9.160967897740399e-05,1,['x_measured_pH'],positive,0.001837,measured_contribution,0.011004525586972498
ph,0.000527,0.0005274247306380634,1,['x_measured_ph'],positive,0.001702,measured_contribution,0.010192240745754847
Ni_mgkg,0.000491,-0.0003105058937106336,1,['x_measured_Ni_mgkg'],negative,0.001583,measured_contribution,0.009495996596139714
BaP_ngg,0.000316,-0.00031563042573841746,1,['x_measured_BaP_ngg'],negative,0.001019,measured_contribution,0.00611147642439949
SumDDTs_ngg,0.000232,-0.00022732277307135012,1,['x_measured_SumDDTs_ngg'],negative,0.000748,measured_contribution,0.0044869067419641825
SoilBD_gcm3,0.000148,-0.00014780238871971732,1,['x_measured_SoilBD_gcm3'],negative,0.000477,measured_contribution,0.002862337059528875
二苯并[ah]蒽,4.1e-05,-4.1473769170633e-05,1,['x_measured_二苯并[ah]蒽'],negative,0.000134,measured_contribution,0.0007929447259505668
苯并[k]荧蒽,4e-05,-4.044862228908508e-05,1,['x_measured_苯并[k]荧蒽'],negative,0.000131,measured_contribution,0.0007736046106834798
钴,3.6e-05,3.616906662217338e-05,1,['x_measured_钴'],positive,0.000117,measured_contribution,0.0006962441496151317
EC_mScm,1.9e-05,1.058217459784522e-05,1,['x_measured_EC_mScm'],positive,6.1e-05,measured_contribution,0.0003674621900746529
苯并[b]荧蒽,1.7e-05,-1.7134517975378083e-05,1,['x_measured_苯并[b]荧蒽'],negative,5.5e-05,measured_contribution,0.0003287819595404789
水解性氮,1.7e-05,1.650674039733497e-05,1,['x_measured_水解性氮'],positive,5.3e-05,measured_contribution,0.0003287819595404789
"二苯并[a,h]蒽",1.3e-05,-1.2534476122341362e-05,1,"['x_measured_二苯并[a,h]蒽']",negative,4e-05,measured_contribution,0.0002514214984721309
䓛,1.2e-05,-1.2498363350688651e-05,1,['x_measured_䓛'],negative,4e-05,measured_contribution,0.00023208138320504393
萘,1e-05,-1.0110439440932266e-05,1,['x_measured_萘'],negative,3.3e-05,measured_contribution,0.00019340115267086995
TN_gkg,1e-05,9.499360699344267e-06,1,['x_measured_TN_gkg'],positive,3.3e-05,measured_contribution,0.00019340115267086995
"茚并[1,2,3-cd]芘",4e-06,-4.04359411238567e-06,1,"['x_measured_茚并[1,2,3-cd]芘']",negative,1.3e-05,measured_contribution,7.736046106834798e-05
苯并[a]蒽,4e-06,-4.008278615777079e-06,1,['x_measured_苯并[a]蒽'],negative,1.3e-05,measured_contribution,7.736046106834798e-05
速效钾,3e-06,2.8407157639209233e-06,1,['x_measured_速效钾'],positive,9e-06,measured_contribution,5.802034580126098e-05
SumHCHs_ngg,3e-06,2.4539654857617488e-06,1,['x_measured_SumHCHs_ngg'],positive,8e-06,measured_contribution,5.802034580126098e-05
茚并[123-cd]芘,1e-06,-1.0435281568888043e-06,1,['x_measured_茚并[123-cd]芘'],negative,3e-06,measured_contribution,1.9340115267086994e-05
钒,0.0,-4.731697773172079e-08,1,['x_measured_钒'],negative,0.0,measured_contribution,0.0
有效磷,0.0,2.1200969177595617e-08,1,['x_measured_有效磷'],positive,0.0,measured_contribution,0.0
TPH_ngg,0.0,0.0,1,['x_measured_TPH_ngg'],positive,0.0,measured_contribution,0.0
坡度,0.0,0.0,1,['x_measured_坡度'],positive,0.0,measured_contribution,0.0
铍,0.0,0.0,1,['x_measured_铍'],positive,0.0,measured_contribution,0.0
锑,0.0,0.0,1,['x_measured_锑'],positive,0.0,measured_contribution,0.0
