group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
缺失指示_gee_soc_g_kg,0.007345,0.007197768678974148,1,['x_missing_gee_soc_g_kg'],positive,0.024406,missing_signal
缺失指示_TN_gkg,0.005141,-0.005141186051627933,1,['x_missing_TN_gkg'],negative,0.017083,missing_signal
缺失指示_Cu_mgkg,0.002935,0.002935153007642125,1,['x_missing_Cu_mgkg'],positive,0.009753,missing_signal
缺失指示_Cd_mgkg,0.00277,0.0027700167235231144,1,['x_missing_Cd_mgkg'],positive,0.009204,missing_signal
缺失指示_速效钾,0.000498,0.0004979185259595673,1,['x_missing_速效钾'],positive,0.001654,missing_signal
缺失指示_SoilBD_gcm3,0.00042,-0.0004203012040278353,1,['x_missing_SoilBD_gcm3'],negative,0.001397,missing_signal
缺失指示_Ni_mgkg,0.000396,-0.0003958706345412993,1,['x_missing_Ni_mgkg'],negative,0.001315,missing_signal
缺失指示_SumDDTs_ngg,0.000325,-0.00032464671723936566,1,['x_missing_SumDDTs_ngg'],negative,0.001079,missing_signal
缺失指示_Cr_mgkg,0.000197,-0.0001970880311356529,1,['x_missing_Cr_mgkg'],negative,0.000655,missing_signal
缺失指示_䓛,0.000182,0.000181582201147801,1,['x_missing_䓛'],positive,0.000603,missing_signal
缺失指示_Hg_mgkg,9e-05,-9.033875701405928e-05,1,['x_missing_Hg_mgkg'],negative,0.0003,missing_signal
缺失指示_OC_pct,4.6e-05,4.571361108117434e-05,1,['x_missing_OC_pct'],positive,0.000152,missing_signal
缺失指示_As_mgkg,4.1e-05,4.053926219759844e-05,1,['x_missing_As_mgkg'],positive,0.000135,missing_signal
缺失指示_水解性氮,3.4e-05,3.015183917781262e-05,1,['x_missing_水解性氮'],positive,0.000114,missing_signal
缺失指示_坡度,2.9e-05,-2.8659085946020877e-05,1,['x_missing_坡度'],negative,9.5e-05,missing_signal
缺失指示_SumHCHs_ngg,2e-05,1.4413607507435617e-05,1,['x_missing_SumHCHs_ngg'],positive,6.7e-05,missing_signal
缺失指示_Zn_mgkg,1.8e-05,-1.747322515411341e-05,1,['x_missing_Zn_mgkg'],negative,5.9e-05,missing_signal
缺失指示_茚并[123-cd]芘,1.6e-05,1.625171667081159e-05,1,['x_missing_茚并[123-cd]芘'],positive,5.4e-05,missing_signal
缺失指示_PCBs_total,1.2e-05,1.1811456225689056e-05,1,['x_missing_PCBs_total'],positive,3.9e-05,missing_signal
缺失指示_PAHs_total,8e-06,-8.19783399553923e-06,1,['x_missing_PAHs_total'],negative,2.7e-05,missing_signal
"缺失指示_茚并[1,2,3-cd]芘",8e-06,7.766586924064547e-06,1,"['x_missing_茚并[1,2,3-cd]芘']",positive,2.6e-05,missing_signal
缺失指示_苯并[b]荧蒽,6e-06,-6.018457660787904e-06,1,['x_missing_苯并[b]荧蒽'],negative,2e-05,missing_signal
缺失指示_苯并[a]蒽,5e-06,-5.181783971661048e-06,1,['x_missing_苯并[a]蒽'],negative,1.7e-05,missing_signal
缺失指示_PBDEs_total,5e-06,5.115528952220536e-06,1,['x_missing_PBDEs_total'],positive,1.7e-05,missing_signal
缺失指示_苯并[k]荧蒽,5e-06,5.046253306778018e-06,1,['x_missing_苯并[k]荧蒽'],positive,1.7e-05,missing_signal
"缺失指示_二苯并[a,h]蒽",5e-06,4.27788427899221e-06,1,"['x_missing_二苯并[a,h]蒽']",positive,1.7e-05,missing_signal
缺失指示_PFAS_total,5e-06,4.706741584079044e-06,1,['x_missing_PFAS_total'],positive,1.6e-05,missing_signal
缺失指示_pH,1e-06,-9.815644568938312e-07,1,['x_missing_pH'],negative,3e-06,missing_signal
缺失指示_萘,1e-06,9.797921456609224e-07,1,['x_missing_萘'],positive,3e-06,missing_signal
缺失指示_gee_soil_pH,1e-06,3.3211504133522414e-07,1,['x_missing_gee_soil_pH'],positive,3e-06,missing_signal
缺失指示_gee_ndvi,1e-06,7.070758526629277e-07,1,['x_missing_gee_ndvi'],positive,2e-06,missing_signal
缺失指示_gee_aspect_deg,1e-06,6.601822611102826e-07,1,['x_missing_gee_aspect_deg'],positive,2e-06,missing_signal
缺失指示_BaP_ngg,0.0,-1.2378852240480886e-07,1,['x_missing_BaP_ngg'],negative,1e-06,missing_signal
缺失指示_gee_elevation_m,0.0,3.243059910121543e-07,1,['x_missing_gee_elevation_m'],positive,1e-06,missing_signal
缺失指示_gee_precip_annual_mm,0.0,2.3613452334183466e-07,1,['x_missing_gee_precip_annual_mm'],positive,1e-06,missing_signal
缺失指示_gee_slope_deg,0.0,2.2525533368571958e-07,1,['x_missing_gee_slope_deg'],positive,1e-06,missing_signal
缺失指示_gee_temp_mean_c,0.0,1.9566238594187124e-07,1,['x_missing_gee_temp_mean_c'],positive,1e-06,missing_signal
缺失指示_PAEs_total,0.0,-1.0370813058520371e-07,1,['x_missing_PAEs_total'],negative,0.0,missing_signal
缺失指示_EC_mScm,0.0,0.0,1,['x_missing_EC_mScm'],positive,0.0,missing_signal
缺失指示_CEC_cmolkg,0.0,0.0,1,['x_missing_CEC_cmolkg'],positive,0.0,missing_signal
缺失指示_gee_cec_cmol_kg,0.0,0.0,1,['x_missing_gee_cec_cmol_kg'],positive,0.0,missing_signal
缺失指示_Pb_mgkg,0.0,0.0,1,['x_missing_Pb_mgkg'],positive,0.0,missing_signal
缺失指示_gee_sand_pct,0.0,0.0,1,['x_missing_gee_sand_pct'],positive,0.0,missing_signal
缺失指示_gee_silt_pct,0.0,0.0,1,['x_missing_gee_silt_pct'],positive,0.0,missing_signal
缺失指示_gee_nitrogen_g_kg,0.0,0.0,1,['x_missing_gee_nitrogen_g_kg'],positive,0.0,missing_signal
缺失指示_gee_clay_pct,0.0,0.0,1,['x_missing_gee_clay_pct'],positive,0.0,missing_signal
缺失指示_TPH_ngg,0.0,0.0,1,['x_missing_TPH_ngg'],positive,0.0,missing_signal
缺失指示_gee_bulk_density_g_cm3,0.0,0.0,1,['x_missing_gee_bulk_density_g_cm3'],positive,0.0,missing_signal
缺失指示_ph,0.0,0.0,1,['x_missing_ph'],positive,0.0,missing_signal
缺失指示_二苯并[ah]蒽,0.0,0.0,1,['x_missing_二苯并[ah]蒽'],positive,0.0,missing_signal
缺失指示_有效磷,0.0,0.0,1,['x_missing_有效磷'],positive,0.0,missing_signal
缺失指示_钒,0.0,0.0,1,['x_missing_钒'],positive,0.0,missing_signal
缺失指示_钴,0.0,0.0,1,['x_missing_钴'],positive,0.0,missing_signal
缺失指示_铍,0.0,0.0,1,['x_missing_铍'],positive,0.0,missing_signal
缺失指示_锑,0.0,0.0,1,['x_missing_锑'],positive,0.0,missing_signal
