group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category,contribution_share_normalized
Cu_mgkg,0.017079,0.017062511487145285,1,['x_measured_Cu_mgkg'],positive,0.046177,measured_contribution,0.4351559315124337
Pb_mgkg,0.006282,0.004168133513592424,1,['x_measured_Pb_mgkg'],positive,0.016985,measured_contribution,0.16005911129229514
Cd_mgkg,0.004441,0.00091736678113127,1,['x_measured_Cd_mgkg'],positive,0.012006,measured_contribution,0.11315226253567058
Zn_mgkg,0.003285,0.0031627075356447224,1,['x_measured_Zn_mgkg'],positive,0.008883,measured_contribution,0.08369853240929473
As_mgkg,0.001697,0.001613417933957158,1,['x_measured_As_mgkg'],positive,0.004589,measured_contribution,0.04323787199347737
萘,0.001691,-0.00030711095241721186,1,['x_measured_萘'],negative,0.004573,measured_contribution,0.04308499796167957
Hg_mgkg,0.001617,-0.0011428711091861078,1,['x_measured_Hg_mgkg'],negative,0.004373,measured_contribution,0.04119955156950672
Cr_mgkg,0.00064,-0.0006400973606605522,1,['x_measured_Cr_mgkg'],negative,0.001731,measured_contribution,0.016306563391765186
TN_gkg,0.000459,0.00045890504006188454,1,['x_measured_TN_gkg'],positive,0.001241,measured_contribution,0.011694863432531592
速效钾,0.000449,0.0004491632857914629,1,['x_measured_速效钾'],positive,0.001214,measured_contribution,0.011440073379535261
Ni_mgkg,0.000397,0.00039529967867813696,1,['x_measured_Ni_mgkg'],positive,0.001074,measured_contribution,0.01011516510395434
茚并[123-cd]芘,0.000354,-0.00035362818945963313,1,['x_measured_茚并[123-cd]芘'],negative,0.000956,measured_contribution,0.009019567876070117
OC_pct,0.000352,0.0002706697921950357,1,['x_measured_OC_pct'],positive,0.000952,measured_contribution,0.00896860986547085
SumDDTs_ngg,0.000349,0.00034908260063810806,1,['x_measured_SumDDTs_ngg'],positive,0.000944,measured_contribution,0.008892172849571953
SoilBD_gcm3,0.000116,-0.00011607283932279453,1,['x_measured_SoilBD_gcm3'],negative,0.000314,measured_contribution,0.0029555646147574393
苯并[b]荧蒽,3.1e-05,2.7320850918334288e-05,1,['x_measured_苯并[b]荧蒽'],positive,8.3e-05,measured_contribution,0.0007898491642886261
"二苯并[a,h]蒽",4e-06,9.79758410109457e-07,1,"['x_measured_二苯并[a,h]蒽']",positive,9e-06,measured_contribution,0.0001019160211985324
钴,3e-06,-3.4167481836972303e-06,1,['x_measured_钴'],negative,9e-06,measured_contribution,7.64370158988993e-05
"茚并[1,2,3-cd]芘",2e-06,-1.6023248204535126e-06,1,"['x_measured_茚并[1,2,3-cd]芘']",negative,4e-06,measured_contribution,5.09580105992662e-05
钒,0.0,-7.736173744259135e-08,1,['x_measured_钒'],negative,0.0,measured_contribution,0.0
锑,0.0,-6.27011692668801e-08,1,['x_measured_锑'],negative,0.0,measured_contribution,0.0
EC_mScm,0.0,0.0,1,['x_measured_EC_mScm'],positive,0.0,measured_contribution,0.0
BaP_ngg,0.0,0.0,1,['x_measured_BaP_ngg'],positive,0.0,measured_contribution,0.0
CEC_cmolkg,0.0,0.0,1,['x_measured_CEC_cmolkg'],positive,0.0,measured_contribution,0.0
SumHCHs_ngg,0.0,0.0,1,['x_measured_SumHCHs_ngg'],positive,0.0,measured_contribution,0.0
水解性氮,0.0,0.0,1,['x_measured_水解性氮'],positive,0.0,measured_contribution,0.0
有效磷,0.0,0.0,1,['x_measured_有效磷'],positive,0.0,measured_contribution,0.0
坡度,0.0,0.0,1,['x_measured_坡度'],positive,0.0,measured_contribution,0.0
䓛,0.0,0.0,1,['x_measured_䓛'],positive,0.0,measured_contribution,0.0
二苯并[ah]蒽,0.0,0.0,1,['x_measured_二苯并[ah]蒽'],positive,0.0,measured_contribution,0.0
pH,0.0,0.0,1,['x_measured_pH'],positive,0.0,measured_contribution,0.0
ph,0.0,0.0,1,['x_measured_ph'],positive,0.0,measured_contribution,0.0
TPH_ngg,0.0,0.0,1,['x_measured_TPH_ngg'],positive,0.0,measured_contribution,0.0
苯并[k]荧蒽,0.0,0.0,1,['x_measured_苯并[k]荧蒽'],positive,0.0,measured_contribution,0.0
苯并[a]蒽,0.0,0.0,1,['x_measured_苯并[a]蒽'],positive,0.0,measured_contribution,0.0
铍,0.0,0.0,1,['x_measured_铍'],positive,0.0,measured_contribution,0.0
