group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category,contribution_share_normalized
"二苯并[a,h]蒽",0.001407,-0.0014071928949635425,1,"['x_measured_二苯并[a,h]蒽']",negative,0.004676,measured_contribution,0.34100824042656325
As_mgkg,0.001384,-0.0013844263993620899,1,['x_measured_As_mgkg'],negative,0.0046,measured_contribution,0.3354338342220068
BaP_ngg,0.000505,0.0004973768086000555,1,['x_measured_BaP_ngg'],positive,0.001678,measured_contribution,0.12239457101308773
TPH_ngg,0.000156,0.0001564924486469529,1,['x_measured_TPH_ngg'],positive,0.00052,measured_contribution,0.03780901599612215
OC_pct,0.000116,-3.972396238005981e-05,1,['x_measured_OC_pct'],negative,0.000384,measured_contribution,0.02811439650993698
茚并[123-cd]芘,0.000101,-0.00010119294415991363,1,['x_measured_茚并[123-cd]芘'],negative,0.000336,measured_contribution,0.024478914202617545
萘,9.5e-05,9.496871910358755e-05,1,['x_measured_萘'],positive,0.000316,measured_contribution,0.023024721279689773
苯并[a]蒽,8.7e-05,-8.689726422902843e-05,1,['x_measured_苯并[a]蒽'],negative,0.000289,measured_contribution,0.021085797382452736
坡度,7.9e-05,-7.945026995966569e-05,1,['x_measured_坡度'],negative,0.000264,measured_contribution,0.019146873485215703
苯并[k]荧蒽,5e-05,-4.989938645747133e-05,1,['x_measured_苯并[k]荧蒽'],negative,0.000166,measured_contribution,0.012118274357731459
SumDDTs_ngg,2.7e-05,2.73198211271932e-05,1,['x_measured_SumDDTs_ngg'],positive,9.1e-05,measured_contribution,0.006543868153174987
苯并[b]荧蒽,2.6e-05,-2.554735787769796e-05,1,['x_measured_苯并[b]荧蒽'],negative,8.5e-05,measured_contribution,0.006301502666020357
"茚并[1,2,3-cd]芘",2.1e-05,2.090555016392022e-05,1,"['x_measured_茚并[1,2,3-cd]芘']",positive,7e-05,measured_contribution,0.005089675230247212
有效磷,1.7e-05,1.6875616430165095e-05,1,['x_measured_有效磷'],positive,5.6e-05,measured_contribution,0.004120213281628695
铍,1.6e-05,1.5577633261639914e-05,1,['x_measured_铍'],positive,5.2e-05,measured_contribution,0.003877847794474066
SoilBD_gcm3,1e-05,-9.580402577922151e-06,1,['x_measured_SoilBD_gcm3'],negative,3.2e-05,measured_contribution,0.0024236548715462916
速效钾,9e-06,9.069601299429718e-06,1,['x_measured_速效钾'],positive,3e-05,measured_contribution,0.0021812893843916625
䓛,5e-06,5.131750039508131e-06,1,['x_measured_䓛'],positive,1.7e-05,measured_contribution,0.0012118274357731458
水解性氮,5e-06,1.5529934617114178e-06,1,['x_measured_水解性氮'],positive,1.6e-05,measured_contribution,0.0012118274357731458
Cu_mgkg,4e-06,-4.3005560050623886e-06,1,['x_measured_Cu_mgkg'],negative,1.4e-05,measured_contribution,0.0009694619486185166
Hg_mgkg,3e-06,-3.030107622367113e-06,1,['x_measured_Hg_mgkg'],negative,1e-05,measured_contribution,0.0007270964614638875
pH,2e-06,-1.8975065882206593e-06,1,['x_measured_pH'],negative,6e-06,measured_contribution,0.0004847309743092583
Ni_mgkg,1e-06,1.468375792251582e-06,1,['x_measured_Ni_mgkg'],positive,5e-06,measured_contribution,0.00024236548715462914
Zn_mgkg,0.0,-3.9272625164430795e-07,1,['x_measured_Zn_mgkg'],negative,1e-06,measured_contribution,0.0
二苯并[ah]蒽,0.0,0.0,1,['x_measured_二苯并[ah]蒽'],positive,0.0,measured_contribution,0.0
SumHCHs_ngg,0.0,0.0,1,['x_measured_SumHCHs_ngg'],positive,0.0,measured_contribution,0.0
TN_gkg,0.0,0.0,1,['x_measured_TN_gkg'],positive,0.0,measured_contribution,0.0
ph,0.0,0.0,1,['x_measured_ph'],positive,0.0,measured_contribution,0.0
Pb_mgkg,0.0,0.0,1,['x_measured_Pb_mgkg'],positive,0.0,measured_contribution,0.0
Cr_mgkg,0.0,0.0,1,['x_measured_Cr_mgkg'],positive,0.0,measured_contribution,0.0
Cd_mgkg,0.0,0.0,1,['x_measured_Cd_mgkg'],positive,0.0,measured_contribution,0.0
CEC_cmolkg,0.0,0.0,1,['x_measured_CEC_cmolkg'],positive,0.0,measured_contribution,0.0
EC_mScm,0.0,0.0,1,['x_measured_EC_mScm'],positive,0.0,measured_contribution,0.0
钒,0.0,0.0,1,['x_measured_钒'],positive,0.0,measured_contribution,0.0
钴,0.0,0.0,1,['x_measured_钴'],positive,0.0,measured_contribution,0.0
锑,0.0,0.0,1,['x_measured_锑'],positive,0.0,measured_contribution,0.0
