group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category,contribution_share_normalized
Cd_mgkg,0.023933,-0.00039268848002831737,1,['x_measured_Cd_mgkg'],negative,0.097066,measured_contribution,0.3149286137245872
As_mgkg,0.01733,0.01207590129733462,1,['x_measured_As_mgkg'],positive,0.070286,measured_contribution,0.2280413185077966
Zn_mgkg,0.010286,0.0047028589570316075,1,['x_measured_Zn_mgkg'],positive,0.041719,measured_contribution,0.13535100993486415
Pb_mgkg,0.008459,0.0025310452990219916,1,['x_measured_Pb_mgkg'],positive,0.034306,measured_contribution,0.11130995460227647
Cu_mgkg,0.006005,-0.0005009473393063528,1,['x_measured_Cu_mgkg'],negative,0.024353,measured_contribution,0.07901835647082045
OC_pct,0.005552,-0.005278080622789632,1,['x_measured_OC_pct'],negative,0.022519,measured_contribution,0.0730574379893414
Hg_mgkg,0.002487,5.6473290227299964e-06,1,['x_measured_Hg_mgkg'],positive,0.010086,measured_contribution,0.0327258372261333
Cr_mgkg,0.000854,-0.0005027571435901139,1,['x_measured_Cr_mgkg'],negative,0.003462,measured_contribution,0.011237581419830254
ph,0.000402,0.00040131851925692506,1,['x_measured_ph'],positive,0.001629,measured_contribution,0.005289821698795974
Ni_mgkg,0.000399,-0.0002601609782075131,1,['x_measured_Ni_mgkg'],negative,0.001618,measured_contribution,0.0052503454174616755
pH,9.7e-05,4.633069722766198e-05,1,['x_measured_pH'],positive,0.000395,measured_contribution,0.001276399763142312
SoilBD_gcm3,8.2e-05,-8.219396626093334e-05,1,['x_measured_SoilBD_gcm3'],negative,0.000333,measured_contribution,0.0010790183564708205
CEC_cmolkg,3.1e-05,1.2032602436465921e-05,1,['x_measured_CEC_cmolkg'],positive,0.000126,measured_contribution,0.00040792157378774925
钴,1.3e-05,2.239467340230394e-06,1,['x_measured_钴'],positive,5.4e-05,measured_contribution,0.00017106388578195934
EC_mScm,1.2e-05,-1.1671705187835801e-05,1,['x_measured_EC_mScm'],negative,4.8e-05,measured_contribution,0.00015790512533719325
TN_gkg,1e-05,8.355498646852852e-06,1,['x_measured_TN_gkg'],positive,3.9e-05,measured_contribution,0.00013158760444766104
速效钾,9e-06,-8.997323905606975e-06,1,['x_measured_速效钾'],negative,3.6e-05,measured_contribution,0.00011842884400289494
水解性氮,9e-06,-5.439006443515751e-06,1,['x_measured_水解性氮'],negative,3.6e-05,measured_contribution,0.00011842884400289494
SumHCHs_ngg,8e-06,-6.914258748363168e-06,1,['x_measured_SumHCHs_ngg'],negative,3.1e-05,measured_contribution,0.00010527008355812883
苯并[a]蒽,7e-06,7.481964315190001e-06,1,['x_measured_苯并[a]蒽'],positive,3e-05,measured_contribution,9.211132311336273e-05
SumDDTs_ngg,6e-06,-4.800209429661424e-06,1,['x_measured_SumDDTs_ngg'],negative,2.4e-05,measured_contribution,7.895256266859662e-05
䓛,2e-06,2.34236005537431e-06,1,['x_measured_䓛'],positive,1e-05,measured_contribution,2.6317520889532207e-05
"二苯并[a,h]蒽",1e-06,7.667484989144218e-07,1,"['x_measured_二苯并[a,h]蒽']",positive,3e-06,measured_contribution,1.3158760444766103e-05
BaP_ngg,1e-06,6.512219024928935e-07,1,['x_measured_BaP_ngg'],positive,3e-06,measured_contribution,1.3158760444766103e-05
苯并[k]荧蒽,0.0,1.726152772556608e-07,1,['x_measured_苯并[k]荧蒽'],positive,2e-06,measured_contribution,0.0
有效磷,0.0,-3.0972075435077157e-07,1,['x_measured_有效磷'],negative,1e-06,measured_contribution,0.0
钒,0.0,1.0311481944287458e-07,1,['x_measured_钒'],positive,1e-06,measured_contribution,0.0
"茚并[1,2,3-cd]芘",0.0,8.119859736486249e-08,1,"['x_measured_茚并[1,2,3-cd]芘']",positive,1e-06,measured_contribution,0.0
萘,0.0,-4.639543722701752e-08,1,['x_measured_萘'],negative,0.0,measured_contribution,0.0
苯并[b]荧蒽,0.0,-4.581137732303207e-08,1,['x_measured_苯并[b]荧蒽'],negative,0.0,measured_contribution,0.0
锑,0.0,-3.794616265384225e-08,1,['x_measured_锑'],negative,0.0,measured_contribution,0.0
茚并[123-cd]芘,0.0,2.8474953811425456e-08,1,['x_measured_茚并[123-cd]芘'],positive,0.0,measured_contribution,0.0
二苯并[ah]蒽,0.0,2.584697178037081e-09,1,['x_measured_二苯并[ah]蒽'],positive,0.0,measured_contribution,0.0
坡度,0.0,0.0,1,['x_measured_坡度'],positive,0.0,measured_contribution,0.0
TPH_ngg,0.0,0.0,1,['x_measured_TPH_ngg'],positive,0.0,measured_contribution,0.0
铍,0.0,0.0,1,['x_measured_铍'],positive,0.0,measured_contribution,0.0
