group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
缺失指示_gee_nitrogen_g_kg,0.054104,0.054103911260134654,1,['x_missing_gee_nitrogen_g_kg'],positive,0.219428,missing_signal
缺失指示_EC_mScm,0.049665,0.04966544250910362,1,['x_missing_EC_mScm'],positive,0.201427,missing_signal
缺失指示_Cu_mgkg,0.019194,0.002722337455081183,1,['x_missing_Cu_mgkg'],positive,0.077843,missing_signal
缺失指示_Zn_mgkg,0.011408,-0.006253984315315713,1,['x_missing_Zn_mgkg'],negative,0.046266,missing_signal
缺失指示_Cd_mgkg,0.008481,-0.008090538401896193,1,['x_missing_Cd_mgkg'],negative,0.034395,missing_signal
缺失指示_Cr_mgkg,0.007875,-0.007654787036504155,1,['x_missing_Cr_mgkg'],negative,0.031936,missing_signal
缺失指示_Pb_mgkg,0.005597,-0.005388018903834673,1,['x_missing_Pb_mgkg'],negative,0.022699,missing_signal
缺失指示_Ni_mgkg,0.002874,-0.0011395744720346672,1,['x_missing_Ni_mgkg'],negative,0.011658,missing_signal
缺失指示_gee_ndvi,0.0014,0.0009604797445318485,1,['x_missing_gee_ndvi'],positive,0.005679,missing_signal
缺失指示_As_mgkg,0.00119,-0.0011698355747924555,1,['x_missing_As_mgkg'],negative,0.004825,missing_signal
缺失指示_gee_sand_pct,0.000959,0.00014186668262906906,1,['x_missing_gee_sand_pct'],positive,0.00389,missing_signal
缺失指示_OC_pct,0.000821,0.00020807016775222287,1,['x_missing_OC_pct'],positive,0.00333,missing_signal
缺失指示_gee_bulk_density_g_cm3,0.000712,7.852054341321644e-05,1,['x_missing_gee_bulk_density_g_cm3'],positive,0.002886,missing_signal
缺失指示_坡度,0.000642,0.0006397900076026428,1,['x_missing_坡度'],positive,0.002602,missing_signal
缺失指示_gee_cec_cmol_kg,0.000582,0.0004739706323419565,1,['x_missing_gee_cec_cmol_kg'],positive,0.002362,missing_signal
