group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
缺失指示_gee_nitrogen_g_kg,0.102978,0.1029776950265181,1,['x_missing_gee_nitrogen_g_kg'],positive,0.332339,missing_signal
缺失指示_EC_mScm,0.081933,0.08193274039097863,1,['x_missing_EC_mScm'],positive,0.264421,missing_signal
缺失指示_Hg_mgkg,0.016729,-0.014237313589683076,1,['x_missing_Hg_mgkg'],negative,0.05399,missing_signal
缺失指示_Pb_mgkg,0.008729,-0.008477214731617605,1,['x_missing_Pb_mgkg'],negative,0.028172,missing_signal
缺失指示_Cu_mgkg,0.008371,-0.00292781064860118,1,['x_missing_Cu_mgkg'],negative,0.027015,missing_signal
缺失指示_Cr_mgkg,0.006376,-0.005897437034852917,1,['x_missing_Cr_mgkg'],negative,0.020579,missing_signal
缺失指示_Zn_mgkg,0.005493,-0.0037860264185106177,1,['x_missing_Zn_mgkg'],negative,0.017726,missing_signal
缺失指示_As_mgkg,0.005474,-0.005324123872620689,1,['x_missing_As_mgkg'],negative,0.017667,missing_signal
缺失指示_Cd_mgkg,0.005016,-0.00490150117253498,1,['x_missing_Cd_mgkg'],negative,0.016189,missing_signal
缺失指示_坡度,0.004757,0.004757033490443659,1,['x_missing_坡度'],positive,0.015352,missing_signal
缺失指示_Ni_mgkg,0.003301,-0.0005859125359101992,1,['x_missing_Ni_mgkg'],negative,0.010654,missing_signal
缺失指示_gee_elevation_m,0.001269,0.001268548433929152,1,['x_missing_gee_elevation_m'],positive,0.004094,missing_signal
缺失指示_gee_bulk_density_g_cm3,0.001164,0.00116358976596837,1,['x_missing_gee_bulk_density_g_cm3'],positive,0.003755,missing_signal
缺失指示_gee_ndvi,0.001067,0.0010665267205522873,1,['x_missing_gee_ndvi'],positive,0.003442,missing_signal
缺失指示_gee_slope_deg,0.000536,0.0005362433439186453,1,['x_missing_gee_slope_deg'],positive,0.001731,missing_signal
缺失指示_水解性氮,0.00047,0.0004702351548362946,1,['x_missing_水解性氮'],positive,0.001518,missing_signal
缺失指示_TN_gkg,0.000463,0.0004630080378629808,1,['x_missing_TN_gkg'],positive,0.001494,missing_signal
缺失指示_CEC_cmolkg,0.000409,0.0004091856057006104,1,['x_missing_CEC_cmolkg'],positive,0.001321,missing_signal
缺失指示_OC_pct,0.000369,0.0002463165478658731,1,['x_missing_OC_pct'],positive,0.001191,missing_signal
缺失指示_gee_cec_cmol_kg,0.000342,0.00032761252197628996,1,['x_missing_gee_cec_cmol_kg'],positive,0.001102,missing_signal
缺失指示_PAEs_total,0.000325,-0.0002335668727665741,1,['x_missing_PAEs_total'],negative,0.001048,missing_signal
