paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P01414,CA,Cr_mgkg,31.90,mg/kg,Table S1 (SI),soil,mining,Hunan,"CA=Control Area field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,CA,Ni_mgkg,8.29,mg/kg,Table S1 (SI),soil,mining,Hunan,"CA=Control Area field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,CA,Cu_mgkg,22.50,mg/kg,Table S1 (SI),soil,mining,Hunan,"CA=Control Area field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,CA,Zn_mgkg,67.83,mg/kg,Table S1 (SI),soil,mining,Hunan,"CA=Control Area field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,CA,As_mgkg,17.00,mg/kg,Table S1 (SI),soil,mining,Hunan,"CA=Control Area field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,CA,Cd_mgkg,1.42,mg/kg,Table S1 (SI),soil,mining,Hunan,"CA=Control Area field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,CA,Pb_mgkg,31.92,mg/kg,Table S1 (SI),soil,mining,Hunan,"CA=Control Area field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,RA,Cr_mgkg,124.60,mg/kg,Table S1 (SI),soil,mining,Hunan,"RA=Restoration Area (Mn mine) field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,RA,Ni_mgkg,25.53,mg/kg,Table S1 (SI),soil,mining,Hunan,"RA=Restoration Area (Mn mine) field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,RA,Cu_mgkg,21.57,mg/kg,Table S1 (SI),soil,mining,Hunan,"RA=Restoration Area (Mn mine) field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,RA,Zn_mgkg,89.95,mg/kg,Table S1 (SI),soil,mining,Hunan,"RA=Restoration Area (Mn mine) field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,RA,As_mgkg,46.84,mg/kg,Table S1 (SI),soil,mining,Hunan,"RA=Restoration Area (Mn mine) field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,RA,Cd_mgkg,0.59,mg/kg,Table S1 (SI),soil,mining,Hunan,"RA=Restoration Area (Mn mine) field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
P01414,RA,Pb_mgkg,63.03,mg/kg,Table S1 (SI),soil,mining,Hunan,"RA=Restoration Area (Mn mine) field soil baseline; SI Table S1; ICP-MS; Hg not measured; OP absent"
