paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P00217,S1,Cd_mgkg,0.24,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿100m"
P00217,S1,Cr_mgkg,140,mg/kg,Table 1,soil,mining,Sichuan,"原表值0.14×10^3换算;距铀尾矿100m"
P00217,S1,Cu_mgkg,6.89,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿100m"
P00217,S1,Ni_mgkg,320,mg/kg,Table 1,soil,mining,Sichuan,"原表值0.32×10^3换算;距铀尾矿100m"
P00217,S1,Zn_mgkg,19.4,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿100m"
P00217,S1,Pb_mgkg,49.3,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿100m"
P00217,S1,OCP_total_ngg,51.5,ng/g,Table 1,soil,mining,Sichuan,"OCS为HCH(4异构体)+DDT类总和;论文Table1仅给OCS总量未拆分HCH/DDT;原表mg/kg×10^-3=ng/g;距铀尾矿100m"
P00217,S2,Cd_mgkg,0.21,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿200m"
P00217,S2,Cr_mgkg,110,mg/kg,Table 1,soil,mining,Sichuan,"原表值0.11×10^3换算;距铀尾矿200m"
P00217,S2,Cu_mgkg,5.90,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿200m"
P00217,S2,Ni_mgkg,280,mg/kg,Table 1,soil,mining,Sichuan,"原表值0.28×10^3换算;距铀尾矿200m"
P00217,S2,Zn_mgkg,17.7,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿200m"
P00217,S2,Pb_mgkg,49.7,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿200m"
P00217,S2,OCP_total_ngg,55.1,ng/g,Table 1,soil,mining,Sichuan,"OCS为HCH(4异构体)+DDT类总和;论文Table1仅给OCS总量未拆分HCH/DDT;原表mg/kg×10^-3=ng/g;距铀尾矿200m"
P00217,S3,Cd_mgkg,0.25,mg/kg,Table 1,soil,mining,Sichuan,"直接读取;距铀尾矿300m"
P00217,S3,Cr_mgkg,80,mg/kg,Table 1,soil,mining,Sichuan,"原表值0.08×10^3换算;距铀尾矿300m"
