paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Cd_mgkg,0.13,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,Cd_mgkg,1.08,Unknown,table_p5_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Cd_mgkg,0.15,Unknown,table_p5_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,Cd_mgkg,0.03,Unknown,table_p5_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,Cd_mgkg,0.05,Unknown,table_p5_ri3_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,Cd_mgkg,0.09,Unknown,table_p5_ri3_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,Cd_mgkg,0.14,Unknown,table_p5_ri3_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,Cd_mgkg,0.23,Unknown,table_p5_ri3_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Cr_mgkg,220.27,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,Cr_mgkg,5.34,Unknown,table_p5_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Cr_mgkg,33.16,Unknown,table_p5_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,Cr_mgkg,20.41,Unknown,table_p5_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,Cr_mgkg,26.67,Unknown,table_p5_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,Cr_mgkg,39.26,Unknown,table_p5_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,Cr_mgkg,49.6,Unknown,table_p5_ri4_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,Cr_mgkg,60.98,Unknown,table_p5_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,As_mgkg,5.38,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,As_mgkg,0.5,Unknown,table_p5_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,As_mgkg,10.88,Unknown,table_p5_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,As_mgkg,4.4,Unknown,table_p5_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,As_mgkg,6.2,Unknown,table_p5_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,As_mgkg,10.1,Unknown,table_p5_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,As_mgkg,14.6,Unknown,table_p5_ri5_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,As_mgkg,19.0,Unknown,table_p5_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Hg_mgkg,0.05,Unknown,table_p5_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,Hg_mgkg,1.25,Unknown,table_p5_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Hg_mgkg,0.02,Unknown,table_p5_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,Hg_mgkg,0.01,Unknown,table_p5_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,Hg_mgkg,0.01,Unknown,table_p5_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,Hg_mgkg,0.02,Unknown,table_p5_ri6_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,Hg_mgkg,0.05,Unknown,table_p5_ri6_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,Hg_mgkg,0.12,Unknown,table_p5_ri6_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Pb_mgkg,9.94,Unknown,table_p5_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,Pb_mgkg,0.41,Unknown,table_p5_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Pb_mgkg,20.7,Unknown,table_p5_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,Pb_mgkg,16.54,Unknown,table_p5_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,Pb_mgkg,19.71,Unknown,table_p5_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,Pb_mgkg,23.41,Unknown,table_p5_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,Pb_mgkg,27.33,Unknown,table_p5_ri7_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,Pb_mgkg,31.38,Unknown,table_p5_ri7_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Cu_mgkg,90.28,Unknown,table_p5_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,Cu_mgkg,5.43,Unknown,table_p5_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Cu_mgkg,18.53,Unknown,table_p5_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,Cu_mgkg,8.53,Unknown,table_p5_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,Cu_mgkg,11.56,Unknown,table_p5_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,Cu_mgkg,15.6,Unknown,table_p5_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,Cu_mgkg,19.6,Unknown,table_p5_ri8_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,Cu_mgkg,24.49,Unknown,table_p5_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Zn_mgkg,272.6,Unknown,table_p5_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,Zn_mgkg,5.02,Unknown,table_p5_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Zn_mgkg,43.26,Unknown,table_p5_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,Zn_mgkg,29.03,Unknown,table_p5_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,Zn_mgkg,38.19,Unknown,table_p5_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,Zn_mgkg,49.27,Unknown,table_p5_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,Zn_mgkg,64.36,Unknown,table_p5_ri9_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,Zn_mgkg,81.65,Unknown,table_p5_ri9_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Ni_mgkg,117.52,Unknown,table_p5_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,Ni_mgkg,6.07,Unknown,table_p5_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Ni_mgkg,23.06,Unknown,table_p5_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,Ni_mgkg,9.04,Unknown,table_p5_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,Ni_mgkg,12.78,Unknown,table_p5_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,Ni_mgkg,18.16,Unknown,table_p5_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,Ni_mgkg,22.9,Unknown,table_p5_ri10_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,Ni_mgkg,28.8,Unknown,table_p5_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Mn_mgkg,2760.76,Unknown,table_p5_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,V_mgkg,2760.76,Unknown,table_p5_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Mn_mgkg,712.58,Unknown,table_p5_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,V_mgkg,712.58,Unknown,table_p5_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,Mn_mgkg,324.55,Unknown,table_p5_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,V_mgkg,324.55,Unknown,table_p5_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,Mn_mgkg,391.12,Unknown,table_p5_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,V_mgkg,391.12,Unknown,table_p5_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,Mn_mgkg,512.55,Unknown,table_p5_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,V_mgkg,512.55,Unknown,table_p5_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,Mn_mgkg,650.54,Unknown,table_p5_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,V_mgkg,650.54,Unknown,table_p5_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Nap_ngg,3.92,Unknown,table_p5_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,Nap_ngg,4.81,Unknown,table_p5_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,Nap_ngg,0.19,Unknown,table_p5_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,Nap_ngg,0.15,Unknown,table_p5_ri14_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,BaA_ngg,6.81,Unknown,table_p5_ri22_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,BaA_ngg,1.56,Unknown,table_p5_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,BaA_ngg,1.82,Unknown,table_p5_ri22_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_10th,BaA_ngg,0.15,Unknown,table_p5_ri22_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_25th,BaA_ngg,0.79,Unknown,table_p5_ri22_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,BaA_ngg,2.54,Unknown,table_p5_ri22_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,BaA_ngg,5.33,Unknown,table_p5_ri22_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,BaA_ngg,9.13,Unknown,table_p5_ri22_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,BaP_ngg,3.26,Unknown,table_p5_ri26_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,BaP_ngg,2.17,Unknown,table_p5_ri26_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,BaP_ngg,0.61,Unknown,table_p5_ri26_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,BaP_ngg,0.25,Unknown,table_p5_ri26_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,BaP_ngg,1.78,Unknown,table_p5_ri26_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,BaP_ngg,4.03,Unknown,table_p5_ri26_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,BghiP_ngg,2.95,Unknown,table_p5_ri29_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
