paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Pig_manures_(n_=_18),OTC_ngg,0.28,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Chicken_manures_(n_=_9),OTC_ngg,2.3,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Pig_manures_(n_=_18),CTC_ngg,4.4,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Chicken_manures_(n_=_9),CTC_ngg,51.0,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Pig_manures_(n_=_18),SMZ_ngg,2.9,Unknown,table_p3_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Chicken_manures_(n_=_9),SMZ_ngg,13.0,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Pig_feedlots_1_(n_=_27),CTC_ngg,0.65,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Chicken_feedlot_(n_=_27),CTC_ngg,5.3,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Pig_feedlots_2_(n_=_27),CTC_ngg,0.65,Unknown,table_p4_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Pig_feedlots_1_(n_=_27),OTC_ngg,1.1,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Chicken_feedlot_(n_=_27),OTC_ngg,16.0,Unknown,table_p4_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Pig_feedlots_2_(n_=_27),OTC_ngg,0.04,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Pig_feedlots_1_(n_=_27),SMZ_ngg,0.09,Unknown,table_p4_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0301479723002566,1-s2.0-S0301479723002566_Chicken_feedlot_(n_=_27),SMZ_ngg,1.8,Unknown,table_p4_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
