paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
P01629,AL1,SumDDT_ngg,3.818,ng/g,Table S3 (SI O-horizon),soil,other,Yunnan,pg/g÷1000=ng/g; O-horizon(organic layer); Ailao Mountain,24.53,101.03
P01629,AL1,SumPBDE_ngg,0.3271,ng/g,Table S3 (SI O-horizon),soil,other,Yunnan,pg/g÷1000=ng/g; O-horizon(organic layer); Ailao Mountain,24.53,101.03
P01629,AS1,SumDDT_ngg,0.524,ng/g,Table S3 (SI O-horizon),soil,other,Shaanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Aoshan Mountain,33.86,107.47
P01629,AS1,SumPBDE_ngg,0.0421,ng/g,Table S3 (SI O-horizon),soil,other,Shaanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Aoshan Mountain,33.86,107.47
P01629,AS5,SumDDT_ngg,2.62,ng/g,Table S3 (SI O-horizon),soil,other,Shaanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Aoshan Mountain,33.88,107.41
P01629,AS5,SumPBDE_ngg,0.1165,ng/g,Table S3 (SI O-horizon),soil,other,Shaanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Aoshan Mountain,33.88,107.41
P01629,BCW5,SumDDT_ngg,3.259,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Baicaowa,40.83,117.6
P01629,BCW5,SumPBDE_ngg,0.6397,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Baicaowa,40.83,117.6
P01629,BCW3,SumDDT_ngg,6.136,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Baicaowa,40.83,117.61
P01629,BCW3,SumPBDE_ngg,1.6225,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Baicaowa,40.83,117.61
P01629,BCW1,SumDDT_ngg,17.572,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Baicaowa,40.82,117.61
P01629,BCW1,SumPBDE_ngg,1.7644,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Baicaowa,40.82,117.61
P01629,BCW2,SumDDT_ngg,15.717,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Baicaowa,40.82,117.61
P01629,BCW2,SumPBDE_ngg,2.7676,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Baicaowa,40.82,117.61
P01629,CB7,SumDDT_ngg,1.098,ng/g,Table S3 (SI O-horizon),soil,other,Jilin,pg/g÷1000=ng/g; O-horizon(organic layer); Changbai Mountain,42.26,127.89
P01629,CB7,SumPBDE_ngg,0.7934,ng/g,Table S3 (SI O-horizon),soil,other,Jilin,pg/g÷1000=ng/g; O-horizon(organic layer); Changbai Mountain,42.26,127.89
P01629,CB2,SumDDT_ngg,2.419,ng/g,Table S3 (SI O-horizon),soil,other,Jilin,pg/g÷1000=ng/g; O-horizon(organic layer); Changbai Mountain,42.14,128.13
P01629,CB2,SumPBDE_ngg,0.1504,ng/g,Table S3 (SI O-horizon),soil,other,Jilin,pg/g÷1000=ng/g; O-horizon(organic layer); Changbai Mountain,42.14,128.13
P01629,CB3,SumDDT_ngg,11.074,ng/g,Table S3 (SI O-horizon),soil,other,Jilin,pg/g÷1000=ng/g; O-horizon(organic layer); Changbai Mountain,42.08,128.07
P01629,CB3,SumPBDE_ngg,1.53,ng/g,Table S3 (SI O-horizon),soil,other,Jilin,pg/g÷1000=ng/g; O-horizon(organic layer); Changbai Mountain,42.08,128.07
P01629,CB4,SumDDT_ngg,8.35,ng/g,Table S3 (SI O-horizon),soil,other,Jilin,pg/g÷1000=ng/g; O-horizon(organic layer); Changbai Mountain,42.06,128.07
P01629,CB4,SumPBDE_ngg,0.5981,ng/g,Table S3 (SI O-horizon),soil,other,Jilin,pg/g÷1000=ng/g; O-horizon(organic layer); Changbai Mountain,42.06,128.07
P01629,DBS3,SumDDT_ngg,2.012,ng/g,Table S3 (SI O-horizon),soil,other,Hubei,pg/g÷1000=ng/g; O-horizon(organic layer); Dabie Mountain,31.09,115.78
P01629,DBS3,SumPBDE_ngg,0.4164,ng/g,Table S3 (SI O-horizon),soil,other,Hubei,pg/g÷1000=ng/g; O-horizon(organic layer); Dabie Mountain,31.09,115.78
P01629,DH1,SumDDT_ngg,0.607,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Dinghu Mountain,23.17,112.54
P01629,DH1,SumPBDE_ngg,2.6112,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Dinghu Mountain,23.17,112.54
P01629,DH2,SumDDT_ngg,0.959,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Dinghu Mountain,23.17,112.53
P01629,DH2,SumPBDE_ngg,6.3306,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Dinghu Mountain,23.17,112.53
P01629,DH3,SumDDT_ngg,1.556,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Dinghu Mountain,23.18,112.52
P01629,DH3,SumPBDE_ngg,5.0101,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Dinghu Mountain,23.18,112.52
P01629,DX2,SumDDT_ngg,0.841,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Daxing'anling,49.54,123.51
P01629,DX2,SumPBDE_ngg,0.2279,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Daxing'anling,49.54,123.51
P01629,DX16,SumDDT_ngg,0.662,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Daxing'anling,52.95,122.96
P01629,DX16,SumPBDE_ngg,0.1082,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Daxing'anling,52.95,122.96
P01629,DX14,SumDDT_ngg,1.41,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Daxing'anling,51.84,123.61
P01629,DX14,SumPBDE_ngg,0.1429,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Daxing'anling,51.84,123.61
P01629,DX15,SumDDT_ngg,1.716,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Daxing'anling,52.3,122.99
P01629,DX15,SumPBDE_ngg,0.0664,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Daxing'anling,52.3,122.99
P01629,DY1,SumDDT_ngg,10.567,ng/g,Table S3 (SI O-horizon),soil,other,Fujian,pg/g÷1000=ng/g; O-horizon(organic layer); Daiyun Mountain,25.64,118.22
P01629,DY1,SumPBDE_ngg,0.6215,ng/g,Table S3 (SI O-horizon),soil,other,Fujian,pg/g÷1000=ng/g; O-horizon(organic layer); Daiyun Mountain,25.64,118.22
P01629,DY2,SumDDT_ngg,16.952,ng/g,Table S3 (SI O-horizon),soil,other,Fujian,pg/g÷1000=ng/g; O-horizon(organic layer); Daiyun Mountain,25.65,118.22
P01629,DY2,SumPBDE_ngg,1.1128,ng/g,Table S3 (SI O-horizon),soil,other,Fujian,pg/g÷1000=ng/g; O-horizon(organic layer); Daiyun Mountain,25.65,118.22
P01629,FJ2,SumDDT_ngg,2.988,ng/g,Table S3 (SI O-horizon),soil,other,Guizhou,pg/g÷1000=ng/g; O-horizon(organic layer); Fanjing Mountain,27.91,108.7
P01629,FJ2,SumPBDE_ngg,0.281,ng/g,Table S3 (SI O-horizon),soil,other,Guizhou,pg/g÷1000=ng/g; O-horizon(organic layer); Fanjing Mountain,27.91,108.7
P01629,FJ4,SumDDT_ngg,15.474,ng/g,Table S3 (SI O-horizon),soil,other,Guizhou,pg/g÷1000=ng/g; O-horizon(organic layer); Fanjing Mountain,27.9,108.72
P01629,FJ4,SumPBDE_ngg,0.6911,ng/g,Table S3 (SI O-horizon),soil,other,Guizhou,pg/g÷1000=ng/g; O-horizon(organic layer); Fanjing Mountain,27.9,108.72
P01629,GD1,SumDDT_ngg,2.998,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Guandi Mountain,37.89,111.44
