paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P02000,HZ 1,SumEndosulfan_ngg,1.6,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HZ 3,SumEndosulfan_ngg,2.1,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HZ 5,SumEndosulfan_ngg,3.2,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HZ 6,SumEndosulfan_ngg,1.7,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HZ 7,SumEndosulfan_ngg,0.52,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HZ 8,SumEndosulfan_ngg,3.1,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HZ 11,SumEndosulfan_ngg,24,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HZ 12,SumEndosulfan_ngg,20,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 1,SumEndosulfan_ngg,1.8,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 2,SumEndosulfan_ngg,2.3,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 3,SumEndosulfan_ngg,1.7,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 4,SumEndosulfan_ngg,0.61,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 5,SumEndosulfan_ngg,0.6,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 6,SumEndosulfan_ngg,1.8,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 7,SumEndosulfan_ngg,2.1,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 10,SumEndosulfan_ngg,1.5,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JX 11,SumEndosulfan_ngg,29,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HUZ 1,SumEndosulfan_ngg,2.0,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HUZ 3,SumEndosulfan_ngg,2.8,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HUZ 5,SumEndosulfan_ngg,6.9,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HUZ 6,SumEndosulfan_ngg,2.3,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,HUZ 7,SumEndosulfan_ngg,3.1,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JH 1,SumEndosulfan_ngg,11,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JH 4,SumEndosulfan_ngg,2.6,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,JH 5,SumEndosulfan_ngg,21,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,SX 1,SumEndosulfan_ngg,33,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,SX 2,SumEndosulfan_ngg,39,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,SX 4,SumEndosulfan_ngg,1.9,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,SX 5,SumEndosulfan_ngg,25,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,QZ 1,SumEndosulfan_ngg,35,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,QZ 2,SumEndosulfan_ngg,1.4,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,WZ 2,SumEndosulfan_ngg,1.5,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,WZ 3,SumEndosulfan_ngg,27,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,NB 3,SumEndosulfan_ngg,11,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,NB 4,SumEndosulfan_ngg,1.2,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,NB 5,SumEndosulfan_ngg,3.1,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,TZ 1,SumEndosulfan_ngg,1.3,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,TZ 3,SumEndosulfan_ngg,4.6,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,TZ 4,SumEndosulfan_ngg,22,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,ZS 1,SumEndosulfan_ngg,17,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,ZS 2,SumEndosulfan_ngg,42,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,LS 1,SumEndosulfan_ngg,16,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
P02000,LS 2,SumEndosulfan_ngg,17,ng/g,SI Table 1,soil,agricultural,Zhejiang,SumEndosulfan direct read from SI Table 1 (alpha+beta-Endosulfan+Endosulfan sulfate); BLD samples excluded
