paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Acceptable_concentration_range,SumHCH_ngg,184.55,Unknown,table_p2_ri1_ci1,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=range_mean,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Certified_value,SumHCH_ngg,150.0,Unknown,table_p2_ri1_ci2,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Determined_value,SumHCH_ngg,157.0,Unknown,table_p2_ri1_ci3,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Acceptable_concentration_range,SumHCH_ngg,103.95,Unknown,table_p2_ri2_ci1,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=range_mean,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Certified_value,SumHCH_ngg,80.4,Unknown,table_p2_ri2_ci2,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Determined_value,SumHCH_ngg,123.0,Unknown,table_p2_ri2_ci3,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Acceptable_concentration_range,SumHCH_ngg,192.1,Unknown,table_p2_ri3_ci1,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=range_mean,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Certified_value,SumHCH_ngg,161.0,Unknown,table_p2_ri3_ci2,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Determined_value,SumHCH_ngg,133.0,Unknown,table_p2_ri3_ci3,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Tianjin,SumHCH_ngg,239.0,Unknown,table_p3_ri2_ci1,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Nanjing,SumHCH_ngg,14.0,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Shenyang,SumHCH_ngg,53.0,Unknown,table_p3_ri2_ci3,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Tianjin,SumHCH_ngg,304.0,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Nanjing,SumHCH_ngg,7.9,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Shenyang,SumHCH_ngg,47.0,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Tianjin,SumHCH_ngg,308.0,Unknown,table_p3_ri4_ci1,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Nanjing,SumHCH_ngg,12.0,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Shenyang,SumHCH_ngg,51.0,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Tianjin,SumHCH_ngg,200.0,Unknown,table_p3_ri5_ci1,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Nanjing,SumHCH_ngg,14.0,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
土壤中有机氯农药残留分析用标准样品的制备,土壤中有机氯农药残留分析用标准样品的制备_Soil_from_Shenyang,SumHCH_ngg,48.0,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=32:high; conf=high; flag=,,
