paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P02268,C1,Sum_PAH_ngg,627.0,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C2,Sum_PAH_ngg,1995.3,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C3,Sum_PAH_ngg,2394.3,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C4,Sum_PAH_ngg,453.0,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read; Σ7PAHs=ND"
P02268,C5,Sum_PAH_ngg,313.2,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C6,Sum_PAH_ngg,1550.9,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C7,Sum_PAH_ngg,2283.3,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C8,Sum_PAH_ngg,778.7,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C9,Sum_PAH_ngg,5642.3,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C10,Sum_PAH_ngg,273.5,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C11,Sum_PAH_ngg,1914.6,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C12,Sum_PAH_ngg,4525.7,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C13,Sum_PAH_ngg,53.6,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C14,Sum_PAH_ngg,194.4,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,C15,Sum_PAH_ngg,117.3,ng/g,Table 1,soil,mining,Liaoning,"Coal mining zone soil; Σ16PAHs direct read"
P02268,A1,Sum_PAH_ngg,714.3,ng/g,Table 1,soil,agricultural,Liaoning,"Agricultural soil near coal mine; Σ16PAHs direct read"
P02268,A2,Sum_PAH_ngg,449.1,ng/g,Table 1,soil,agricultural,Liaoning,"Agricultural soil near coal mine; Σ16PAHs direct read"
P02268,A3,Sum_PAH_ngg,1249.2,ng/g,Table 1,soil,agricultural,Liaoning,"Agricultural soil near railway pivot; Σ16PAHs direct read"
P02268,A4,Sum_PAH_ngg,56.2,ng/g,Table 1,soil,agricultural,Liaoning,"Agricultural soil near coal mine; Σ16PAHs direct read"
P02268,A5,Sum_PAH_ngg,5.1,ng/g,Table 1,soil,agricultural,Liaoning,"Agricultural soil near coal mine; Σ16PAHs direct read"
P02268,L1,Sum_PAH_ngg,1093.5,ng/g,Table 1,soil,other,Liaoning,"Lake bank soil (collapsed lake from mining subsidence); Σ16PAHs direct read"
P02268,L2,Sum_PAH_ngg,73.2,ng/g,Table 1,soil,other,Liaoning,"Lake bank soil; Σ16PAHs direct read"
P02268,L3,Sum_PAH_ngg,94.8,ng/g,Table 1,soil,other,Liaoning,"Lake bank soil; Σ16PAHs direct read"
P02268,L4,Sum_PAH_ngg,201.6,ng/g,Table 1,soil,other,Liaoning,"Lake bank soil; Σ16PAHs direct read"
P02268,L5,Sum_PAH_ngg,291.8,ng/g,Table 1,soil,other,Liaoning,"Lake bank soil; Σ16PAHs direct read"
P02268,L6,Sum_PAH_ngg,1728.8,ng/g,Table 1,soil,other,Liaoning,"Lake bank soil; Σ16PAHs direct read"
P02268,P1,Sum_PAH_ngg,817.8,ng/g,Table 1,soil,mining,Liaoning,"Vertical profile soil 0-30cm near spoil tip; Σ16PAHs direct read"
P02268,P2,Sum_PAH_ngg,418.5,ng/g,Table 1,soil,mining,Liaoning,"Vertical profile soil 30-60cm; Σ16PAHs direct read"
P02268,P3,Sum_PAH_ngg,400.9,ng/g,Table 1,soil,mining,Liaoning,"Vertical profile soil 60-90cm; Σ16PAHs direct read"
P02268,P4,Sum_PAH_ngg,584.6,ng/g,Table 1,soil,mining,Liaoning,"Vertical profile soil 90-120cm; Σ16PAHs direct read"
P02268,P5,Sum_PAH_ngg,49.3,ng/g,Table 1,soil,mining,Liaoning,"Vertical profile soil 120-150cm; Σ16PAHs direct read"
P02268,P6,Sum_PAH_ngg,159.4,ng/g,Table 1,soil,mining,Liaoning,"Vertical profile soil; Σ16PAHs direct read"
