paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_$\mathrm_{_S_}_1_^_{_\mathrm_{_b_}_}$,SumPCB_ngg,1101.4,Unknown,table_p4_ri45_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_S3,SumPCB_ngg,920.08,Unknown,table_p4_ri45_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_S4,SumPCB_ngg,568.15,Unknown,table_p4_ri45_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_S5,SumPCB_ngg,7.34,Unknown,table_p4_ri45_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_S6,SumPCB_ngg,2.01,Unknown,table_p4_ri45_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_Gaseous-phase,SumPCB_ngg,440.37,Unknown,table_p7_ri18_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_Particle-phase,SumPCB_ngg,191.26,Unknown,table_p7_ri18_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_col3,SumPCB_ngg,641.05,Unknown,table_p7_ri18_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_col4,SumPCB_ngg,7.18,Unknown,table_p7_ri18_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_col5,SumPCB_ngg,0.97,Unknown,table_p7_ri18_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0167880901002109,1-s2.0-S0167880901002109_col6,SumPCB_ngg,8.01,Unknown,table_p7_ri18_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
