paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P00240,HB1,SumPBDE_ngg,1.4079,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB2,SumPBDE_ngg,62.3288,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB3,SumPBDE_ngg,29.2344,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB4,SumPBDE_ngg,159.3907,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB5,SumPBDE_ngg,1.8092,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,JJ6,SumPBDE_ngg,4.8552,ng/g,Table S2,soil,other,Beijing/Tianjin,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,JJ7,SumPBDE_ngg,3.1299,ng/g,Table S2,soil,other,Beijing/Tianjin,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB8,SumPBDE_ngg,7.6391,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB9,SumPBDE_ngg,1.8244,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB10,SumPBDE_ngg,1.8550,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB11,SumPBDE_ngg,1.5751,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB12,SumPBDE_ngg,69.1820,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB13,SumPBDE_ngg,19.5204,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB14,SumPBDE_ngg,2.4796,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB15,SumPBDE_ngg,2.1256,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,JJ16,SumPBDE_ngg,4.5560,ng/g,Table S2,soil,other,Beijing/Tianjin,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,JJ17,SumPBDE_ngg,22.0153,ng/g,Table S2,soil,other,Beijing/Tianjin,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,JJ18,SumPBDE_ngg,332.7984,ng/g,Table S2,soil,other,Beijing/Tianjin,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,JJ19,SumPBDE_ngg,0.3105,ng/g,Table S2,soil,other,Beijing/Tianjin,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,JJ20,SumPBDE_ngg,3.4094,ng/g,Table S2,soil,other,Beijing/Tianjin,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB21,SumPBDE_ngg,1.2589,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX22,SumPBDE_ngg,1.2992,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX23,SumPBDE_ngg,1.5227,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX24,SumPBDE_ngg,47.4449,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX25,SumPBDE_ngg,0.1469,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX26,SumPBDE_ngg,0.0795,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX27,SumPBDE_ngg,3.0526,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX28,SumPBDE_ngg,1.6470,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX29,SumPBDE_ngg,2.9456,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX30,SumPBDE_ngg,1.6492,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX31,SumPBDE_ngg,0.5569,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX32,SumPBDE_ngg,1.4553,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX33,SumPBDE_ngg,5.6405,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX34,SumPBDE_ngg,19.5888,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX35,SumPBDE_ngg,2.1100,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX36,SumPBDE_ngg,8.1672,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX37,SumPBDE_ngg,2.7666,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX38,SumPBDE_ngg,0.3515,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX39,SumPBDE_ngg,4.5676,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX40,SumPBDE_ngg,0.6974,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX41,SumPBDE_ngg,0.9400,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX42,SumPBDE_ngg,1.0211,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB43,SumPBDE_ngg,16.0043,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
