paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P03983,S1',Sum_PAH_ngg,1124,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Culture Pond soil; Total row direct read (sum of 16 EPA PAHs); cross-verified via Table 4 K values"
P03983,S1',BaP_ngg,51.6,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Culture Pond soil; BaP row direct read; verified K=0.12*430=51.6"
P03983,S1,Sum_PAH_ngg,1158,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Culture Pond sediment; Total row direct read"
P03983,S1,BaP_ngg,31.3,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Culture Pond sediment; BaP row direct read"
P03983,S2',Sum_PAH_ngg,676,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Farmland soil; Total row direct read"
P03983,S2',BaP_ngg,20.9,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Farmland soil; BaP row direct read"
P03983,S2,Sum_PAH_ngg,851,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Farmland sediment; Total row direct read"
P03983,S2,BaP_ngg,20.7,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Farmland sediment; BaP row direct read"
P03983,S3',Sum_PAH_ngg,651,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Reed Land soil; Total row direct read"
P03983,S3',BaP_ngg,13.2,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Reed Land soil; BaP row direct read"
P03983,S3,Sum_PAH_ngg,1396,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Reed Land sediment; Total row direct read"
P03983,S3,BaP_ngg,22.8,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Reed Land sediment; BaP row direct read"
P03983,S4',Sum_PAH_ngg,1586,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Poplar Forest soil; Total row direct read"
P03983,S4',BaP_ngg,17.6,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Poplar Forest soil; BaP row direct read"
P03983,S4,Sum_PAH_ngg,686,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Poplar Forest sediment; Total row direct read"
P03983,S4,BaP_ngg,15.1,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Poplar Forest sediment; BaP row direct read"
P03983,S5',Sum_PAH_ngg,816,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Withy Grove soil; Total row direct read"
P03983,S5',BaP_ngg,24.5,ng/g,Table A3 Appendix C,soil,other,Jiangsu,"Withy Grove soil; BaP row direct read"
P03983,S5,Sum_PAH_ngg,562,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Withy Grove sediment; Total row direct read"
P03983,S5,BaP_ngg,16.5,ng/g,Table A3 Appendix C,sediment,other,Jiangsu,"Withy Grove sediment; BaP row direct read"
