序号,英文标题,中文标题,中文摘要
P01113,Calculation of Thallium’s Toxicity Coefficient in the Evaluation of Potential Ecological Risk Index: A case study,潜在生态风险指数评价中铊毒性系数的计算：案例研究,作为一种常见的污染性金属元素，铊具有很强的生物毒性。Håkanson提出的潜在生态风险指数(RI)是评价水体沉积物环境中金属生态风险的常用方法之一。根据Håkanson提出的计算原理，本文计算并确定了铊的毒性系数为10。此外，本文利用RI法和富集因子法等方法，评价了京杭大运河(枣庄段)表层沉积物中铊的环境风险。南水北调工程是惠及40亿人的中国最大的跨流域调水工程，枣庄段是该工程的重要输水线路。我们发现，铊的浓度为0.46 ~ 0.70 μg g-1，平均值为0.61 μg g-1，高于当地背景值。枣庄段中部和台儿庄区的铊含量最高，但南阳湖入口处的富集程度要高得多。粒度和铝氧化物/氢氧化物是控制铊分布的主要因素。富集因子分析表明，沉积物中的铊具有明显的人类活动来源，主要来自煤炭等化石燃料的燃烧和矿产资源的开采。然而，总体而言，研究区域的铊含量较低，因此铊造成环境污染的可能性较小。
P01123,Distribution and source analysis of heavy metal pollutants in sediments of a rapid developing urban river system,快速发展城市河流系统沉积物中重金属污染物的分布与源解析,快速发展工业区域的水环境重金属污染因对水生生态系统和人类健康造成严重危害而备受全球关注。本研究评估了中国东部高度工业化城市流域（包含若干历史上无监管制造企业）的沉积物重金属污染情况。利用多元统计分析和地理加权回归（GWR）方法，调查了39个河流沉积物样品中Cu、Zn、Pb、Cr和Cd的总量及固相分级，以定量研究流域尺度上土地利用与重金属污染的关系。结果显示，流域内重金属污染具有明显的空间格局，如西南部Zn、Pb和Cd浓度较高，东部Cu浓度较高，表明其与流域内的特定污染源有关。相关分析和PCA分析揭示，Zn、Pb和Cd主要来自人类活动；Cu源自工农业混合源；而Cr已受到近期污染控制策略的影响。GWR模型表明，若干重金属形态与工业用地比例密切相关，且这种相关性随工业化水平的变化而变化（通过局部GWR R2值的变异体现）。本研究为评估重金属污染区域、识别重金属污染源以及制定区域尺度修复策略提供了重要信息。
P01308,"Microplastic and mesoplastic pollution in farmland soils in suburbs of Shanghai, China",上海郊区农田土壤中的微塑料和中塑料污染,微塑料是一种新兴污染物，已在水环境中被广泛检测到。然而，关于土壤环境中微塑料污染的研究却知之甚少。在本研究中，我们调查了上海郊区20个蔬菜田农田土壤中的微塑料和中塑料。在每个地点，分别从浅层(0-3厘米)和深层土壤(3-6厘米)采集三个重复的土壤样本。使用密度提取法、30%过氧化氢消化和显微傅里叶变换红外光谱技术检测微塑料(20微米-5毫米)和中塑料(5毫米-2厘米)。浅层和深层土壤中微塑料的丰度分别为78.00±12.91和62.50±12.92个/千克。而浅层和深层土壤中中塑料的丰度分别为6.75±1.51和3.25±1.04个/千克。在这些微(中)塑料中，浅层和深层土壤中分别有48.79%和59.81%的尺寸小于1毫米。微塑料的主要形态类型包括纤维、碎片和薄膜，大多呈黑色或透明。此外，我们发现表层土壤中的微(中)塑料浓度和尺寸均高于深层土壤。另外，绝大多数微(中)塑料是聚丙烯(50.51%)和聚乙烯(43.43%)。本研究揭示了典型农田土壤中微塑料污染的发生和特征，为陆生生态系统中微塑料的后续研究提供了重要数据。
P01469,Valorization of food waste into biofertiliser and its field application,食物废物转化为生物肥料及其田间应用,全球每天产生大量食物废物，造成严重的环境问题，占用土地并需要消耗资源进行处理。处理食物废物问题的一种智能方法是开发新工艺，将这些废物转化为增值产品。尽管关于食物废物转化为生物燃料、生化产品和生物聚合物的研究已广泛开展，但将食物废物转化为生物肥料的研究尚未得到深入综述。将食物废物（特别是农业残留物）转化为生物肥料可以减少其环境影响，提高土壤营养水平，减少对化学合成肥料的需求，并直接有利于粮食生产。本文综述了该领域关于利用厌氧消化、好氧堆肥、化学水解、原位降解和直接燃烧等方法从食物废物生产生物肥料的最新进展。本文还重点介绍了源自各种食物废物的生物肥料的最新田间应用。这证实了将食物废物转化为生物肥料的技术是可行的，但通过更好的过程控制策略、严格的质量控制、智能产品分配系统的开发以及先进技术的采用，可以提高生产效率。田间试验表明，在管理得当的厌氧消化厂获得的生物肥料是安全的，可以在田间应用中部分替代化学肥料。
P01655,Quantifying nonpoint source emissions and their water quality responses in a complex catchment: a case study of a typical urban-rural mixed catchment,复杂流域非点源污染排放及其水质响应的量化：典型城乡混合流域案例研究,作为受纳水体的两个主要威胁，城市和农业非点源(NPSs)的产生机制和过程显示出明显的差异，这与单一土地利用流域相比，导致混合土地利用流域的水质响应具有明显的特征。然而，很少有研究提供关于这些特征的见解，或量化不同的水环境对NPS污染的响应。本研究结合SWMM(暴雨管理模型)、SWAT(土壤和水评估工具)和MIKE 11三种常用模型，为这些复杂流域开发了一种综合建模方法。在中国巢湖的一个典型城乡混合流域进行了案例研究。模拟结果表明，城市非点源污染对降雨事件反应敏感，且受前期干旱天数的影响很大。与城市非点源污染相比，农业非点源污染的特征是降雨的时间滞后取决于土壤水分，以及由侧向流携带的雨后季节排放，同时也受到当地农事时间表的影响。在城乡土地利用的综合影响下，城市和农业非点源污染排放的时间交错以及更丰富的污染积累，导致响应时间缩短，甚至在旱季峰值污染浓度的频率增加。这些获得的特征可以为类似的混合土地利用流域制定流域管理计划提供指导。
P01665,"Microplastic risk assessment in surface waters: A case study in the Changjiang Estuary, China",长江口水体微塑料的风险评价,塑料工业的快速发展导致了源于大块塑料的微塑料带来的一系列环境问题。基于风险评价模型，对长江口水体中微塑料的污染风险进行了探讨。微塑料的平均浓度为 23.1 ± 18.2 n/100 L。检查了微塑料的形状、大小、颜色和成分类型。风险评价模型是利用微塑料聚合物的浓度和化学危害数据建立的。评估结果表明，聚氯乙烯对微塑料风险表现出严重关注。由于微塑料的积累和有害微塑料的存在，养殖场周围地区被视为微塑料污染的“热点”。这项微塑料风险评价架起了现场研究与政策制定之间理解差距的桥梁。这项研究为评估这一新兴研究领域中微塑料的环境风险提供了基线数据。
P02116,Copper and other heavy metals in grapes: a pilot study tracing infuential factors and evaluating potential risks in China,中国葡萄中铜及其他重金属：影响因素追踪与风险评估的试点研究,
P04068,"Spatial Distribution, Chemical Fraction and Fuzzy Comprehensive Risk Assessment of Heavy Metals in Surface Sediments from the Honghu Lake, China",中国洪湖表层沉积物中重金属的空间分布、化学形态及模糊综合风险评价,本文利用原子吸收分光光度计和优化的BCR（欧共体参考局）三步提取法，调查了洪湖16个采样点表层沉积物中重金属（Cr、Cu、Pb、Zn和Cd）的空间浓度和化学形态。与相应的可能效应水平（PELs）相比，受研究的五种沉积物金属的不利生物效应依次递减为Cr > Cu > Zn > Pb > Cd。各采样点Cr、Cu、Pb和Zn的地累积指数（Igeo）值均处于无污染水平，而Cd的值则从无污染水平到中度污染水平不等。在空间上，南湖下部、北湖西部及出口处的Cd富集程度高于洪湖其他区域。就重金属化学形态而言，五种金属酸可提取态所占比例依次为：Cd、Cu、Zn、Pb和Cr。Cd具有最高的生物有效性。由于上述指标总是集中在重金属的总量或确定性评价系统中的化学形态，可能会使决策者感到困惑，因此基于潜在生态风险指数（PEI）、风险评价代码（RAC）和模糊理论建立了模糊综合风险评价方法。沉积物中重金属的平均综合风险揭示了以下顺序：Cd（相当大的风险）> Cu（中等风险）> Zn（低风险）> Pb > Cr。因此，Cd和Cu被确定为最受关注的污染物。洪湖南湖中部（S4、S5、S6、S9、S12和S14）、洪湖北
P04075,Geochemical Assessment and Spatial Analysis of Heavy Metals in the Surface Sediments in the Eastern Beibu Gulf,北部湾东部表层沉积物重金属的地球化学评价与空间分析：对南海沿岸工业发展的思考,位于南海西北部的北部湾是遭受快速工业化和城市化相关的动荡和污染的代表性海湾。在本研究中，我们旨在为该研究区提供重金属的新基线水平。测定了北部湾东部35个站点表层沉积物中五种重金属（即Cu、Pb、Zn、Cd和Cr）的浓度。重金属含量变化分别为：Cu 6.72至25.95 mg/kg，Pb 16.99至57.98 mg/kg，Zn 73.15至112.25 mg/kg，Cd 0.03至0.12 mg/kg，Cr 20.69至56.47 mg/kg。根据中国沉积物质量标准，北部湾东部的沉积物未受到海岸金属污染的显著影响。地累积指数推导的结果表明，该研究区受到了Pb的轻微污染，这可能是由非点源引起的。在广西沿海、雷州半岛和海南岛西北沿海发现了相对较高的Cu、Pb和Cd浓度，而Zn和Cr的最高浓度出现在海南岛西北沿海。重金属的空间分布模式表明，Pb的生物有效态高于残留态，而Cu和Cd在可交换态和碳酸盐结合态中的浓度相对高于生物有效态。层次聚类分析表明，采样站可分为具有不同地理分布的三个组。伴随它们在研究区相似的空间分布，发现Cu、Cd和Pb之间存在显著的相关系数，表明这三种金属可能具有相似的来源
P04080,Mosses Are Better than Leaves of Vascular Plants in Monitoring Atmospheric Heavy Metal Pollution in Urban Areas,苔藓在监测城市大气重金属污染方面优于维管植物叶片,苔藓和维管植物的叶片已被用作生物指标，以监测源自各种来源的重金属对环境的污染。本研究旨在比较苔藓和维管植物在城市地区积累金属的能力，并量化不同类群监测大气重金属的适用性。本研究在中国武汉市不同土地利用类型的城市区域采集了一种侧蒴型羽藓（狭叶小羽藓）和两种常绿树种（樟树和桂花）及其基质土壤的样品。利用电感耦合等离子体质谱法分析了这些样品中银、砷、镉、钴、铬、铜、锰、钼、镍、钒、铅和锌的浓度。三种物种中重金属浓度的差异表明，苔藓物种积累重金属的能力明显高于树木叶片（3倍到51倍）。苔藓中重金属的积累浓度取决于金属种类和土地利用类型。植物的金属富集因子以及植物中金属与土壤中相应金属的相关性反映，植物中积累的金属主要来自大气沉降，而不是基质土壤。人为因素，如汽车运输和制造业的排放，主要负责大气中金属污染物的变化，进而影响苔藓中金属的积累。这项研究阐明了苔藓物种狭叶小羽藓在监测城市地区重金属污染方面比樟树和桂花的叶片相对更合适，且目前武汉市的大气重金属污染水平低于中国其他一些城市。
