序号,英文标题,中文标题,中文摘要
P00942,Moderate sewage sludge biochar application on alkaline soil for corn growth: a field study,中度施用污泥生物炭对碱性土壤玉米生长的影响：大田研究,鉴于向碱性土壤施用难以实现的大量的污泥生物炭（SSB）会产生抑制效应的风险，本研究调查了适度的生物炭改良（0、1500、4500 和 9000 kg/hm2）对玉米生长、碱性土壤性质及潜在有毒元素（PTEs）吸收的影响。结果显示，施用更多的 SSB 会降低铵态氮浓度并增加有效磷和钾浓度，由于碱性土壤背景养分水平高，这抑制了玉米植物生长。当碱性土壤施用 1500 kg/hm2 SSB 时，100 粒玉米的干重从对照的 32.11 g 增加到 35.07 g。土壤中 PTEs 的总浓度没有显著变化。籽粒中 Mn、Ni、Cu 和 Zn 的浓度分别从对照的 5.54、0.83、2.26 和 27.15 mg/kg 降至 4.47、0.62、1.30 和 23.45 mg/kg。因此，食用玉米的健康风险显著降低。此外，SSB 与肥料的结合改善了玉米生长并降低了食用 PTEs 的风险。
P01229,Quantifying the influencing factors and multi-factor interactions affecting cadmium accumulation in limestone-derived agricultural soil using random forest (RF) approach,利用随机森林方法量化影响石灰岩衍生农业土壤中镉积累的因素及多因子交互作用,镉是一种剧毒重金属，广泛存在于环境中，对人类健康、动物和植物构成广泛威胁。本研究旨在利用包含随机森林（RF）的集成模型，识别和归因喀斯特地区农业土壤中来自自然和人为输入的多源、多相镉污染。利用RF机器学习方法定量评估了自然和人为因素对镉积累的贡献。结果显示，主要影响因素为pH值、有机碳和海拔。此外，还定量和可视化了pH和C_org对距离和海拔的交互效应。
P01367,Assessment of potentially toxic element pollution in soils and related health risks in 271 cities across China,中国271个城市土壤中潜在有毒元素污染评估及相关健康风险,中国关于潜在有毒元素（PTE）污染的研究已广泛开展，但多局限于局部和区域尺度，亟需国家层面的深入研究。为此，本研究系统汇编了2008年至2018年间发表的1153篇论文中约17万个土壤样本的数据。基于这些数据，利用地累积指数、潜在生态风险指数、健康风险评估模型以及单变量和双变量局部Moran’s I指数，对中国271个城市土壤中PTEs（As、Cd、Cr、Cu、Hg、Pb、Ni和Zn）的污染状况、热点区域及潜在主要源进行了综合分析。结果表明，大多数城市的土壤中PTEs存在明显的积累。此外，与其他几个国家相比，中国土壤中Cd、Hg、Pb和Ni的含量较高。PTE污染热点及因PTE暴露引发的健康风险热点主要分布在华南和西南地区。因工业活动导致土壤PTE积累的城市主要位于华东和华北。因农业活动导致PTE浓度较高的城市主要位于中部和东北地区。因采矿活动导致土壤PTE积累的城市主要集中在西部和西北地区。PTEs主要源于土壤母质的城市分布在西南地区。本研究为制定科学高效的土壤PTE污染防治策略提供了全面具体的信息和有价值的参考。
P01369,Farmland heavy metals can migrate to deep soil at a regional scale: A case study on a wastewater-irrigated area in China,农田重金属可在区域尺度上向深层土壤迁移：中国某污水灌溉区案例研究,污水灌溉区农田重金属对人类健康的风险早已被认识到。但是，来自污水灌溉的农田重金属是否能在区域尺度上向更深层的土壤迁移，仍有待证明。在这项研究中，从一个线性污水水库的三个断面（A、B 和 C）及相邻的农田表层土壤和麦粒采集了深达 30 米的 9 个土壤岩芯。测定了土壤和小麦颗粒中包括砷、镉、铬、铜、铅和锌在内的重金属，并使用目标危害商数（THQ）评估了谷物的健康风险。在深层土壤中检测到了相当高的总含量和可溶性重金属含量，特别是在断面 B，在 29 米处检测到总砷为 73.0 mg kg-1，13 米处镉为 3.80 mg kg-1，30 米处铅为 214 mg kg-1。断面 B 的粉砂粘土层和粉砂层中 As、Cr、Cu、Pb 和 Zn 的含量高于砂层。在整个研究区域，19.5%-34.1% 的表层土壤样品受到 As、Cd、Cu、Pb 和 Zn 的污染，34.1% 和 19.5% 的小麦颗粒分别受到 Cd 和 Pb 的污染。所有采样点的小麦颗粒的联合目标危害商数（TTHQ）值均 >1，其中 As 和 Cd 是最重要的贡献者。我们的研究揭示了采样区长期污水灌溉产生的典型重金属的更广泛和更深
P01412,"An improved weighted index for the assessment of heavy metal pollution in soils in Zhejiang, China",一种评估中国浙江土壤重金属污染的改进加权指数,土壤重金属评价是土壤质量和生态风险管理中的重要程序，为此开发了不同的数学模型。然而，这些模型往往未能同时考虑重金属和污染场地的特征。在本研究中，我们分析了中国浙江省土壤中七种重金属的浓度，并开发了一种改进的加权指数（IWI）模型来评估污染水平。与传统的模型不同，该模型利用统计工具（包括层次聚类分析和主成分分析）为不同的重金属分配权重。在89个点位中，61.8%的点位IWI值小于1，被认为未受污染；32.58%的点位IWI值在1到2之间，被认为是轻微污染；只有2.25%的点位IWI值大于3，属于严重污染。IWI结果与两种传统的综合指数模型结果吻合良好，但可应用于更广泛的重金属浓度范围。随后基于IWI模型提出了可能的污染源。IWI克服了传统指数的几个缺点，非常有利于土壤重金属污染的评估。总体而言，本研究为土壤污染评价和土壤生态风险管理建立了一种新模型，并全面评估了中国浙江省饮用水源周围土壤目前的污染状况。
P01455,"Concentration and distribution of selenium in soils of mainland China, and implications for human health",中国大陆土壤中硒的浓度分布及其对人体健康的影响,在中国，土壤中硒的缺乏和过量导致了严重的硒相关地方病。迫切需要全国范围的硒数据集以预防和应对硒相关疾病。中国地球化学基准（CGB）项目应用标准化方法建立了一个地球化学数据集，记录了中国大陆风化层中包括硒在内的76种元素的浓度。共从0-25 cm深度的土壤A层采集了3382个样本。采用氢化物发生原子荧光光谱法测定硒浓度。质量控制策略包括野外重复样、标准参考物质和分析重复样。测得的硒浓度范围为0.010至16.240 mg·kg−1，中位数为0.171 mg·kg−1。硒浓度在不同区域间显示出巨大差异。中国低硒土壤分布于西藏、新疆南部以及内蒙古、山西和青海的部分地区。高硒土壤发现于湖南、贵州、广西、广东和重庆的连片区域，并零星分布于新疆、甘肃、四川、云南等省份。其分布受潜在地质、地貌和土壤类型等局部因素以及人类活动的综合控制。硒是人体和其他动物健康所必需的微量元素，但过量则有害。克山病（KSD）和大骨节病（KBD）发生在低硒地质背景下，归因于硒缺乏，而在高硒土壤区则观察到地方性硒中毒。对硒成因的这种深入理解有助于改善中国未来硒相关疾病的管理。
P01508,A meta-analysis of heavy metals pollution in farmland and urban soils in China over the past 20 years,过去20年中国农田和城市土壤重金属污染的Meta分析,这项研究收集了2000年至2019年间发表的关于中国农田和城市土壤重金属现场监测实验的713篇研究论文。通过Meta分析评估了中国土壤重金属污染水平，主要关注八种重金属。结果发现，中国镉、铅、锌、铜、汞、铬、镍和砷的平均浓度分别为 0.19、30.74、85.86、25.81、0.074、67.37、27.77 和 8.89 mg/kg。与背景值（0.097 mg/kg）相比，农田土壤中的Cd含量增加了一倍（0.19 mg/kg），城市土壤中增加了三倍（0.29 mg/kg）。平均Igeo降序为 Cd (1.77) > Pb (0.62) > Zn (0.60) > Cu (0.58) > Hg (0.57) > Cr (0.54) > Ni (0.47) > As (0.28)。农田和城市土壤中分别有33.54%和44.65%的点位受到Cd污染。近二十年来，八种重金属的平均浓度在农田和城市土壤中没有明显变化。城市土壤（2.52）和农田土壤（2.15）的平均Pn值表明，城市土壤的重金属污染比农田更严重，其中工业活动占主导地位的长江中游地区污染最为严重。该Meta分析全面评估了土壤重金属
P01581,Source-specific ecological and health risks of potentially toxic elements in agricultural soils in Southern Yunnan Province and associated uncertainty analysis,云南南部农田土壤中潜在有毒元素的源特异性生态与健康风险及不确定性分析,源特异性风险分配对于预防和控制土壤潜在有毒元素（PTE）污染至关重要。本研究探讨了滇南地区土壤PTE的源特异性生态和人体健康风险。确定了地球化学基线值以评估PTE的污染水平；然后结合正定矩阵因子分解（PMF）与生态和人体健康风险评估分配了源特异性风险。观察到该地区As、Cd、Pb和Zn有明显富集，特别是21.33%的样品中的Cd表现出显著富集。利用GIS辅助的PMF量化了四个来源：自然源（41.49%）、交通排放（24.70%）、工业活动（17.48%）和农业活动（16.33%）。工业活动是生态风险的最大来源（64.55%）。农业活动被认为是非致癌（成人：75.93%，儿童：62.33%）和致癌风险（成人：55.97%，儿童：56.36%）的主要贡献者。儿童的非致癌和致癌风险高于成人，且其健康风险呈现相似趋势。因此，农业活动应被视为降低健康风险的重点，而工业活动应作为控制生态风险的重点。尽管量化了源特异性风险，但未来有必要结合PTE的生物有效性和相互作用以获得更准确的结果。
P02146,"Variability in plant trace element uptake across diferent crops, soil contamination levels and soil properties in the Xinjiang Uygur Autonomous Region of northwest China",中国西北新疆维吾尔自治区不同作物、土壤污染水平及土壤性质对植物微量元素吸收变异性的研究,本研究调查了中国西北新疆维吾尔自治区535个样点农田土壤和作物中8种微量元素（As、Cd、Cr、Hg、Pb、Cu、Zn和Ni）的污染状况。采样点的土地利用类型包括菜地、粮田和果园。实验结果表明，根据内梅罗综合污染指数（NCPI > 1），所有农田土壤均存在微量元素污染。然而，根据中国风险控制标准，91.97%的作物样品未受污染。菜地土壤的污染水平高于粮田和果园。通过作物摄入暴露途径计算了非致癌和致癌的健康风险。谷类样品的健康风险最高，其次是瓜果和蔬菜。作物的健康风险主要由Cr和Cd驱动。食用作物可能对儿童构成风险，但对成人无风险。不同农田土壤中微量元素污染源各不相同，可归因于不同的农业活动。与土壤微量元素含量和理化性质相比，植物类型对作物中微量元素积累的影响更大。
P02147,"The effects of soil freeze–thaw processes on water and salt migrations in the western Songnen Plain, China",土壤冻融过程对中国西部松嫩平原水盐运移的影响,季节性冻融（FT）过程影响寒冷和干旱地区的土壤盐渍化。本研究旨在探讨土壤FT特征及其对土壤水盐运移的影响，以阐明中国西部松嫩平原春季土壤盐渍化的潜在机制。研究了2015年10月至2016年6月期间，三种典型景观（农田、羊草草地和碱斑地）0-200 cm深度土壤水盐、冻土深度和土壤温度的时空分布。结果表明，AS地的冻结过程最强，其特点是冻深最深（165 cm）和冻结率最高（3.58 cm/d），其次是LT草地，然后是农田。冻结引起的土壤水和盐分向上再分布和富集导致土壤盐渍化层的上升和扩展，这是春季地表盐分爆发性积累的主要来源。因此，FT过程促进了表层土壤的盐渍化和碱化。
