序号,英文标题,中文标题,中文摘要
P07759,"Heavy metals in soils from a representative rapidly developing megacity (SW China): Levels, source identification and apportionment",中国西南典型快速发展超大城市土壤重金属：水平、来源识别与源解析,"土壤重金属污染现已成为中国主要的环境问题，特别是在一些农业集约化且快速发展的地区。本研究在中国重庆（西南地区）四个典型的农业县进行了高空间分辨率采样（1664个表层（0-20 cm）和416个深层（150-200 cm）土壤样品），并测定了8种优先重金属（As, Cd, Cr, Cu, Hg, Ni, Pb, Zn）及其他元素。应用经典和先进的多元统计以及因子分析-多元线性回归（FA-MLR）受体模型对土壤重金属进行表征和源解析。8种重金属表现出显著的空间变异性，平均浓度依次为：Zn > Cr > Ni > Pb > Cu > As > Cd > Hg。As、Cd、Cr增强了土壤污染，值得注意的是表层土壤中Cd和Hg相对于深层土壤有明显富集。研究揭示了金属工业排放、燃料消耗和农业活动对特定重金属的主导人为贡献（64%-90%），而丰富的Si、Al和Fe元素主要源于自然成土过程。"
P07925,Estimation of soil temperature from meteorological data using different machine learning models,基于不同机器学习模型的气象数据土壤温度估算,
P08049,"Using a posterior probability support vector machine model to assess soil quality in Taiyuan, China",利用后验概率支持向量机模型评估中国太原的土壤质量,土壤质量是一个重要但复杂的问题。为了更可靠、客观地评估这一问题，我们使用后验概率支持向量机模型（SVM），一种具有模糊特征和鲁棒性的方法，基于潜在毒性元素（PTEs）和肥料的浓度对土壤质量进行分级。为了展示这种综合评估方法，我们分析了中国山西太原的土壤质量。结果表明，52.6%的土壤样本为I级（优质），70.3%的土壤样本为II级（中等质量）。我们还使用主成分分析（PCA）基于先前的研究间接推断不同土壤质量空间分布的原因，并验证该模型。太原土壤质量的空间分布主要受工业和车辆排放、污水灌溉以及磷钾肥施用的影响。通过比较基于后验概率SVM和SVM的评估结果，我们发现前者计算出的结果与该区域基于人为和自然因素预期的土壤质量更吻合。我们的研究表明，这种结构清晰、易于操作的土壤质量评估模型经过适当校准后，可用于研究其他生态系统。
P08606,A predictive model for arsenic accumulation in rice grains based on bioavailable arsenic and soil characteristics,基于生物有效性砷和土壤特性的水稻籽粒砷积累预测模型,"砷是一种众所周知的人类致癌物，稻米消费是中国人接触砷的主要途径。本研究从中国主要水稻产区采集了14种水稻土。结果表明，水稻根和叶积累的砷多于茎和谷粒，顺序为：根>叶>茎>谷粒。水稻籽粒对砷的积累主要取决于总砷和生物有效砷（0.43 mol/L HNO3 提取态砷），它们分别解释了籽粒砷变异的32.2%和22.2%。此外，土壤pH值、有机质（OM）和粘土含量是影响籽粒砷的主要因素，分别解释了13.1%、7.9%和5.3%的变异。通过多元线性回归建立了一个有效的预测模型：As_grain = 0.024 BAs - 0.225 pH + 0.013 OM + 0.648 EC - 0.320 TN - 0.088 TP - 0.002 AS + 2.157 (R2 = 0.68, P < 0.01)。通过盆栽实验和大田样品的验证，该模型成功地对水稻籽粒砷进行了准确预测。"
P09634,"Chemical speciations of heavy metals and their risk assessment in agricultural soils in a coal mining area from Xingren County, Guizhou Province, China",贵州兴仁煤矿区农田土壤重金属化学形态及风险评估,为了解煤矿区周边农田土壤重金属污染状况，采集了贵州省兴仁县某典型煤矿区农田土壤样品，测定了土样中重金属总量及各形态含量，采用单因子指数法、潜在生态风险指数法和风险评估编码法对研究区主要土壤利用类型中重金属进行潜在生态风险评估和环境风险评价。结果表明：不同利用类型土壤中重金属含量除Zn外，其他元素均明显超过贵州省背景值。单因子指数法评价结果表明，As、Pb、Hg和Cu污染较为严重，均属重度污染。形态分析表明，土壤中重金属形态构成差异明显，As和Cd的酸可提取态比例较高；Cr、Zn、Cu和Ni主要以残渣态为主；Pb主要以可还原态和残渣态为主；而Hg的酸可提取态、可还原态、可氧化态均占有相当比例。潜在生态风险指数表明，各类型土壤潜在生态风险均处于较高风险。风险评估编码法结果显示，As在水稻土、薏米地及植烟土中均处于高风险，在菜园土中处于中等风险；Cd、Hg均处于中等风险，Cr、Pb、Zn、Cu和Ni均处于低风险。因此，对该区域农田土壤进行管控时应重点考虑As、Cd和Hg污染。
P10315,Influence of diesel pollution on the physical properties of soils,柴油污染对土壤物理性质的影响,
P10746,"Source identification and risk assessment of heavy metal contaminations in urban soils of Changsha, a mine-impacted city in Southern China",中国南方矿业影响型城市长沙市城市土壤重金属污染的源解析与风险评估,"随着中国工业化和城市化的快速发展，城市土壤遭受了严重的重金属污染。本研究从位于中国南方的矿业影响型城市长沙采集了54个城市土壤样品。利用ICP-MS测定了重金属（As, Cd, Co, Cu, Mn, Ni, Pb 和 Zn）的浓度。结合多元统计和地统计学方法对重金属的污染源进行了辨别和识别。根据层次聚类分析（HCA）、主成分分析（PCA）和空间分布模式的结果，确定了四个主要来源。Co和Mn主要源自土壤母质。Cu、Pb和Zn之间存在显著正相关，与采矿活动和交通排放有关。Cd和Ni可能受商业活动和工业排放影响。As单独成组，被认为与燃煤和垃圾焚烧有关。城市土壤重金属风险评估表明，长沙市城市区域总体具有中等潜在生态风险。"
P10845,China's Soil Pollution Control: Choices and Challenges,中国土壤污染治理：选择与挑战,
P11193,Source-sink spatial analysis and spatio-temporal simulation of soil heavy metal pollution in regional scale,区域土壤重金属污染的源汇空间分析和时空模拟研究,土壤作为生态系统中联系有机界和无机界的重要枢纽，为植物提供水分和养分，是农业生产的基本生产资料之一。土壤环境状况与农产品安全密切相关。土壤是一种不可更新的自然资源，一经破坏在较短时间内难以恢复。随着我国社会经济的快速发展与城镇化进程的不断推进，人类活动对土壤环境的影响日益增长，土壤环境状况不容乐观，尤其是土壤重金属污染问题日益突出。针对该问题，我国正逐步开展相关污染防治工作。快速识别和掌握区域尺度上土壤重金属及其污染来源的时空分布特征，是高效开展污染防治工作的前提条件之一。本文以近年来经济快速发展的长江三角洲南翼为研究区域，针对铬、铅、镉、汞和砷五种主要土壤重金属元素，基于多期历史采样数据和相关环境变量，采用多种空间分析模型和机器学习算法，开展农用地土壤环境质量评价、土壤污染来源识别和土壤污染动态模拟研究，以期为我国土壤重金属污染防治工作提供一定的技术支撑。
P00758,"Multivariate and geostatistical analyses of the sources and spatial distribution of heavy metals in agricultural soil in Gongzhuling, Northeast China",中国东北公主岭农业土壤中重金属来源及空间分布的多元与地统计学分析,目的：土壤中重金属的含量、来源和空间分布对于建立区域层面的质量标准、评估金属对食品安全和人类健康的潜在威胁以及制定具有环境友好性和重大经济效益的政策是必要的。材料与方法：本研究采集了中国东北黑土区代表性农业区公主岭的166个农业土壤的表层土样，分析了Cu、Ni、Zn、Pb、Cr和Cd的总量。结合多元统计和地统计学分析表征重金属的空间分布并确定其来源。结果与讨论：Cu、Ni、Zn、Pb、Cr和Cd的平均浓度分别为19.61±6.23、27.16±11.85、57.82±14.28、28.34±8.91、53.04±19.27和0.106±0.048 mg kg−1，略高于四平表层土壤的背景值，但除个别样品的Ni和Cd外，均低于中国土壤环境质量标准的指导值。多元和地统计分析表明，Pb和Cd与人为活动有关，如工业烟尘、粉尘和气溶胶的大气沉降、燃煤 exhausts、肥料、畜禽粪便和农用化学品的使用以及人为废物的处置，而Cr和Zn主要源于母质，Cu和Ni显示出岩石成因和人为成因的混合来源。结论：农业土壤中重金属含量和来源的分析是采取适当行动保护土壤质量的基础。
