序号,英文标题,中文标题,中文摘要
P09596,"As, Cd, Cr, Hg, Ni and Pb in Soil from Eastern Slope of Mt. Gongga, Eastern Tibet, China","中国东部藏区贡嘎山东坡土壤中的 As, Cd, Cr, Hg, Ni 和 Pb",
P09598,The Seasonal Pollution Characteristics and Potential Ecological Risk Assessment of Heavy Metal in Soil of Northern Suburb Parks in Xi’an,西安北郊公园土壤重金属季节性污染特征及潜在生态风险评价,
P09601,Soil Heavy Metal Pollution Assessment Near the Largest Landfill of China,中国最大垃圾填埋场周边土壤重金属污染评估,为了评估中国最大的垃圾填埋场——上海老港垃圾填埋场重金属污染的程度和潜在危害，采集了填埋场附近的表层土壤样品并测定了Cu、Zn、Cd、Pb和Cr的浓度。结果表明，除Pb外，填埋场附近表层土壤中的重金属浓度高于背景土壤。主成分分析和层次聚类分析表明，土壤中Cu的富集可能与农业活动有关，Cd和Pb与垃圾填埋场渗滤液有关，而Zn和Cr的浓度可能受土壤基质特征控制。金属的污染指数（PI）为：Cd > Cu > Cr > Zn > Pb。在测定的五种金属中，Cd表现出最大的毒性反应，可能比其他金属造成更高的生态危害。五种金属的综合潜在生态风险指数（RI）在26.0到104.9之间，表明具有低水平的潜在生态风险。这项研究表明，Cu、Zn、Cd、Pb和Cr的积累未达到高污染水平，因此在垃圾填埋场附近的表层土壤中构成了较低的潜在生态风险。
P10563,Influence of Biochar on Microbial Activities of Heavy Metals Contaminated Paddy Fields,生物炭对重金属污染稻田微生物活性的影响,
P10614,Extraction of heavy metals from water-stable soil aggregates using EDTA,EDTA提取水稳性土壤团聚体中的重金属,
P10619,Occlusive effect of soil aggregates on increased soil DTPA-extractable zinc under low soil pH caused by long-term fertilization,长期施肥引起土壤低pH下土壤团聚体对土壤DTPA提取态锌增加的封闭效应,
P10623,"Evaluation of Heavy Metal Contamination to Planting Base Soil in Shenyang, China",沈阳种植基地土壤重金属污染评价,"研究调查了中国东北沈阳市种植基地土壤中重金属的分布和积累。采集并表征了60个土壤样品的重金属含量（As, Cd, Cr, Pb, Hg, Ni, Cu 和 Zn）。利用相关性分析处理浓度数据，并采用地积累指数和污染指数（PI）进行土壤污染评估。结果显示，种植基地的8种重金属含量均达到污染水平，其中Pb和Hg污染相对严重，分别达到2.41和2.1。重金属污染程度排序为：Pb > Hg > Zn = Cu > As > Ni > Cd > Cr。Pb-Cd, Pb-Cu, Cd-As, Cu-Ni之间存在显著相关性，而Zn-Cu之间存在极显著相关性。除了土壤母质外，土壤重金属的主要来源是工业、农业、交通运输或其他人类活动以及大气输送和沉积的影响。"
P10629,Heavy metal contamination of urban soil in an old industrial city (Shenyang) in Northeast China,中国东北老工业城市（沈阳）城市土壤重金属污染,本研究旨在调查中国工业摇篮之一沈阳市铁西工业区的土壤重金属污染现状。研究人员在土壤表层15厘米处采集了93个土壤样品，并分析了Pb、Cu、Cr、Zn、Mn、Cd、As和Hg的重金属浓度。数据显示，采样土壤中的重金属浓度存在显著差异；所有重金属的平均浓度均高于背景值，其中Pb、Cu、Cd和As的平均浓度分别高达背景值的5.75、5.08、12.12和13.02倍。主成分分析（PCA）结果表明，Pb、Cu、Zn、Cd、As和Hg与第一主成分（PC1）密切相关，解释了总方差的46.7%，而Cr和Mn主要分布在第二主成分（PC2）中，解释了22.5%的方差。地统计分析，包括半方差函数参数的计算和模型拟合，进一步证实了统计分析的结果。在重金属的估算图中，确定了几个高浓度热点区域；Pb和Cu显示出非常相似的空间分布模式，表明它们可能来自同一来源。由于沈阳冶炼厂（中国冶金工业的骨干企业）的存在，铁西工业区东北部存在一个明显的Pb、Cu、Zn、Cd和As重度污染热点。其他区域也存在其他重金属的热点。这主要是由于该地区发生的工业加工造成的。所有这些数据证实，Pb、Cu、Zn、Cd和As是人类活动的结果，
P10630,Human health risk assessment of heavy metals in soil–vegetable system: A multi-medium analysis,土壤-蔬菜系统中重金属的人体健康风险评估：一种多介质分析,中国村庄附近的蔬菜地正受到来自农业、交通、采矿以及中国典型的本土私营家庭式工业等各种污染源造成的日益严重的重金属损害。本研究采集了中国浙江省三个经济发达地区的268份蔬菜样品（包括油菜、芹菜、卷心菜、胡萝卜、芦笋生菜、豇豆、西红柿和辣椒）及其对应的土壤，并测定了所有样品中五种重金属（Pb、Cd、Cr、Hg 和 As）的浓度。采用美国环境保护署（US EPA）开发的风险评估方法，探讨了土壤中重金属对种植蔬菜的潜在健康危害。结果表明，受调查蔬菜及对应土壤中的重金属污染显著。污染水平随金属和蔬菜类型而变化。土壤中重金属的最高平均浓度分别为 Pb 70.36 mg kg−1、Cr 47.49 mg kg−1、As 13.51 mg kg−1、Cd 0.73 mg kg−1 和 Hg 0.67 mg kg−1，而蔬菜中的金属浓度与对应土壤的相关性较差。健康风险评估结果表明，饮食是主要的暴露途径，因此土壤样品中的重金属可能会通过食物链传递造成潜在危害。非致癌和致癌风险的总结果表明，从重金属摄入量升高对当地居民食品安全构成风险的角度来看，工业和废弃矿区附近的调查耕地不适合种植叶菜和根茎类蔬菜。铬和铅
P10660,Accumulation of copper and zinc in soil and plant within ten-year application of different pig manure rates,不同猪粪用量十年施用下土壤和植物中铜和锌的累积,作物施用猪粪是全世界普遍的做法。然而，由于猪粪中铜 和锌 的含量相对较高，连续施用猪粪可能会对土壤和植物产生负面影响。本研究旨在评估长期施用不同比例的猪粪（相当于2002年至2008年的0、100、250和500 kg总N/ha/年，以及2009年至2011年的0、10、25和50 t鲜重/ha/年）对土壤和植物中Cu和Zn累积的影响。在10年的实验期间，每年施加到土壤中的Cu总量为2.04至10.20 kg/ha，Zn为3.15至15.73 kg/ha。研究结果表明，长期施用猪粪导致土壤中Cu和Zn的严重累积，高施用率下总Cu和Zn浓度分别增加了204%和107%。虽然表层土壤中的Cu和Zn浓度低于被认为对作物具有植物毒性的浓度，但根据中国现行法规，仅需少于16年和27年的高施用率即可达到允许限值。我们的结果还表明，供试土壤中发生了Cu和Zn的淋溶。秸秆和籽粒中的Cu和Zn浓度不受施用猪粪的影响，且这些值低于动物和人类摄入的阈值。
P11103,Geometric morphology and soil properties of shallow karst fissures in an area of karst rocky desertification in SW China,中国西南喀斯特石漠化区浅层喀斯特裂隙的几何形态及土壤性质,严重的土壤侵蚀和极低的成土率导致地表土层变薄，使得喀斯特地区树木生长困难。同时，地表土壤在径流的驱动下进入浅层喀斯特裂隙（SKF）；这些充满土壤的SKF已成为该地区的主要生境类型。在此，我们探讨了浅层喀斯特裂隙的形态特征以及SKF的土壤物理化学性质，并综合分析了影响土壤性质的因素。提出了三个关键结果。首先，浅层喀斯特裂隙的形态特征具有高度异质性。根据垂直截面的不同特征，SKF可分为5种类型：矩形型、金字塔型、漏斗型、网状型和菱形型。此外，SKF的倾角主要集中在60°至90°之间（76.39%），顶部开口宽度主要集中在20至40厘米之间（51.39%），轨迹长度主要集中在80至160厘米之间（76.39%）。其次，与地表土壤相比，SKF的土壤容重和土壤颗粒分形维数均较大，且SKF土壤的主要成分为粘土。第三，SKF的土壤养分（有机质、全氮和全磷）低于地表土壤养分，但不显著。SKF的全钾（TK）高于观测到的地表土壤，并随着SKF深度的增加而增加。SKF的土壤养分受裂隙形态显著影响。连通性较差的裂隙具有更好的土壤肥力。综合考虑SKF的形态特征和土壤性质，确定最适合用于喀斯特石漠化地区生态恢复的
P00102,"Heavy Metal Contamination in Arable Soils and Vegetables around a Sulfuric Acid Factory, China",中国硫酸厂周边耕地土壤及蔬菜的重金属污染,
P00103,"Magnetic Susceptibility and Heavy Metals Distribution from Risk-cultivated Soil around the Iron–Steel Plant, China",中国钢铁厂周边风险农田土壤的磁化率与重金属分布,
P00309,Spatial distribution and controlling factors of heavy metals contents in paddy soil and crop grains of rice–wheat cropping system along highway in East China,中国东部高速公路沿线稻麦轮作系统稻田土壤及作物籽粒重金属含量的空间分布及其控制因素,对于公路旁农业用地交通排放造成的重金属污染已有共识。然而，针对公路旁水旱轮作田重金属污染特征的详细定量分析研究较少。本研究调查了2008年中国东部某主要高速公路沿线稻麦轮作系统土壤和作物籽粒中重金属（Pb、Cd、Cr和Zn）的浓度，并利用GIS和分类与回归树（CART）分析了重金属的空间分布特征及其影响因素。土壤、水稻和小麦籽粒中重金属含量显著升高，表明公路旁稻麦轮作田存在交通排放造成的重金属污染。小麦籽粒中Cd、Cr和Zn的污染水平高于水稻籽粒，而Pb则呈现相反趋势。土壤、水稻和小麦籽粒中重金属含量的空间分布存在明显差异，表明路边作物籽粒中的重金属含量不仅仅取决于稻田土壤中的重金属浓度。CART分析结果表明，作物籽粒中重金属含量的空间变异主要受土壤有机质或土壤pH值的影响，其次取决于与高速公路的距离和风向。我们的发现对高速公路沿线的环境评估和粮食安全作物规划具有重要意义。
P00386,Assessing heavy metal pollution in the water level fluctuation zone of China’s Three Gorges Reservoir using geochemical and soil microbial approaches,基于地球化学和土壤微生物方法评估中国三峡水库消落带重金属污染,三峡水库的水位消落带（WLFZ）位于陆地和水生生态系统的交汇处，评估淹没区的重金属污染对于生态修复和水源保护至关重要。本研究于2009年6月和9月在WLFZ的自然恢复区和植被重建区采集了土壤，应用地球化学方法（包括地累积指数 Igeo 和因子分析）和土壤微生物群落结构评估了空间变异性，并评价了植被重建对WLFZ中金属的影响。地球化学方法表明，Cd为中度污染物，Hg为轻度污染物，WLFZ中存在四种类型的污染源，包括工业和生活废水、天然岩石风化、交通尾气和地壳物质。我们的结果还表明，植被重建区中As、Cd、Pb、Zn和Mn元素的浓度显著降低。此外，土壤微生物群落结构未能监测到这种相对清洁区域的重金属污染。我们的结果表明，植被重建在控制中国三峡水库WLFZ重金属污染方面发挥着重要作用。
P00389,Heavy metal enrichment in the soil along the Delhi–Ulan section of the Qinghai–Tibet railway in China,中国青藏铁路德令哈至乌兰段沿线土壤重金属富集研究,道路和交通排放的污染物最近引起了广泛关注。然而，大多数研究主要集中在高速公路上，很少涉及铁路。本研究选取了青藏铁路路基处及距路基底部不同垂直距离（2、5、10、20、30、50、60、70、80、100和150米）的土壤样品。此外，在每个平坦样点的四个土壤深度（5、10、20和30厘米）选取了土壤。研究了青藏铁路德令哈至乌兰段沿线土壤中九种重金属（V、Cr、Co、Ni、Cu、Zn、Rb、Cd和Pb）的富集情况。结果表明，Cr、Ni、Cu、Zn、Pb和Cd的平均浓度在路基处最高。随着离路基距离的增加，土壤中Cu的浓度呈S曲线函数下降，而Cd、Pb和Zn呈反函数下降（p < 0.0001）。其他研究金属的浓度随距离增加没有显著变化。经统计分析后，认为土壤中的Pb、Cd和Zn受到铁路运营的影响。然而，这种影响较弱，仅从路基底部水平延伸不到5米，从地表垂直延伸不到10厘米。与其他铁路相比，青藏铁路德令哈至乌兰段沿线土壤中重金属的平均浓度被认为较低。
