序号,英文标题,中文标题,中文摘要
P00767,Lower soil chemical quality of pomelo orchards compared with that of paddy and vegetable fields in acidic red soil hilly regions of southern China,中国南方酸性红壤丘陵区柚子园土壤化学质量低于稻田和菜地,目的 可持续的土地管理被认为是通过改善土壤质量和提高作物生产力来确保国家粮食安全的有效措施。本研究旨在评估由连作系统管理的稻田、菜地和柚子园的土壤质量状况，建立最小数据集（MDS）并推荐施肥策略以提高酸性红壤丘陵地区的生产力。材料与方法 使用总数据集（TDS）和MDS作为指标选择方法计算土壤质量指数（SQI）。分别从稻田、菜地和柚子园收集了51、32和44个土壤样品（0–20 cm）。测定了11种土壤性质（地理指标（海拔）和10个化学参数），以评估中国南方福建省平和县酸性红壤丘陵地区的土壤质量。结果与讨论 结果显示，稻田、菜地和柚子园之间的土壤质量指标存在显著差异，通过主成分分析（PCA）将海拔、全氮、水解氮（Avail-N）、交换性钙（Avail-Ca）和有效锌（Avail-Zn）作为MDS中的指标。在对选定指标进行评分和加权后，稻田、菜地和柚子园土壤的平均SQI评分（TDS）分别为0.267、0.282和0.236，而MDS的SQI评分分别为0.233、0.256和0.166。使用TDS和MDS方法均观察到SQI与作物产量之间存在显著的正相关关系，表明MDS方法能充分代表TDS方法
P00807,Measurement and Scaling of Mercury on Soil and Air in a Historical Artisanal Gold Mining Area in Northeastern China,中国东北历史土法金矿区土壤和空气中汞的测量与通量估算,夹皮沟金矿区位于松花江上游，曾是中国最早且最大的土法金矿之一。该区金矿开采历史超过190年（始开于1820年）。从1940年到2008年，混汞法是主要的开采手段，据估计该方法共开采黄金超过100吨，并释放了100-200吨汞，导致矿区严重的汞环境污染。本研究在2009年4月至2011年12月期间，测量了原位空气和土壤汞浓度及气-土汞通量。结果显示，研究区总气态汞（TGM）浓度表现出显著的空间和时间分布模式，即空间上随着距离金矿开采点距离的增加TGM逐渐降低；季节上，春夏秋三季的值比冬季高1-2个数量级。此外，在除二道沟开采点外的其他采样点，春季总土壤汞（TSM）浓度高于秋季。然而，春季和冬季气-土间的汞通量受不同环境因素控制，特征鲜明。春季气-土汞通量直接受太阳辐射控制，释放过程占主导，与太阳辐射呈显著正相关；而冬季气-土汞通量间接受太阳辐射控制（因厚雪盖导致逆温），沉降过程占主导，汞通量与气温呈显著负相关，与太阳辐射呈正相关。
P00873,"Dynamic characteristics of heavy metal accumulation in the farmland soil over Xiaoqinling gold-mining region, Shaanxi, China",陕西小秦岭金矿区农田土壤重金属累积的动态特征,确定土壤中重金属累积的动态特征及其控制因素对土壤重金属污染的预防和治理具有重要意义。在本研究中，采集了中国陕西小秦岭金矿区农田的土壤样品，并分析了其中Pb、Cd和Cu等重金属的含量。研究发现，在1985年至2015年的30年间，这些重金属的含量总体呈上升趋势。无论是在研究区域尺度、陕西省尺度还是国家尺度上，与背景值相比，这些金属含量至少自1989年以来就表现出累积效应。所有的累积率都严重依赖于金矿开采活动产生的尾矿，因此随着尾矿的持续产生，累积率保持稳定，直到2008年矿山枯竭且开采活动受到限制后，整个区域尺度的累积率才开始下降。由于受含金属矿物、地理特征和当地主导风等因素的影响，研究区域农田的累积率具有特定的地点特征。随着时间的推移，重金属累积区域不断扩大，累积率大小顺序为Cd > Pb > Cu，这同样受到尾矿、含金属矿物、地理特征和当地主导风的影响。当地主导风向导致重金属在农田区域的累积向西北方向扩展。因此，削弱风的影响是防止研究区农田重金属累积和累积区域扩大的有效途径。
P00875,Human health risk assessment of soil in an abandoned arsenic plant site: implications for contaminated site remediation,废弃砷厂场地土壤的健康风险评估：对污染场地修复的启示,废弃污染场地的修复被认为对其重新开发具有重要的社会、经济和环境效益。风险评估是污染场地修复过程中的关键步骤。然而，就污染场地风险评估的经验而言，中国尚处于起步阶段。对于负责清理污染场地的决策者来说，一个挑战在于理解风险评估在污染场地修复过程中的关键作用。本研究针对位于中国河池市的罗马场地，采用场地特异性的人体健康风险评估方法，对受重金属（As、Cd、Hg、Pb 和 Zn）污染的高风险场地进行了优先排序。结果发现，As、Cd、Pb 和 Zn 的土壤样品中，分别有 96%、78%、35% 和 43% 超过了中国的土壤阈值。进一步的研究 conclusively 表明，罗马场地目前的土壤状况对潜在的未来受体构成非致癌和致癌风险。非致癌和致癌风险的主要贡献途径是经口摄入。As 和 Pb 是造成累积风险和需要修复的亚区域的主要物质。
P00932,Response of arbuscular mycorrhizal fungi and phosphorus solubilizing bacteria to remediation abandoned solid waste of coal mine,丛枝菌根真菌和解磷菌对废弃煤矿固体废物修复的响应,煤炭是中国重要的能源资源，但废弃的煤灰和煤矸石导致植被覆盖度下降和土壤质量降低。丛枝菌根真菌（AMF）和解磷细菌（PSB）在土壤有机质分解、养分释放和能量流动等生物地球化学循环中发挥着关键作用。为了改善和恢复煤矿废弃物的土壤质量和生态效率，我们在具有中央30mm尼龙网屏障的双室微宇宙中，研究了AMF菌株（摩西管柄囊霉）和PSB菌株（斯氏泛菌）对植酸盐矿化及其向宿主植物（紫花苜蓿）转移的影响。结果显示，在根系和菌丝室中，AMF-PSB联合接种处理的有效磷（AP）、地上生物量（AGB）和地下生物量（UGB）显著高于其他处理。AMF或PSB的微生物接种剂对土壤酸性磷酸酶活性（ACP）有显著影响。AMF-PSB增强了植酸盐矿化，提高了植物生物量。AP和ACP对AGB和UGB有积极影响。AMF-PSB可用作生物接种剂，以增强煤矿废弃固体废物中植物的可持续生产。
P00935,Land Use Changes Impact Distribution of Phosphorus in Deep Soil Profile,土地利用变化对深层土壤剖面磷素分布的影响,评估土地利用变化后深层土壤剖面中磷的积累和分布对于改进当前的磷管理至关重要。本研究调查了中国西北杨凌地区小麦-玉米轮作转化为温室蔬菜或猕猴桃种植后，300厘米土壤剖面中的磷形态和磷饱和度。与耕地相比，温室蔬菜或猕猴桃园表层土壤的磷积累显著增加，即CaCl2-P增加了10-20倍，Olsen-P增加了3-5倍，Mehlich-3提取磷增加了3-6倍，有机磷最多增加了4倍。磷饱和度从粮食作物的4%增加到猕猴桃园的14%和温室蔬菜的22%。土地利用转化还显著增加了分布在深达300厘米的深层土壤中的土壤有效磷（Olsen-P和Mehlich-3提取磷），特别是温室蔬菜，其中Olsen-P或Mehlich-3提取磷含量达到了作物实现最大产量的临界磷值。我们的结果表明，在当前的管理模式下，大量的磷已经进一步淋溶到深层土壤中。因此，迫切需要更新温室蔬菜和猕猴桃园的磷管理策略，特别是涉及有机肥施用的策略，以防止未来情况恶化。
P01039,Effects of yak and Tibetan sheep trampling on soil properties in the northeastern Qinghai-Tibetan Plateau,牦牛和藏系绵羊践踏对青藏高原东北部土壤性质的影响,草地土壤受食草动物践踏、摄食和排泄的影响，其中践踏的影响最为显著和剧烈。然而，家畜践踏对草地土壤的作用机制尚不明确。本研究旨在查明牦牛和藏系绵羊在不同放牧强度下对草地践踏的差异性影响。因此，我们于2015年和2016年连续两年模拟了牦牛和绵羊的践踏，研究了中国甘肃省天祝高寒草甸不同践踏强度对土壤性质的影响。结果显示，重度践踏下0–10 cm土层的土壤容重显著高于未践踏处理(CK)，而饱和导水率、呼吸速率及微生物菌落数(细菌、真菌和放线菌)显著降低。随着践踏强度的增加，0–20 cm土层的土壤有效氮(AN)和有效钾(AK)增加，而0–20 cm土层的全氮(TN)和全磷(TP)以及0–10 cm土层的有效磷(AP)减少。全钾(TK)和有机质随践踏强度变化不显著。牦牛践踏增加了容重、AN和AK，降低了土壤呼吸速率、饱和导水率、微生物菌落数、TN、TP和AP。冻融循环和冷季非生长季放牧缓解了土壤固结。结果表明，家畜的重度践踏压实了表层土壤，降低了土壤渗透性，恶化了微生物的生存环境。因此，在青藏高原的高寒草甸中，牦牛践踏对土壤固结的影响比藏系绵羊更严重。
P01049,Profile stock of soil organic carbon and distribution in croplands of Northeast China,中国东北地区农田土壤有机碳剖面储量及分布,土壤有机碳库是地球上最重要的碳(C)储库之一，并在全球气候变化中发挥着至关重要的作用。然而，由于缺乏土壤容重数据，且样本深度、地理条件和土壤性质存在差异，区域尺度的土壤有机碳储量仍具有不确定性。基于78个土壤剖面数据，我们估算了中国东北三个典型县（林甸、海伦和宝清县）耕地0-100 cm深度的土壤有机碳密度(SOCD)及其分布。土壤有机碳含量及其变异随土壤深度的增加而显著降低。100 cm深度的SOCD范围为52.3至323.1 Mg ha−1，平均值为163.6 Mg ha−1。0-20 cm表层土的SOCD占100 cm土壤剖面的32.8%。建立0-20 cm与0-100 cm SOCD之间的数学方程是估算土壤剖面SOCD的有用工具。此外，土壤深度、容重、土壤pH值和海拔与土壤有机碳含量显著相关。将数据集中的土壤有机碳对单一因子（土壤深度、容重(bulk density)、土壤pH值、粘粒含量和海拔）进行回归分析，有助于理解碳随时间和深度的变化。
P01060,Microorganism remediation strategies towards heavy metals,微生物针对重金属的修复策略,重金属污染因其高毒性、不可生物降解性和生物富集性，严重威胁着人类的健康和生态系统的稳定性。自然环境中的活性重金属离子可以通过微生物活动进行固定、去除和解毒。由于具有高效、低成本和环境友好等突出优点，开发高效的生物技术来清除有毒金属废物已经引起了科学家们的极大关注。经过数百万年的进化，一些微生物对重金属离子产生抗性并能够修复重金属污染。然而，微生物的抗性系统与其对重金属离子的修复能力之间的关系尚不清楚。为了揭示这一内在联系，我们在这篇综述中总结了重金属生物修复技术及其解毒途径，这将有助于发现它们之间的内在联系并开发更高效的生物修复技术。此外，本综述还提出了与基因编辑和先进材料相关的多功能生物修复技术的未来潜力。
P01068,Soil functions and ecosystem services research in the Chinese karst Critical Zone,中国喀斯特关键带土壤功能与生态系统服务研究,喀斯特覆盖了中国广阔的地区，是一个极其重要的景观，在过去仅50年里经历了快速和集约的土地利用变化以及相关的生态系统退化。在自然状态下，这些景观提供的关键生态系统服务包括调节水文循环、养分循环和供给、土壤和生物量中的碳储存、养分循环、生物多样性和粮食生产。自20世纪末以来，农业的集约化导致关键带（CZ）状况迅速恶化，作物产量减少和土壤迅速流失就是明证。在许多地区，随着基岩裸露和“石漠化”占主导地位，似乎已经越过了生态“临界点”。本文综述了中国喀斯特生态系统中土壤过程和生态系统服务提供的当代研究，重点是土壤退化和通过可持续管理进行生态系统恢复的潜力。很明显，目前对这些景观中控制土壤功能的地质、水文和生态过程的了解有限，这对于制定优化生态系统服务提供的管理战略至关重要。这一知识差距构成了一个典型的关键带科学挑战，因为必须采用综合的多学科方法来量化中国喀斯特关键带土壤对极端人为扰动的响应，并从机理上了解其对环境胁迫的恢复力，从而为恢复和维持可持续土壤功能的战略提供信息。
