序号,英文标题,中文标题,中文摘要
P09652,Trend and Change-Point Analysis of Streamflow and Sediment Discharge of the Gongshui River in China during the Last 60 Years,中国贡水河流域近60年径流与输沙趋势及突变点分析,贡水河流域是中国南方水土流失最为严重的地区之一，也是国家水土保持项目的重点治理区域。本研究利用贡水河流域主要水文站1957年至2015年的日降水、径流和含沙量数据，调查了径流和泥沙排放的变化及其对降水和人类活动的响应。采用Mann-Kendall和Pettitt检验进行趋势和突变点检测。利用双累积曲线（DMC）方法量化降水变化和人类活动对水文情势转变的影响。结果显示，所有站点的年降水和径流趋势均不显著，而大多数站点的泥沙排放呈现显著的下降趋势。突变点分析显示，除马州站外，所有水文站点均有转折年。DMC估算表明，在突变年后，韩林桥、凤坑、巨龙潭、下山和茶吾站的泥沙排放迅速减少，而马州、瑞金和杨新建站则没有。人类活动对泥沙排放的贡献显著大于降水。证据清楚地表明，保护或破坏措施的程度和范围以及大中型水库的建设是导致贡水河年泥沙排放量显著减少或增加的主要因素。这项工作可作为流域水资源管理决策的基础，以评估过去几十年人类活动对水沙排放变化的影响，从而指导流入鄱阳湖的贡水河水资源的适应和保护。
P10980,Biogenesis of Mercury−Sulfur Nanoparticles in Plant Leaves from Atmospheric Gaseous Mercury,大气气态汞在植物叶片中汞-硫纳米颗粒的生物发生,
P00669,Radioactive artificial 137Cs and natural 40K activity in 21 edible mushrooms of the genus Boletus species from SW China,中国西南地区21种牛肝菌食用菌中人工放射性137Cs和天然40K的活性,
P06969,"Effect of overlying water pH, dissolved oxygen and temperature on heavy metal release from river sediments under laboratory conditions",上覆水pH、溶解氧和温度对实验室条件下河流沉积物重金属释放的影响,在实验室进行了重金属释放实验，以考察pH、溶解氧(DO)和温度这3种因素对取自黄浦江沉积物中金属释放的影响。干沉积物中金属浓度范围为：Cr 0.030~0.296 mg g-1，Ni 0.021~0.097 mg g-1，Cu 0.014~0.219 mg g-1，Zn 0.035~0.521 mg g-1，Cd 0.0002~0.001 mg g-1，Pb 0.023~0.089 mg g-1。沉积物中的大多数金属以残渣态形式存在，可交换态仅占金属总量的很小一部分。在不同条件下进行的为期13天的实验中，上覆水中平均溶解态金属浓度范围分别为：Cr 0.82~1.93 μg L-1，Ni 1.08~4.19 μg L-1，Cu 40.79~82.28 μg L-1，Zn 20.30~29.96 μg L-1，Cd 1.57~4.07 μg L-1，Pb 22.26~75.50 μg L-1。数据的统计学分析表明，在研究条件下，pH (7、8、9)、溶解氧DO (1.0和5.0 mg L-1)和温度(4、16、25°C)对重金属释放无显著影响。Cu和Pb的释放通量最高，而Cd、Pb和Cu具
P07108,Factors affecting distribution patterns of organic carbon in sediments at regional and national scales in China,区域和国家尺度影响中国沉积物有机碳分布格局的因素,湿地是陆地生态系统中重要的碳库。研究对四个湿地（ZR：牦牛河；ZRCW：牦牛河人工湿地；XR：薛新河；XRCW：薛新河人工湿地）的沉积物样品进行了轻组有机碳（LFOC）、重组有机碳（HFOC）和溶解性有机碳（DOC）的分组分析。并检索和统计分析了中国河流和海岸的有机碳（OC）数据。在区域尺度上，HFOC稳定主导OC的沉积（95.4%），而ZR中的DOC和LFOC显著高于ZRCW。XRCW中的DOC浓度（30.37mg/l）显著高于XR（13.59mg/l）。DOC和HFOC在两次采样活动之间有显著区别，且碳组分的沉积受低氮输入的限制。在国家尺度上，OC在降水量为800mm时达到最大值2.29%。OC在三个气候带之间无显著差异，但河流沉积物中的OC显著高于海岸。随着纬度的降低，海岸OC从渤海（0.52%）增加到南海（0.70%）。本研究总结了区域和国家尺度影响有机碳储量的因素，对碳评估、建模和管理具有建设性意义。
P07382,"Spatial distribution, contamination and ecological risk assessment of heavy metals in surface sediments of Erhai Lake, a large eutrophic plateau lake in southwest China",中国西南大型富营养化高原湖泊洱海表层沉积物中重金属的时空分布、污染及生态风险评估,本研究分析了中国西南部大型富营养化高原湖泊洱海42个表层沉积物（0-2厘米）样品中的重金属（As、Cd、Cr、Cu、Hg、Ni、Pb和Zn）和主要金属（Al、Fe和Ti）的浓度。通过比较多变量统计分析和富集因子（EF）结果研究了重金属污染情况，并结合沉积物质量指南（SQGs）、潜在生态风险指数和EF指数讨论了潜在的生态风险。由于人为污染和沉积物质地（如粒径和有机质含量）的变化，重金属浓度在表层沉积物中表现出明显的空间差异。主成分分析（PCA）表明Cr、Cu和Ni主要源于成岩母质，而As、Cd、Hg、Pb和Zn的水平受人为污染影响。EFs显示，除As、Cd、Hg、Pb和Zn外，Cu也受人为污染影响。在整个湖泊范围内，Cu、Pb和Zn的污染程度为零至轻微，As、Cd和Hg为中度至显著。PCA和EF结果对Cu的不同来源表明，当污染水平较低时，PCA在区分污染物方面的效果较差。表层沉积物中的人为As主要来源于农业，其他人属金属主要来源于大气沉降，其次来源于工业排放。As和Cd的平均浓度高于SQGs的阈值效应浓度（TECs），表明金属很可能产生不利影响，这与Er评估结果一致。Hg的平均浓度低于T
P07660,Alteration of the number and percentage of innate immune cells in preschool children from an e-waste recycling area,电子废物回收区学龄前儿童先天免疫细胞数量和百分比的改变,重金属铅和镉是广泛存在的环境污染物，对免疫系统有不利影响。我们评估了来自电子废物回收区的儿童的铅/镉暴露与先天免疫细胞之间的关联。共招募了294名学龄前儿童，包括153名来自贵屿（电子废物暴露组）的儿童和141名来自濠江（参考组）的儿童。外周血中的铅和镉水平通过石墨炉原子吸收分光光度计测量，NK细胞百分比通过流式细胞仪检测，其他先天免疫细胞（包括单核细胞、嗜酸性粒细胞、中性粒细胞和嗜碱性粒细胞）通过自动血液分析仪即时测量。结果显示，贵屿组儿童的铅和镉水平显著高于参考组。贵屿组的单核细胞、嗜酸性粒细胞、中性粒细胞和嗜碱性粒细胞的绝对计数以及嗜酸性粒细胞和中性粒细胞的百分比显著较高。相比之下，贵屿组的NK细胞百分比显著较低。在不同铅浓度五分位数中，相对于第一个五分位数，铅引起单核细胞、嗜酸性粒细胞和嗜碱性粒细胞计数以及单核细胞百分比的显著上升，但中性粒细胞百分比下降。与镉浓度的第一个五分位数相比，最高五分位数的镉导致中性粒细胞计数和百分比的显著增加。我们得出结论，先天免疫细胞数量和百分比的改变与较高水平的铅和镉有关，这表明铅和镉暴露可能影响贵屿儿童的先天和适应性免疫反应。
P07666,Using Chironomus dilutus to identify toxicants and evaluate the ecotoxicity of sediments in the Haihe River Basin,利用摇蚊幼虫鉴定毒物并评估海河流域沉积物的生态毒性,
P07723,An ordinal classification of brownfield remediation projects in China for the allocation of government funding,中国棕地修复项目的有序分类与政府资金分配,随着中国棕地数量的增加，中国政府正面临棕地修复项目的巨大资金缺口。因此，作者提出了一个框架，以协助省级政府对其棕地进行分类，从而适当分配资金。具体而言，该框架首先根据现有文献和专家意见构建指标体系。然后，结合指标体系，由专家对一组棕地样本进行测量，并使用优势粗集方法进行训练以推导判别规则。验证后，这些规则用于生成完整棕地集的有序分类。由此产生的有序分类为政府提供了从最高优先级到最低优先级的棕地序列，这可以支持政府的预算和规划。此外，随着棕地数量和条件的变化，指标体系和相应的类别可以在每个财政年度（或每个规划期）开始时更新并重新应用，以促进政府的决策。所提出的决策过程也可应用于协助其他资金有限的国家的任何棕地利益相关者的投资决策。
P08604,"Coupling of Hofmeister effect, electrolyte concentration, and mechanical composition in soil loss: Runoff simulation study",Hofmeister效应、电解质浓度与机械组成在土壤流失中的耦合：径流模拟研究,土壤颗粒间的静电斥力控制着径流中土壤流失的强度，而该斥力受控于阳离子表面反应（如Hofmeister效应）、电解质浓度和土壤颗粒大小的耦合。本研究使用不同浓度的Li+、K+和Cs+来调节中性紫色土（冲积土）的阳离子表面反应或Hofmeister效应以及电解质浓度。通过添加直径0.55-1 mm的石英颗粒调整土壤的机械组成，并利用土壤颗粒的平均表面电位间接表达颗粒间的静电斥力。结果表明，Hofmeister效应、电解质浓度和机械组成在土壤流失过程中强烈耦合，其中Hofmeister效应起着最关键的作用。耦合效应的物理机制可归纳如下：土壤颗粒间的静电斥力取决于Hofmeister效应与电解质浓度的耦合。影响径流中土壤流失强度的土壤团聚体破碎强度，由静电斥力及其产生速率决定，而后者受控于土壤的机械组成。我们得出结论：（1）土壤阳离子表面反应是决定静电斥力进而决定径流中土壤流失强度的关键因素；（2）对于给定的土壤，机械组成提供了决定静电斥力产生速率以破碎土壤团聚体的基本因素；（3）增加土壤的大颗粒含量会增强土壤流失强度，但不一定增加土壤流失量。
P10751,The current status of heavy metal in lake sediments from China: Pollution and ecological risk assessment,中国湖泊沉积物中重金属的现状：污染与生态风险评估,湖泊沉积物中的重金属污染是一个严重问题，特别是在中国等发展中国家。为了评估中国湖泊沉积物中重金属的污染和风险，我们整理了过去10年文献中关于中国24个省份湖泊沉积物重金属污染的可用数据。基于这些数据，我们使用沉积物质量指南、地累积指数和潜在生态风险指数来评估潜在生态风险水平。结果表明，约20.6%的湖泊研究样本中的As超过了中国土壤质量标准的二级水平，31.3%的Cd，4.6%的Cu，20.8%的Ni，2.8%的Zn和11.1%的Hg。此外，10.3%湖泊中的As平均浓度，11.9%湖泊中的Hg和31.3%湖泊中的Ni超过了可能效应水平。有毒金属的潜在生态风险依次为Cd > Hg > As > Cu > Pb > Ni > Cr > Zn，有21.8%的湖泊处于中等风险状态，10.9%处于高风险，12.7%处于极高风险。可以得出结论，中国湖泊沉积物受到不同程度的重金属污染。为了向相关管理机构提供关键的管理目标，基于污染和生态风险评估结果，Cd、Hg、As、Cu和Ni被选为优先控制重金属，东部沿海省份和湖南省被选为优先控制省份。因此，本文对中国湖泊沉积物中的重金属污染进行了综合评估，并为
P10911,A Pilot-scale Benthic Microbial Electrochemical System (BMES) for Enhanced Organic Removal in Sediment Restoration,用于增强底泥修复中有机物去除的中试底栖微生物电化学系统,
P11422,【重磅免费】1985-2024年（共36年）中国⼟地利⽤（CLCD）30⽶数据集免费获取与全⽅位解析,【重磅免费】1985-2024年（共36年）中国⼟地利⽤（CLCD）30⽶数据集免费获取与全⽅位解析,
P00639,"An ecological risk assessment of heavy metal contamination in the surface sediments of Bosten Lake, northwest China",中国西北博斯腾湖表层沉积物重金属污染的生态风险评价,选择中国西北沙漠绿洲中典型的堰塞湖——博斯腾湖，评估重金属的分布、来源、污染状况及潜在生态风险。从湖泊采集沉积物样品，结果显示8种重金属的值均在国家土壤二级标准范围内，但平均值和最大值高于研究区的背景值。多元统计分析表明，沉积物中Cd、Pb、Hg和Zn的浓度主要受人为来源影响，而Cu、Ni、Cr和As主要源于自然。富集因子分析（EF）和地累积指数评价法（Igeo）显示，Cd、Hg和Pb处于低污染和局部中度污染水平，而Zn、As、Cr、Ni和Cu主要表现为无污染和低污染水平。潜在生态危害指数（RI）显示，8种重金属中，Pb、Hg和Cd的潜在生态风险最高，RI分别为29.06%、27.71%和21.54%。这些发现表明，该流域近期经济发展导致了湖泊表层沉积物中重金属的积累。
P00893,Rooftop production of leafy vegetables can be profitable and less contaminated than farm-grown vegetables,屋顶叶菜生产既盈利且比农场种植的污染更少,
P02235,"H/C atomic ratio as a smart linkage between pyrolytic temperatures, aromatic clusters and sorption properties of biochars derived from diverse precursory materials",H/C原子比：热解温度、芳簇结构及多种前驱物来源生物炭吸附性能的智能关联,
P02917,Ecoefficiency of Intensive Agricultural Production and Its Influencing Factors in China: An Application of DEA-Tobit Analysis,中国集约化农业生产的生态效率及其影响因素研究：基于DEA-Tobit分析的应用,
P03306,The effectiveness of Shennongjia National Nature Reserve in conserving forests and habitat of Sichuan snub-nosed monkey,湖北神农架国家级自然保护区森林和川金丝猴栖息地的保护成效,"自然保护区是保护生物多样性最有效的方式之一... (truncated) ... 神农架保护区在森林和旗舰种栖息地保护方面, 均取得了很好的保护成效。"
P03979,Suppressing Heavy Metal Leaching through Ball Milling of Fly Ash,通过球磨抑制飞灰中重金属的浸出,球磨被研究作为减少城市生活垃圾焚烧（MSWI）飞灰中重金属淋滤浓度（通常称为稳定化）的一种方法。在行星球磨机中处理飞灰，通过球体与飞灰之间的碰撞驱动各种物理过程以及化学反应，使三种重金属（Cu、Cr、Pb）在浸出液中的溶解度大大降低。通过分析处理后的飞灰中可淋滤部分的重金属来评估稳定化效率。球磨降低了Cu、Cr和Pb的淋滤浓度，水洗通过去除可溶性盐有效地促进了稳定化效率。通过激光粒度分析和扫描电子显微镜分析了颗粒的尺寸分布和形态。X射线衍射分析显示球磨显著降低了飞灰的结晶度。飞灰颗粒可以通过这种球磨被活化，导致粒径显著减小，BET比表面积增加，并将其中的碱性晶体转变为非晶态结构。活化颗粒中存在的酸缓冲材料的溶解速率增强，导致浸出液的pH值升高，从而减少了部分重金属的浸出。
