序号,英文标题,中文标题,中文摘要
P05899,Relationship between organic carbon concentration and potential pond bottom soil respiration,有机碳浓度与潜在池塘底泥呼吸的关系,
P05906,"Spatial distribution of soil organic carbon and analysis of related factors in croplands of the black soil region, Northeast China",中国东北黑土区农田土壤有机碳空间分布及相关因素分析,在县级尺度上，对中国东北黑土区土壤有机碳（SOC）的空间变异性及其与景观因素的关系知之甚少。因此，以中国东北德惠县为研究区，利用GIS和地统计学探讨了土壤有机碳的空间特征及其相关因素（即土地利用、地形和土壤类型等）。在德惠县农田的354个位置采集了表层土壤样品。SOC浓度服从对数正态分布，算术平均值为1.61%，几何平均值为1.55%。SOC的实验变异函数拟合为指数模型。较低的SOC浓度与较大的坡度梯度相关。黑钙土的SOC浓度最高，风沙土的SOC值最低。通过克里金插值得到的SOC浓度空间分布格局表明，以饮马河为界将研究区分为两部分后，西部样品的SOC含量在统计上高于东部。这种格局与地形和土地利用类型的空间结构大致一致。
P05917,"Assessment of soil lead exposure in children in Shenyang, China",中国沈阳儿童土壤铅暴露评估,沈阳土壤铅污染严重。约15.25%的样本超过中国环保局保护人体健康的土壤Pb指南浓度(350 mg/kg)。土壤铅主要来自工业排放和汽车尾气。生物可给性在不同使用场景中有所变化。摄入工业区、公园、幼儿园操场和商业区土壤的儿童更容易受到土壤铅毒性的影响。Pb从土壤中转移到摄入汁液中的量受污染水平、使用场景类型、Pb相态及其他未研究因素的影响。与3岁儿童相比，4-5岁儿童更有可能表现出土壤铅生物可给性与血铅之间的显著关系，因为他们的行为使其处于土壤铅毒性风险的最大程度，且他们的血铅水平更能代表近期暴露。
P05941,"Spatial and vertical distribution and pollution assessment of soil fluorine in a lead-zinc mining area in the Karst region of Guangxi, China",广西岩溶地区铅锌矿土壤氟的空间和垂直分布及污染评价,氟污染是全球土壤环境中的一个严重问题，而在岩溶地区关于其空间和垂直分布的评价研究十分有限。本研究选取岩溶地区某铅锌矿周边的农田作为研究区，采集了91个表层土壤样品和两个土壤剖面（分别位于水田和旱地）。水田表层土壤的总氟平均浓度为378 mg/kg，而旱地为508 mg/kg。所有水田土壤样品和97.87%的旱地土壤样品的总氟浓度均高于广西背景值。所有旱地土壤的氟污染程度远高于水田土壤，表明旱地污染严重。氟的垂直分布在两种农田中表现不同：水田中氟含量在20-40cm深度增加，随后在40-60cm深度急剧下降，然后逐渐增加；而旱地中氟含量随采样点深度逐渐上升。相关性分析和回归分析结果表明，该地区土壤氟的空间分布和垂直变化主要受母岩影响。
P09579,Tolerance and biosorption of copper and zinc by Pseudomonas putida CZ1 isolated from metalpolluted soil,分离自重金属污染土壤的恶臭假单胞菌CZ1对铜和锌的耐受性及生物吸附,假单胞菌CZ1菌株分离自中国浙江省中北部重金属污染土壤中海州香薷的根际，本文研究了其对铜和锌的耐受性及生物吸附能力。基于16S rDNA测序，该微生物与恶臭假单胞菌密切相关。它表现出高的金属最小抑菌浓度值（约3 mmol Cu·L–1和5 mmol Zn·L–1）以及对氨苄青霉素的抗性，但对卡那霉素无抗性。基于重金属毒性筛选的结果，固体培养基中的抑制浓度低于液体培养基。此外，发现铜的毒性高于锌。恶臭假单胞菌CZ1在活性生长周期内能够去除约87.2%的铜和99.8%的锌，比生物吸附能力分别为24.2和26.0 mg·L–1。尽管在低浓度下，铜和锌会轻微损伤部分细胞的表面，但恶臭假单胞菌仍显示出对铜和锌的高生物吸附能力。由于恶臭假单胞菌CZ1能够在存在显著金属浓度的情况下生长，并且因为其在有氧条件下具有很高的金属吸收能力，因此该细菌可能潜在适用于生物反应器或重金属污染的水或土壤系统的原位生物修复。
P00435,Heavy metal uptake by arbuscular mycorrhizas of Elsholtzia splendens and the potential for phytoremediation of contaminated soil,海州香薷丛枝菌根对重金属的吸收及污染土壤植物修复的潜力,分别通过盆栽实验和田间实验，研究了接种丛枝菌根（AM）真菌的海州香薷对Cu、Zn、Pb和Cd污染土壤中重金属（HM）的吸收情况及其植物修复潜力。盆栽实验中的重金属污染土壤采集自田间实验点。在未灭菌条件下，将两种AM真菌接种剂（MI仅含一种AM真菌菌株Glomus caledonium 90036，MII由Gigaspora margarita ZJ37、Gigaspora decipens ZJ38、Scutellospora gilmori ZJ39、Acaulospora spp.和Glomus spp.组成）施入土壤。在盆栽实验中，植物生长24周后收获。测定了菌根侵染率、植物干重（DW）以及P、Cu、Zn、Pb、Cd的浓度。MI处理的植物比MII处理的植物具有更高的菌根侵染率。MI和MII都增加了地上部和根部的DW，且MII比MI更有效。在地上部，MII处理组的P、Cu、Zn和Pb浓度均为最高，而MI降低了Zn和Pb浓度并增加了P浓度，但未改变Cu浓度，两种接种剂对Cd浓度均无影响。在根部，MII增加了P、Zn、Pb浓度，但未改变Cu和Cd浓度，MI对P、Cu、Zn、Pb、Cd浓
P00436,Chemically assisted phytoextraction of heavy metal contaminated soils using three plant species,三种植物在化学辅助下萃取重金属污染土壤的研究,植物萃取是一种潜在的、创新的且具有成本效益的非破坏性重金属污染土壤修复技术。本研究进行了田间试验，评估了三种植物的植物萃取效率以及添加EDTA或铵盐 [(NH4)2SO4 和 NH4NO3] 对辅助重金属（Pb、Zn 和 Cd）从污染土壤中去除的效果。供试植物包括宝山堇菜、香根草和酸模 K-1。EDTA 的施用是增强 Pb 和 Zn 植物有效性的最有效方法，但对 Cd 没有显著影响。与对照组相比，EDTA 处理后宝山堇菜、香根草和酸模 K-1 的 Pb 萃取率分别提高了 19 倍、2 倍和 13 倍。铵盐的施用对这三种金属的萃取没有明显效果，除了增加了宝山堇菜地上部分 Zn 和 Cd 的积累。在三种测试植物中，宝山堇菜始终积累最高浓度的 Pb、Zn 和 Cd。经 EDTA 处理的宝山堇菜地上部分 Pb、Zn 和 Cd 的浓度分别为 624、795 和 25 mg/kg，该物种对 Pb、Zn 和 Cd 的植物萃取效率也是三者中最高的。
P01077,"Assessment of heavy metal pollution in surface soils of urban parks in Beijing, China",北京市城市公园表层土壤重金属污染评价,为了评估对居民和游客的潜在风险，评估城市公园土壤中潜在有害重金属的浓度是必要的。迄今为止，对中国城市公园土壤污染的研究很少。为了确定重金属的浓度和来源，并评估土壤环境质量，从位于北京市的30个城市公园采集了样品。随后分析了样品中Cu、Ni、Pb和Zn的浓度。调查发现，土壤中Cu和Pb的积累非常明显。这四种金属的综合污染指数（IPI）范围为0.97至9.21，其中人口密集的历史中心区（HCD）的IPI最高。利用多元统计方法（主成分分析和层次聚类分析），获得了控制重金属变化的两个因子，它们解释了总方差的近80%。Ni和Zn的水平受土壤母质控制，而Cu、Pb以及部分Zn主要归因于人类活动。研究结果表明，公园的位置和建园时间是决定重金属（特别是Cu和Pb）污染程度的重要因素。此外，Zn的积累似乎未达到污染水平，且在北京市公园的土壤中未观察到明显的Ni污染。
P02504,Centrifuge Modeling of Cadmium Migration in Saturated and Unsaturated Soils,饱和和非饱和土中镉迁移的离心模拟研究,近年来，研究人员逐渐认识到，土工离心机是研究无机污染物在土体中流动与迁移的一种有力实验工具。在大多数离心机模拟研究中，通常使用惰性、非吸附性无机化合物（如钠离子(sodium ions)），而非吸附性重金属，作为研究污染物迁移行为的化学物质。为克服该方法的不足，本研究利用一种吸附性污染物（即镉(cadmium)），设计了饱和及非饱和土体中一维污染物迁移的离心机试验，并在两种离心加速度下开展。本研究探究了吸附性镉沿土层深度的浓度分布、含水率随土层深度的变化以及镉在土体中的迁移行为。离心机试验结果表明，在 15 g 和 20 g 加速度下进行的离心机模型中，镉的浓度分布相似，且非饱和土中的一维水分运动具有可重复性。吸附性污染物离心机模拟的有效性可能会受到 g 值（g-level）的影响，而 g 值进而决定了离心机试验时间并影响吸附平衡。
P03696,Quick sequential procedure for speciation analysis of heavy metals in soils by supersonic extraction,超声波提取土壤重金属顺序形态分析的快速方法,为了提高提取效率并减少操作时间，采用超声波浴产生超声能量，用于改良的Tessier顺序提取方案以分析土壤中重金属的形态。采用火焰原子吸收光谱法测定了Cu、Fe、Mn、Ni、Pb和Zn的可提取含量。应用于改良Tessier方法的超声波提取（SE）的优点不仅在于与常规提取（CE）相比，前4个形态的操作时间从18小时减少到8小时，而且提取效率更高。使用超声波提取的所提出方法获得的数据与标准参考物质EES-2和EES-3的参考值之间没有显著差异。SE和CE在土壤样品中的结果是一致的。样品No. 1中的可提取Cu、Ni和Zn主要与第三形态（铁-锰氧化物形态）结合，样品No. 2中的主要与第四形态（有机质形态）结合。两个样品中的可提取Fe和Mn主要与第三形态结合，Pb与第四形态结合。还研究了盐酸羟胺不同浓度对金属提取的影响。
