序号,英文标题,中文标题,中文摘要
P03899,Organic Material Addition Optimizes Soil Structure by Enhancing Copiotrophic Bacterial Abundances of Nitrogen Cycling Microorganisms in Northeast China,有机物料添加通过增强氮循环微生物中富营养型细菌的丰度优化中国东北土壤结构,利用有机肥和玉米秸秆作为友好的改良措施对于改变农田土壤氮（N）循环是有效的。然而，有机肥配合秸秆还田对土壤质量的综合效应仍然未知，特别是针对土壤硝化和反硝化微生物的响应。我们在中国东北的棕色土上建立了一个实验，主要包括四个处理：CK（不添加且无传统化肥），O（施用有机肥），S（秸秆还田）和OS（有机肥配合秸秆还田）。利用高通量测序进一步研究了土壤硝化和反硝化微生物。结果表明，与CK相比，O、S和OS处理下0-20 cm土层的土壤含水量、田间持水量、直径>0.25 mm的大团聚体、平均重量直径、全碳、全氮、铵态氮、硝态氮、微生物量碳和微生物量氮均显著提高，且穿透阻力降低。此外，OS处理有效提高了速效钾和速效磷含量，并降低了三相R值。有机肥和秸秆的施用有效地优化了土壤结构，特别是OS处理。与CK相比，O、S和OS处理具有更高的氨氧化古菌（AOA）丰度，并进一步增强了α多样性，同时降低了氨氧化细菌（AOB）以及nirK-、nirS-和nosZ-型反硝化微生物的丰度。AOA和nirK分别是氨氧化过程和亚硝酸盐还原过程的关键驱动因素。同时，有机肥和秸秆的施用调节了土壤中Nitrososphaer
P03900,Bioavailability of Cd in Agricultural Soils Evaluated by DGT Measurements and the DIFS Model in Relation to Uptake by Rice and Tea Plants,基于DGT测定和DIFS模型评估农业土壤中镉的生物有效性与水稻和茶树的吸收关系,农业土壤中种植的水稻和茶叶中镉（Cd）的过度累积可能导致多种不良健康影响。本研究收集并分析了中国安徽省Cd污染地区61个点的作物样品及配对的根际土壤样品。研究结果表明，薄膜扩散梯度技术（DGT）和土壤溶液均能有效预测作物中的Cd含量。传统的化学提取方法不适用于评估Cd的生物有效性。然而，经土壤DGT诱导通量（DIFS）模型校正的有效浓度（CE）与作物Cd含量表现出最强的相关性。除CE外，各种测量方法在预测茶叶Cd生物有效性方面的结果优于水稻。Pearson相关分析和随机森林（RF）模型识别了控制水稻和茶叶吸收Cd的关键影响因素，包括pH值、土壤质地以及土壤中锌和硒的含量，这些元素对Cd具有拮抗作用。为了降低水稻和茶叶带来的潜在健康风险，施用石灰和/或硒氧化细菌被认为是一种有效的管理策略。
P03901,Influencing Factors of Elevated Levels of Potentially Toxic Elements in Agricultural Soils from Typical Karst Regions of China,中国典型喀斯特地区农田土壤中潜在毒性元素升高水平的影响因素,源于喀斯特地区碳酸盐岩的农业土壤由于地质成因表现出潜在毒性元素（PTEs）的固有高浓度。然而，关于自然污染喀斯特地区PTEs升高水平的影响因素仍未得到充分理解。本研究调查了278种源自碳酸盐岩的土壤的化学成分。应用描述性统计、逐步多元回归和随机森林（RF）方法筛选影响土壤中PTEs分布、迁移和富集的显著因素。镉和砷是研究区域土壤中污染最严重的PTEs，其平均含量分别是国家土壤背景值的11.5倍和2.92倍。以超过农用地风险筛选值的比例为标准，PTEs的污染风险排序为Cd > As > Cr > Zn > Pb > Cu > Ni > Hg。土壤Fe2O3和Mn含量、土壤pH值和总有机碳（TOC）值以及风化强度（用化学蚀变指数CIA表征）是影响农田土壤PTEs水平的最重要的因素。
P03902,Multi-Scale Stereoscopic Hyperspectral Remote Sensing Estimation of Heavy Metal Contamination in Wheat Soil over a Large Area of Farmland,大范围农田小麦土壤重金属污染的多尺度立体高光谱遥感估算,随着中国工业化和城镇化的快速发展，土壤重金属污染问题日益突出，严重威胁生态系统安全和人类健康。高光谱遥感技术的发展为实现土壤重金属含量的快速、无损监测提供了可能。本研究旨在充分探索地面和卫星图像光谱在估算土壤重金属含量方面的潜力。我们选择江苏省宜兴市徐舍镇作为研究区，分两个不同时期采集农田土壤样品，并在实验室测量重金属镉和砷的含量。同时，在田间条件下测量了小麦叶片的光谱，并获取了环境一号A星高光谱成像仪（HJ-1A HSI）卫星图像数据。首先，我们对叶片和图像光谱数据进行了各种光谱变换预处理技术。然后，使用遗传算法（GA）优化的偏最小二乘回归（PLSR）建立了土壤重金属Cd和As含量的估算模型，并评估了模型的精度。最后，获得了最佳的地面和卫星遥感估算模型，并绘制了研究区土壤Cd和As含量的空间分布图。结果表明：（1）光谱预处理技术可以突出光谱中的一些隐藏信息，包括微分等数学变换；（2）在地面和卫星光谱建模中，GA-PLSR模型的准确性高于PLSR模型，使用GA进行波段选择可以提高模型的准确性和稳定性；（3）小麦叶片光谱对估算土壤Cd具有良好的能力（相对百分差（RPD）= 2.72），对
P03903,Effect of Water Management under Different Soil Conditions on Cadmium and Arsenic Accumulation in Rice,不同土壤条件下水分管理对水稻镉和砷积累的影响,水分管理和土壤条件影响土壤中镉和无机砷的生物有效性，进而影响其在稻米中的积累。本研究在四川盆地西部开展了田间试验，旨在探究两种水分管理方式（淹水和干湿交替）对不同土壤条件（由灰棕色冲积物发育的水稻土K1和由风化页岩和板岩发育的水稻土K2）下水稻吸收和转运镉及无机砷的影响。结果表明，与干湿交替相比，长期淹水导致土壤有效镉含量显著降低49.3%~55.8%（p < 0.05），同时As(III)含量显著增加16.0%~74.2%（p < 0.05），而K1点的As(V)含量无显著差异（p > 0.05）。然而，在K2点，不同水分管理处理下的土壤有效镉和无机砷含量差异均不显著（p > 0.05）。K1点的长期淹水处理导致稻壳和糙米中的镉含量分别显著降低90.2%和92.2%（p < 0.05），同时As(III)含量分别显著增加263.6%和153.3%；在K2点未观察到As(V)含量的显著差异（p > 0.05）。综上所述，水分管理对水稻镉和无机砷的影响随土壤条件而异，灰棕色冲积物发育的水稻土中水稻镉和无机砷的变化显著大于风化页岩和板岩发育的水稻土。
P03904,Energy Sorghum Removal of Soil Cadmium in Chinese Subtropical Farmland: Effects of Variety and Cropping System,中国亚热带农田能源高粱去除土壤镉：品种与种植制度的影响,近年来，种植能源高粱已被选为中国亚热带农田去除土壤镉的一种有效植物修复方法。然而，能源高粱品种和种植制度对高粱去除镉的影响仍未被完全理解。在本研究中，通过田间批次试验种植了生物质高粱和甜高粱，用于筛选品种并比较种植制度在去除污染土壤镉方面的适用性。结果表明，与甜高粱相比，生物质高粱株高更高（4.70–75.63%），地上部含水量更低（4.78–13.49%），干生物量产量更大（13.21–125.16%），镉去除能力更强（平均45.71%）。品种遗传调控下的能源高粱农艺性状和镉积累存在显著差异（p < 0.05）。皮尔逊相关系数分析和结构方程模型（SEM）显示，株高是影响干生物量产量的关键农艺参数，茎中的镉浓度是评估能源高粱镉提取能力的关键因素，两者共同间接决定了能源高粱对镉的去除。此外，再生种植制度是最适合的，因为它适应中国亚热带地区能源高粱的气候条件，与双季和单季种植制度相比，其镉去除效率提高了49%以上。我们的研究为中国亚热带农田镉污染土壤的植物修复提供了有价值的信息。
P03905,"Evaluation and Source Analysis of Heavy Metal Pollution in Grassland Soils under Different Management Modes in Altay, Xinjiang",新疆阿勒泰不同管理模式下草地土壤重金属污染评价及源解析,"为研究阿勒泰不同草地土壤类别中重金属污染的特征和来源，根据草地类型在富蕴县采集了147个土壤样品，并测定了7种重金属（Cu, Pb, Cr, Zn, As, Ni, 和 Cd）的含量。采用内梅罗污染指数和地累积指数法对土壤重金属污染进行了评价。利用绝对主成分得分-多元线性回归模型（APCS-MLR）分析了重金属的来源及污染源的贡献率。结果显示：（1）矿区0~10 cm土壤的重金属含量普遍高于其余两层。天然草地污染最严重，其污染程度排序为Zn > Pb > Ni > Cd > Cu > Cr > As。（2）综合污染指数评价结果表明，Ni和Cd是五种草地类型中的主要污染物，地累积指数法的评价结果表明天然草地污染较重。（3）利用APCS-MLR模型分析得出三个污染源，分别为自然和采矿活动源（32.6%）、工业燃煤和污水源（24.7%）和未知源（42.7%）。研究结果可为阿勒泰地区草原的污染控制和生态保护提供依据。"
P03936,"Environmental Pollution Assessment of Heavy Metals in Soils and Crops in Xinping Area of Yunnan Province, China",中国云南省新平地区土壤及作物重金属环境污染评估,随着经济社会的发展，重金属引起的环境问题一直是关注的焦点。近年来，中国西南地区的土壤重金属污染引起了强烈关注。本文对中国云南省新平地区的表层土壤及部分作物样品中的重金属进行了调查。在约370平方公里的范围内采集了3312个表层土壤样品和95个作物样品。分析了As、Cd、Cr、Hg和Pb等重金属及pH值。文中介绍并提出了基于中国标准（GB15618-2018和GB2762-2022）的土壤重金属单项和综合污染指数（PI和PIn）及作物污染指数（PIc和PInc），用于评估重金属的污染状况。结果表明，表层土壤的背景值水平约为62.1%，筛选值水平约为33.4%，干预值水平约为4.5%，主要归因于Cr，且空间上与橄榄岩吻合，表明其为地质成因污染源。大多数作物样品未受重金属污染。比较土壤和作物之间的两种综合污染指数结果，观察到了两种不一致的评估。一种是某些受污染的作物生长在未受污染的区域（I型），另一种是某些未受污染的作物生长在受污染的区域（II型）。这表明土壤和作物评估标准之间存在新的挑战。
P03937,"Speciation Analysis and Pollution Assessment of Heavy Metals in Farmland Soil of a Typical Mining Area: A Case Study of Dachang Tin Polymetallic Ore, Guangxi",典型矿区农田土壤重金属的形态分析及污染评价：以广西大厂锡多金属矿为例,"为探讨广西大厂锡多金属矿区周边农田土壤重金属的分布特征及污染程度，本研究在该矿区周围共采集了140个土壤样品。利用电感耦合等离子体质谱法分析了7种重金属（Cu, Pb, Cd, Cr, Zn, As, Ni）的总量及各种形态，并采用改进的土壤重金属形态连续提取法、潜在生态风险指数（RI）和内梅罗指数（$P_N$）评价了土壤的污染特征及重金属的生物有效性。根据污染程度提出了相应的修复建议。结果表明，研究区整体土壤呈酸性、还原性，有机质含量低。重金属元素的平均含量高于广西背景值，其中Cd、Pb、As超过管控值，是主要污染元素。土壤重金属形态分析显示，Cd以离子交换态为主；Cu主要以残渣态和腐殖酸结合态存在；其余元素主要以残渣态存在。在七种重金属中，Cd的迁移性、生物毒性和生态风险最强，其次是As、Ni和Zn。研究区土壤整体污染水平为重度污染（$P_N = 39.6$），处于极强生态风险水平（RI = 2196.9），主要污染物为Pb、As和Cd；Cd污染最为严重。相关性分析（CA）和主成分分析（PCA）表明，七个元素中Pb、Cu、Zn、Cd、As的污染源主要受尾矿堆积、开采和运输控制，而C"
P03995,Land-Use Types Regulate Se:Cd Ratios of Natural Seleniferous Soil Derived from Different Parent Materials in Subtropical Hilly Areas,土地利用类型调节亚热带丘陵地区不同母质发育的天然富硒土壤的硒镉比,中国天然富硒土壤通常具有较高的镉地质背景，此类富硒土壤的安全利用仍面临挑战。已有积累的证据表明，硒镉比的阈值是调节植物镉积累的决定因素。然而，控制富硒地区土壤硒镉比的因素尚不明确。本研究旨在定量分析土地利用类型、母质类型和土壤性质对硒、镉分布及硒镉比的影响。根据土地利用和母质类型，在典型天然富硒区亚热带丘陵地区的袁州区采集了77个土壤样品。结果表明，与第四纪红黏土相比，河流湖泊沉积物和风化酸性结晶岩发育的土壤硒含量降低了5.81–19.75%，而风化石英岩发育的土壤硒含量显著增加。果园的土壤镉含量显著低于稻田。冗余分析(RDA)揭示，土壤有机质(SOM)、全钾和全磷显著影响硒和镉含量的变化。此外，土地利用类型对硒镉比的影响最为显著，二元逻辑回归模型分析得出的回归系数为-0.6999 (p < 0.05)。而且，pH和全钾是控制硒镉比的关键土壤性质。研究表明，天然富硒土壤中的硒镉比主要由土地利用类型调节。因此，通过农艺措施（主要是调节土壤pH）来调节硒镉比，是实现高镉背景富硒土壤安全利用的可行措施。
