序号,英文标题,中文标题,中文摘要
P02225,An invisible soil acidification: Critical role of soil carbonate and its impact on heavy metal bioavailability,不可见的土壤酸化：土壤碳酸盐的关键作用及其对重金属生物有效性的影响,
P02226,Does metal pollution matter with C retention by rice soil?,金属污染对稻田土壤碳固持的影响,土壤呼吸导致土壤有机碳（SOC）分解，向大气排放 CO2，且在气候变暖下排放增加。然而，重金属污染对农田土壤呼吸的影响尚不明确。本文展示了来自中国金属污染稻田土壤的土壤呼吸显著增加，CO2 和 CH4 的排放通量增加，同时 SOC 储量减少。这种变化与土壤团聚体下降、微生物丰度下降和真菌优势下降有关。碳释放推测是由重金属污染胁迫下土壤微生物群落碳循环的变化驱动的。污染导致的土壤呼吸增加和 SOC 储量损失可能会抵消为减缓气候变化而在稻田增加 SOC 固存的努力。
P02228,Urbanization in China drives soil acidification of Pinus massoniana forests,中国的城市化驱动马尾松林土壤酸化,城市化导致的土壤酸化而非碱化已成为一个新的环境问题。然而，这种酸化的特征和主要驱动因素尚不清楚。我们调查了中国南方珠江三角洲城市化梯度对马尾松林土壤酸度的影响。在距广州城市核心区不同距离处，20厘米深度的马尾松林土壤pH值与距离呈显著正相关。与非城市化地区相比，城市化地区0-10厘米土层的土壤pH值降低了0.44个单位。基于主成分分析，氮沉降、年平均气温和年平均降水量是影响土壤酸化的关键因素。氮沉降与0-10厘米（铵态氮和硝态氮）和10-20厘米（硝态氮）土层的土壤pH值呈显著的线性关系。然而，沿城市化梯度没有发现交换性非酸性阳离子的显著流失，相反，在0-10厘米土层，城市和城郊地区的阳离子水平较高。我们的结果表明，在高温和降雨的气候条件下，氮沉降极大地促成了城市化环境中发生的显著土壤酸化。
P02372,"Concentrations and characteristics of selenium in soil samples from Dashan Region, a selenium-enriched area in China",中国富硒区大山地区土壤样品中硒的浓度及特征,为了阐明中国典型富硒区大山村土壤中全硒（Se）含量及硒形态，采集了69个不同土地利用目的的土壤样品，并测定了总硒、水溶性硒、可交换态硒、酸溶性硒、有机 bound硒和残留态硒的浓度及这些土壤的理化性质。总硒含量在0.31至7.65 mg kg−1（干重）之间。水溶性、可交换态、酸溶性、有机结合态和残留态硒的浓度分别为7.71–26.8 μg kg−1、24.7–93.3 μg kg−1、112–1430 μg kg−1、26–765 μg kg−1和1300–5330 μg kg−1。总硒浓度与粘粒和土壤有机质含量呈正相关，但与pH值呈负相关。由水溶性硒和可交换态硒组成的生物有效硒含量与土壤有机质含量呈负相关，但与pH值呈正相关。结果表明，pH值和有机质含量是调节大山村土壤中硒生物有效性的关键因素。
P02483,Remediation and Safe Production of Cd Contaminated Soil Via Multiple Cropping Hyperaccumulator Solanum nigrum L. and Low Accumulation Chinese Cabbage,通过间作超积累植物龙葵和低积累白菜修复镉污染土壤并进行安全生产,
P02486,Antimony in the Soil-Plant System in an Sb Mining/Smelting Area of Southwest China,中国西南某锑矿/冶炼区土壤-植物系统中的锑,本文探索了中国西南大型锑矿开采/冶炼区根际土壤与本土植物界面上锑(Sb)的分布、生物有效性及累积情况。结果表明，当地土壤受到Sb的严重污染，铝镁硅酸盐矿物和碳酸盐组分可能是结合态Sb的主要贡献者。土壤样品的连续提取结果显示，生物有效态Sb的比例较低，但由于土壤中Sb总浓度较高，生物有效态Sb的浓度高达67.2 mg/kg。当地植物中的Sb含量范围很广，从21到21148 mg/kg不等。藜、凹叶景天和垂盆草体内的Sb含量均超过1000 mg/kg，表现出高积累性。大多数植物组织中的Sb含量顺序为根 > 叶 > 茎。大多数植物的生物富集系数和/或生物转移因子小于1。所有研究的植物物种均未被鉴定为Sb超富集植物，但藜、凹叶景天和垂盆草可作为修复Sb污染土壤的替代植物。
P02487,Long-term Field Phytoextraction of Zinc/Cadmium Contaminated Soil by Sedum plumbizincicola under Different Agronomic Strategies,不同农艺措施下伴矿景天对锌/镉污染土壤的长期田间植物提取,"在两个长期田间实验中，研究了锌/镉超积累植物伴矿景天，通过间作玉米和种植密度两种农艺策略来优化金属污染土壤的植物提取。长期植物提取后，土壤总锌和镉浓度显著下降。但是，随着修复时间的增加，地上部生物量以及镉和锌浓度没有显著差异。在间作实验中，“伴矿景天与玉米间作”处理下的植物修复效率高于伴矿景天单作，且玉米的镉浓度低于国家标准限值。在种植密度实验中，植物修复效率随种植密度的增加而增加，440,000株/公顷时达到最大率。这些结果表明，伴矿景天在适宜的种植密度下并与玉米间作，可以在不影响谷物作物生产力的情况下实现对污染土壤的高效修复。该种植系统将充足的农业生产与土壤重金属植物提取结合起来。"
P02579,Mercury (II) adsorption on three contrasting Chinese soils treated with two sources of dissolved organic matter: II. Spectroscopic characterization,两种来源溶解性有机质处理下三种不同中国土壤对汞(II)的吸附：II. 光谱表征,为了揭示溶解性有机质（DOM）对中国黑土、红土和潮土吸附汞的影响机制，研究采用了傅里叶变换红外光谱（FTIR）、13C核磁共振（NMR）光谱和三维激发发射矩阵（3DEEM）荧光光谱技术对DOM样品和DOM-Hg络合物进行了表征。FTIR光谱显示，Hg(II)的络合主要作用于来自猪粪（DOMs）和小麦秸秆（DOMw）的DOM中的C=O、COO-和O-H基团。NMR谱表明，Hg(II)与DOM的络合反应与羧基C的变化有关。NMR结果还显示，DOM中的主要碳组分为芳香碳、O-烷基碳、烷基碳和羧基碳，且DOMw对Hg(II)吸附的影响大于DOMs，这与FTIR光谱结果一致。3DEEM显示DOM含有类芳香蛋白和类富里酸物质，且DOMs的类蛋白特性和DOMw的紫外类富里酸荧光物质能更好地参与Hg络合物的形成。该结果为阐明DOM-Hg(II)结合机制提供了有力的直接证据，并进一步更好地解释了外源DOM对土壤汞吸附的影响机制。
P02580,Effects of Soil Properties and Flooding on the Mobility and Transformation of Mercury in a Temperate Riparian Wetland,土壤性质和淹水对温带河岸湿地汞迁移和转化的影响,在中国南水北调工程东线南四湖的河口湿地土壤中检测到了三种汞组分（移动态汞、半移动态汞和非移动态汞）。在不同的毒性水平下，检查了这些汞组分与土壤性质之间的相关性。此外，分析了两种淹水条件（永久淹水和季节性淹水）对汞迁移性的影响。结果表明，土壤pH值与移动态汞呈负相关，而半移动态汞与总铝、铁和锰呈正相关。此外，游离氧化铝（摘要截断）
P02585,Short term response of soil enzyme activity and soil respiration to repeated carbon nanotubes exposure,短期响应：土壤酶活性和土壤呼吸对反复碳纳米管暴露的反应,单壁碳纳米管和多壁碳纳米管等纳米材料可能会反复进入土壤环境，其不良后果尚不明确。为了提供有关反复接触CNTs影响的信息，我们通过两周的农田土壤培养实验，测定了经不同浓度CNTs（SWCNTs为100、200、500 mg kg^-1，MWCNTs为100、500、1000 mg kg^-1）反复处理后的土壤酶活性和土壤基础呼吸（SBR）的响应。在一次和两次处理后测量了过氧化氢酶、碱性磷酸酶和转化酶的活性以及SBR。SWCNTs和MWCNTs的反复污染抑制了14天培养期内碱性磷酸酶和转化酶的活性。碱性磷酸酶和转化酶比过氧化氢酶和土壤基础呼吸是更敏感的CNTs污染指标。高浓度的SWCNTs刺激了SBR，而低浓度抑制了SBR。SWCNTs和MWCNTs的再次暴露抑制了过氧化氢酶和转化酶的活性。结果表明，在反复污染下土壤微生物受到抑制，正如除500 mg kg^-1浓度外，SWCNTs和MWCNTs处理之间SBR受到的相同抑制响应所表明的那样
