序号,英文标题,中文标题,中文摘要
P08077,Risk early warning safety model for sports events based on back propagation neural network machine learning,基于反向传播神经网络机器学习的体育赛事风险预警安全模型,为了确保体育赛事的顺利进行并降低发生风险事故的可能性，本文建立了一个基于BP神经网络和模糊理论的体育赛事风险预警安全模型，该模型具有很大的优势。模型的建立分为五个步骤：（1）使用BP神经网络作为基本网络结构来获取模糊数据；（2）使用模糊理论形成特征值矩阵；（3）优化早期预警数据的评估；（4）确定模型；（5）根据获得的模糊优化BP神经网络的权重和阈值范围确定体育赛事风险的综合数值，并基于相关指标进行报警。在实证分析中，选择了合适的样本数据，构建了BP神经网络拓扑结构，进行了仿真训练，计算了输入神经网络节点的训练误差结果。通过比较神经网络输出数据与理论数据，发现该风险预警安全模型具有一定的有效性和可靠性，并能取得较好的预警效果。
P03160,"Impact of Yangtze River Water Transfer on the Water Quality of the Lixia River Watershed, China",长江调水对里下河流域水质的影响,为了改善中国里下河流域的水质并减少突发性水污染的负面影响，研究于2006年12月2日至2007年1月7日期间进行了一系列从长江到里下河的实验性调水。在此期间每六天在55个监测点采集水样。分析了八个水质参数（水温、pH、溶解氧(DO)、化学需氧量(COD)、高锰酸盐指数(CODMn)、氨氮(NH4+-N)、电导率(EC)和透明度(WT)），以确定调水期间营养物质浓度的变化。应用综合污染指数(Pi)和单因子(Si)评价方法评估调水期间水质的时空格局。水质参数在流域内显示出不同的时空分布模式。调水显著改善了水质，特别是靠近取水点的站点。改善程度与调水流入和排水流出率呈正相关。在不同站点和不同调水时间，不同水质参数的影响不同。整个流域的NH4+-N、DO、COD和CODMn显著下降。然而，EC和pH未观察到积极影响。结论是，长江淡水调水可作为冲刷里下河流域污染物的紧急措施。深入了解调水对水质的影响有助于制定和实施有效的策略以改善该流域的水质。
P03272,Chemical composition and nutritive value of hot pepper seed (Capsicum annuum) grown in Northeast Region of China,中国东北地区种植的辣椒籽的化学成分及营养价值,本研究调查了中国东北地区种植的辣椒籽的化学成分和营养价值。成分分析显示，水分、灰分、粗脂肪、粗蛋白和总膳食纤维含量分别为4.48、4.94、23.65、21.29和38.76 g/100 g。主要的氨基酸是谷氨酸和天冬氨酸（高于2 g/100 g），其次是组氨酸、苯丙氨酸、赖氨酸、精氨酸、半胱氨酸、亮氨酸、色氨酸、丝氨酸、甘氨酸、蛋氨酸、苏氨酸和酪氨酸（0.8-2 g/100 g）。脯氨酸、丙氨酸、缬氨酸和异亮氨酸的含量小于0.8 g/100 g。脂肪酸谱显示，亚油酸、棕榈酸、油酸、硬脂酸和亚麻酸（高于0.55 g/100 g）是最丰富的脂肪酸，其次是月桂酸、花生酸、二十碳烯酸和山嵛酸（0.03-0.15 g/100 g）。矿物质含量分析表明，最丰富的矿物质是钾，其次是镁、钙、铁、锌、钠和锰。辣椒籽的营养成分表明它们可以被视为良好的食品配料来源和新的食用油来源。
P03585,Accumulation of three different sizes of particulate matter on plant leaf surfaces: Effect on leaf traits,三种不同尺寸的颗粒物在植物叶片表面的积累：对叶片性状的影响,植物不仅通过叶表面吸附颗粒物（PM）来改善空气质量，而且也会受到颗粒物积累的影响。本研究在中国武汉进行了田间调查，研究了七种叶片性状与叶面上三种不同尺寸PM积累之间的关系。植物叶片对三种尺寸PM的滞留能力在不同地点和物种之间存在显著差异。在严重污染区域，植物叶片的平均PM滞留能力和比叶面积（SLA）显著较高，而对照站点的叶绿素a（Chl a）、叶绿素b（Chl b）、总叶绿素、类胡萝卜素、pH值和相对含水量（RWC）的平均值较高。SLA与PM尺寸呈显著正相关，但Chl a、Chl b、总叶绿素、RWC与PM尺寸呈显著负相关，而pH值与PM组分无显著相关性。此外，发现SLA受大颗粒物影响；PM2.5对植物叶片性状的影响比其他PM更明显。总体而言，本研究结果为减少大气污染的植物选择提供了有用信息。
P04877,The regional distribution characteristics of aerosol optical depth over the Tibetan Plateau,青藏高原气溶胶光学厚度的区域分布特征,
P04880,"Advantages of a city-scale emission inventory for urban air quality research and policy: the case of Nanjing, a typical industrial city in the Yangtze River Delta, China",,鉴于中国东部城市普遍面临严峻的空气质量挑战，迫切需要城市尺度的排放清单以支持化学传输模拟及污染控制政策的制定。本文以长三角地区典型大城市南京为研究对象，基于可获得的最佳本地源信息，建立了一套空气污染物和CO2的高分辨率排放清单（水平分辨率为3 × 3 km）。通过针对主要排放源的详尽现场调研，收集并汇编了单元或设施层面的排放因子和活动数据。研究识别出超过900个作为点源的独立工厂，其占全市煤炭消耗总量的97%，并对包括燃烧技术、燃料质量和空气污染控制设备(APCD)去除效率在内的所有排放相关参数进行了分析。研究采用了包括连续排放监测系统和交通流实时监测在内的新型数据采集方法，以改善排放的时空分布特征。尽管2010年至2012年间能源消耗增长迅速，但在此期间大多数空气污染物的排放量年际变化相对较小，这主要归因于APCD部署增加带来的效益，以及对主导南京整体排放水平和空间分布的大型点源监管力度的加强和改善。通过与观测数据及更大空间尺度的其他清单进行对比，证明了该城市级排放清单的改进。城市尺度排放估算值与九个国家控制监测站点观测浓度之间的空间相关性较好，SO2、NOx和CO的相关系数(R)分
P06895,Heterogeneous chemistry: a mechanism missing in current models to explain secondary inorganic aerosol formation during the January 2013 haze episode in North China,非均相化学：解释2013年1月华北灰霾期间二次无机气溶胶形成的模型缺失机制,2013年1月，中国中东部发生了严重的区域性灰霾污染事件，对环境和公共健康产生了不利影响。粒径小于等于2.5微米的颗粒物（PM2.5）浓度极高，其主要成分为硫酸盐和硝酸盐，是造成灰霾污染的主要原因。尽管非均相化学被认为在灰霾期间硫酸盐和硝酸盐的产生中起着重要作用，但由于大多数气候和化学传输模型缺乏对非均相反应的处理，很少有研究利用三维模型全面评估非均相化学对中国灰霾形成的影响。在这项工作中，应用带有新增非均相反应的WRF-CMAQ模型对东亚地区进行评估，以探讨2013年1月非均相化学和气象异常对区域灰霾形成的影响。由于不同类型颗粒物上非均相反应的参数化尚未完全确立，我们任意选择了尘土颗粒上反应的摄取系数，然后进行了几次敏感性试验，以找到最能匹配观测值的数值。修正后的带有非均相化学的CMAQ模型不仅捕捉到了硫酸盐和硝酸盐的数值和时间变化，还再现了从清洁日到污染灰霾日硫酸盐和硝酸盐对PM2.5质量相对贡献的增加。这些结果表明了非均相化学在区域灰霾形成中的重要作用，并改进了对2013年1月灰霾形成机制的理解。
P07254,Health Risk Assessment of Al and Heavy Metals in Milk Products for Different Age Groups in China,中国不同年龄人群乳制品中铝和重金属的健康风险评估,考虑到污染物可通过食物摄入转移至人体，食品安全备受消费者关注。为了评估通过摄入乳制品对不同年龄组消费者造成的重金属健康风险，本研究采集了中国南昌市市场上的发酵奶、灭菌奶和改性奶样品，利用ICP-MS测定了其中Pb、Cr、Cd、Cu、Al、Ni、Zn和Co的含量，并采用目标危害商数（THQ）和危害指数（HI）方法评估了潜在的健康风险。结果显示，除Zn外，所有研究元素的含量均在食品安全限值内。与参考剂量相比，平均日暴露量估计是安全的。然而，基于最大暴露量的总金属THQ (TTHQ)和HI值对于0-3岁婴儿大于1，这表明长期大量食用乳制品会对婴儿造成较高的健康风险。结果还显示，发酵奶对总THQ的贡献大于其他乳制品。因此，应更多关注控制0-3岁婴儿的乳制品摄入量，并监测摄入发酵奶带来的潜在风险。
P10352,Endocrine disrupting chemicals in water environment and its biodegradation,水环境中的内分泌干扰物及其生物降解,水环境中内分泌干扰物（EDCs）对人类的潜在危害已成为全球性关注的问题。生物处理是有效的去除方法，通过吸附、挥发、生物转换和生物降解，大部分在活性污泥中富集而去除。本文提供了EDCs去除的生物处理方法，并分析了这些化学物质去除的机理和影响因素。研究表明，大多数EDCs具有亲脂性、生物可降解性和化学稳定性。影响EDCs去除效率的因素包括EDCs的特性、温度、泥龄以及pH值等
P10804,Evaluation of the Sustainable Development of Integrated Transportation Based on the Entropy Weight TOPSIS Method,基于熵权TOPSIS法的综合交通可持续发展评价,可持续发展是基于人口、资源和环境的协调发展。这不仅符合科学发展观的要求，也符合中国共产党第十八次全国代表大会提出的“美丽中国”理念。本文以综合交通系统为研究对象，通过分析可持续发展和美丽中国的内涵，将影响综合交通可持续发展的因素分解为经济、社会交通设施、资源和生态环境。利用熵权TOPSIS法，建立了评价模型，对中国四川省综合交通的可持续发展状况进行了评价。
