序号,英文标题,中文标题,中文摘要
P01035,Lead and strontium isotopes as tracers to investigate the potential sources of lead in soil and groundwater: A case study of the Hun River alluvial fan,铅和锶同位素作为示踪剂研究土壤和地下水中铅的潜在来源：浑河冲积扇案例研究,铅（Pb）同位素和锶（Sr）同位素是优良的多元地球化学示踪剂，可用于区分土壤和地下水中的铅污染。本研究对中国辽宁浑河冲积扇的土壤、地表水、地下水及河流沉积物样品进行了Pb和Sr含量调查，并利用同位素比值确定土壤和地下水中Pb的潜在来源。来自人为源的铅溶解度高，可迁移，且在土壤中沉积后相对稳定。因此，研究还测定了土壤和河流沉积物中酸提取态和残渣态的铅形态及同位素比值，以获取更多关于人为污染的信息。结果表明，土壤中的大部分铅为自然源（地质成因），特别是沿浑河的矿石化学风化产物；而表层土壤受含铅汽油、燃煤、污水灌溉等人类活动的显著影响。地下水中Pb的地质成因源自上游碳酸盐岩含水层和矿石。浅层地下水通过地下水与河流的相互作用受到污染地表水的影响。市政井中地下水受车辆尾气和燃煤的影响可忽略不计。
P01112,"Source apportionment of heavy metals in agricultural soil based on PMF: A case study in Hexi Corridor, northwest China",基于PMF的农田土壤重金属源解析：以中国西北河西走廊为例,河西走廊是商品粮最重要的基地和cash作物的生产区。然而，农业和工业的快速发展不可避免地导致了土壤中的重金属污染。利用多元统计分析、基于GIS的地统计学方法和正定矩阵因子分解（PMF）受体模型技术，旨在了解河西走廊农田土壤中重金属的水平及其源解析。结果显示，Cr、Cu、Ni、Pb和Zn的平均浓度低于土壤环境质量的二级标准；然而，八种金属（Cr、Cu、Mn、Ni、Pb、Ti、V和Zn）的浓度高于背景值，且其对应的富集因子值显著大于1。农业土壤发生了不同程度的重金属污染；具体而言，Ni对人类健康具有最大的潜在影响。多元统计分析和基于GIS的地统计方法的结果表明了自然源（Co和W）和人为源（Cr、Cu、Mn、Ni、Pb、Ti、V和Zn）。为了更好地识别农田土壤中重金属的污染源，应用了PMF模型。进一步的源解析揭示，Pb和Zn的富集归因于交通源；Cr和Ni与工业活动密切相关，包括采矿、冶炼、燃煤、钢铁生产和金属加工；Zn和Cu源于农业活动；V、Ti和Mn衍生自与石油和煤炭相关的活动。
P01114,Changes in metal mobility assessed by EDTA kinetic extraction in three polluted soils after repeated phytoremediation using a cadmium/zinc hyperaccumulator,利用镉/锌超积累植物重复植物修复后三种污染土壤中金属迁移率的变化：基于EDTA动力学提取的评估,植物修复是净化金属污染农业土壤最有前景的技术之一。本研究在三种具有不同性质的污染土壤中，调查了利用镉/锌超积累植物伴矿景天进行重复植物提取对金属迁移率的影响。EDTA动力学提取和双一级反应模型在评估土壤金属迁移率方面表现出优势，并清晰地区分了植物提取引起的金属组分变化。重复植物提取导致所有三种土壤中Cd和Zn的易活性和弱活性组分大幅减少，仅高污染土壤中Zn的弱活性组分增加。然而，土壤Cu和Pb的易活性组分明显增加（仅酸性污染土壤中的Pb除外），且解吸速率常数更高。此外，伴矿景天降低了所有测试金属的非活性组分，表明超积累植物可以将土壤金属从非活性组分重新分配为活性组分。这表明，植物提取降低了植物超积累的金属的迁移率，但增加了非超积累金属的迁移率。因此，由于土壤中非超积累金属的潜在迁移率增加及随之而来的环境风险，必须谨慎进行混合金属污染土壤的植物提取。
P01115,"Ecological and health risks assessment and spatial distribution of residual heavy metals in the soil of an e-waste circular economy park in Tianjin, China",中国天津电子废物循环经济园土壤中残留重金属的生态与健康风险评估及空间分布,子牙循环经济园是2011年前华北地区最大的电子废物回收园，随后为响应法规进行了功能转型。本文对子牙循环经济园及周边地区表层土壤中14种分析物（12种重金属和2种非金属）的残留浓度进行了调查研究。利用地累积指数（GI）和内梅罗污染指数（NPI）进行了生态和健康评估，并使用USEPA模型评估了相关的健康风险。根据生态风险评估，Cu、Sb、Cd、Zn和Co在研究区域土壤中严重富集。USEPA提出的健康风险评估表明对人群没有显著的健康风险。土壤性质（如pH和有机质）与重金属的富集有关。土壤中的砷浓度与死细菌浓度呈正相关。重金属的空间分布表明，子牙循环经济园是研究区域的主要污染源。本研究的结果表明，应充分重视子牙循环经济园的重金属污染问题。
P01116,Evaluating heavy metal accumulation and potential risks in soil-plant systems applied with magnesium slag-based fertilizer,镁渣基肥料施用下土壤-植物系统中重金属累积及潜在风险评估,选取两种典型的中国土壤（南方水稻土和北方钙质土）进行盆栽实验，评估了镁渣基肥料对土壤-植物系统中重金属累积及健康风险的影响。结果表明，镁渣基肥料促进了玉米植株的生长。施用镁渣基肥的两种土壤中Cr、Cu、Pb和Zn的浓度均符合《土壤环境质量标准》（GB 15618-2009）的二级标准。重金属在玉米植株中表现出分配特征，即Cr和Cu主要积累在根和叶部，而Pb集中在根部。不同植物器官中重金属的转移系数（TF）顺序为：根 > 茎 > 叶 > 籽粒。这表明与其他器官相比，籽粒中积累的重金属较少。包括Cr、Cu、Pb和Zn在内的重金属的估计每日摄入量和总目标危害商数均小于1，表明食用玉米籽粒处于低风险，不会造成非致癌风险。综上所述，在目前水平上施用镁渣基肥料不会对两种中国土壤中种植的玉米造成污染风险。
P01117,"Heavy metal accumulation, risk assessment and integrated biomarker responses of local vegetables: A case study along the Le'an River",乐安河流域蔬菜重金属积累、风险评估及综合生物标志物响应研究,本研究选取了乐安河沿岸广泛种植和分布的赣州中国白菜、本地紫蒜和乐平萝卜作为研究对象。通过实验室分析结合统计方法，对来自24个位点的土壤和蔬菜的理化性质、养分含量以及重金属元素积累情况进行了分析，并计算了污染因子、污染指数和危害指数。研究显示土壤中重金属积累水平较高，铜和镉的平均含量分别超过背景值8.82倍和16.73倍，这与有色金属加工企业的分布显著相关。蔬菜中重金属元素的积累与土壤污染特征完全一致。测定了蔬菜中的过氧化物酶生物标志物（包括超氧化物歧化酶SOD、过氧化氢酶CAT、过氧化物酶POD、还原型谷胱甘肽GSH和脂质过氧化TBARS）以及综合生物标志物响应（IBR），以在污染物暴露后提供可靠的响应。三种蔬菜的重金属积累能力和生物标志物响应通常呈现如下递减趋势：赣州中国白菜 > 本地紫蒜 > 乐平萝卜。与对照组相比，污染位点测得的所有生物标志物均显示出显著响应，表明污染物胁迫与生物标志物响应之间存在潜在关系。本研究还揭示IBR值与污染物浓度协调良好。
P01121,"Pollution, ecological-health risks, and sources of heavy metals in soil of the northeastern Qinghai-Tibet Plateau",青藏高原东北部土壤重金属污染、生态健康风险及来源,青藏高原特别是东北部地区，由于近期人类活动的增加，已不再是净土。本研究在青藏高原东北部采集了70个站点的土壤样品，以评估重金属的污染、生态健康风险及可能的污染来源。土壤中重金属浓度相对较高。地累积指数值显示汞污染最为严重，同时基于富集因子值显示汞具有最强富集特征。修正污染程度显示约54.3%和17.1%的采样点分别处于中度和高度污染程度，而污染负荷指数显示72.9%和27.1%的采样点分别拥有中度和高度污染水平。土壤中重金属的生态风险指数在234.6至3759.0之间，表明大多数地点处于相当/极高风险水平。成人和儿童的致癌风险被确定为高和极高-高等级，尽管成人的非致癌风险较低，但儿童的非致癌风险较高。工业源构成了生态和健康风险的主要部分。总的来说，研究区土壤中的重金属已造成严重污染，并构成了极高的潜在生态和健康风险，尤其是对更容易受到污染物伤害的儿童。因此，应尽快在研究区实施更高效、严格的污染控制和管理。
P01262,Soil fertility and heavy metal pollution (Pb and Cd) alter kin interaction of Sorghum vulgare,土壤肥力和重金属污染（铅和镉）改变高粱的亲属相互作用,植物亲缘识别已在某些植物物种中得到证实，但亲缘识别与土壤条件（如肥力和重金属压力（铅或镉））之间的关系尚不清楚。本研究以高粱为靶标植物，进行了一项基于土壤肥力、邻居亲缘关系和重金属添加的三因素实验。测定了植物的形态性状、生理性状、植物养分利用效率（NUE）以及铅（Pb）和镉（Cd）的重金属浓度，以确定植物的亲缘相互作用。在测量的指标上观察到显著的土壤肥力、亲缘关系、重金属及其交互效应。在贫营养土壤中，亲缘植株的比叶面积（SLA）、根系活性、磷（P）和硫（S）的NUE高于非亲缘植株。在富营养土壤中，亲缘植株的SLA以及氮（N）和钠的NUE低于非亲缘植株。在铅胁迫下，贫营养土壤中亲缘植株的茎伸长和钾（K）的NUE降低，而丙二醛（MDA）和脯氨酸含量增加；相比之下，在富营养土壤中，亲缘植株的茎伸长、SLA、根系活性和S的NUE较非亲缘植株增加。在镉胁迫下，贫营养土壤中亲缘植株的总生物量、P的NUE以及叶绿素和脯氨酸含量降低，而MDA和镉浓度较非亲缘植株增加；在富营养土壤中，亲缘植株的SLA、根系活性、MDA含量和镉浓度较非亲缘植株增加，而S的NUE降低。在铅加镉胁迫下，在贫营养土壤中，与非亲
P01303,"Uptake, transportation, and accumulation of C60 fullerene and heavy metal ions (Cd, Cu, and Pb) in rice plants grown in an agricultural soil",农业土壤中生长的水稻对C60富勒烯和重金属离子（Cd、Cu和Pb）的吸收、转运和累积,本研究在水稻全生育期内，探讨了农业土壤中C60富勒烯(C60)与重金属离子（Cd、Cu和Pb）对四种水稻品种吸收、转运及累积这些共存污染物的相互影响。C60的存在并未显著影响水稻的生物量。C60暴露对不同水稻组织中Cd、Cu和Pb的生物累积产生不同影响。例如，当暴露于1000 mg/kg C60时，水稻9311穗部中Cd的生物累积显著降低(p < .05)，而穗部中Cu和Pb水平的变化无统计学意义。C60被水稻根系吸收并转运至茎和穗，且倾向于在水稻组织中形成聚集体。在暴露于600 mg/kg C60 130天后收获的四种水稻品种的根、茎和穗中，C60浓度分别为40-292、4.4-24.5和0.077-1.2 mg/kg（干重）。C60和重金属离子表现出不同的吸收和转运机制，这取决于水稻品种、土壤重金属离子浓度以及C60暴露时间和浓度。例如，从分蘖期到孕穗期，四种水稻品种中的平均C60含量从47.4急剧增加至196.3 mg/kg，而Cd水平仅略有增加，从23.1增加至25.9 mg/kg。研究表明，在复合污染情景下，C60和重金属离子的生物累积与单一污染条件下不同。C60在水稻穗部的
P01304,"Status of mercury accumulation in agricultural soil across China: Spatial distribution, temporal trend, influencing factor and risk assessment",中国农田土壤汞积累状况：空间分布、时间趋势、影响因素及风险评估,鉴于汞在自然环境中的广泛分布及其全球传输潜力，汞被视为一种普遍存在的污染物。在本研究中，我们在全中国范围内进行了采样活动，以调查农业土壤中汞的分布情况。2011年和2016年采集的土壤中汞浓度范围分别为0.04至0.69 mg/kg和0.06至0.78 mg/kg。基于2016年的数据，中国表层耕地土壤（0-20厘米）中的汞储量为4.1 x 10^4公吨，中国耕作土壤向全球大气释放的汞 accounted for 63.4-364公吨。土壤汞浓度显著高于参考背景水平，突显了人类活动的影响。垂直分布模式显示表层明显富集，并随土壤深度降低。各省份地累积指数的比较表明，中国西北地区的汞污染水平高于其他地区，可能是由于该地区与能源有关的长期燃烧造成的。土壤汞水平与土壤有机质含量以及采样地点的年平均降水和气温呈强正相关。土壤汞的非致癌人体健康风险低于阈值水平，但对生态系统的一般风险相当。2011年至2016年省级汞积累的增加与燃煤、发电和人均GDP有关。对能源消耗和社会经济驱动因素对于中国土壤汞储量增加的检验对于通过指导政策制定和技术发展目标来直接控制汞至关重要。
P01305,Effects of organic matter fraction and compositional changes on distribution of cadmium and zinc in long-term polluted paddy soils,长期污染水稻土中有机质组分及其组成变化对镉和锌分布的影响,土壤颗粒有机质（POM）具有快速的周转率和金属富集能力，但有机质（OM）与金属之间的相互作用尚未得到充分研究。本研究旨在探究长期污染水稻土中POM组分的有机质浓度和组成变化，及其对金属分布和提取性的相应影响。与全土相比，土壤2000-53μm POM粒径组分具有更高的C-H和C=O键含量、C-H/C=O比值以及富里酸（FA）、腐殖酸（HA）、镉和锌的浓度。土壤POM组分中的镉和锌储量分别为24.5%-27.9%和7.12%-16.7%，且更易被EDTA提取。与对照土壤相比，污染土壤中2000-250μm POM粒径组分的有机碳浓度和C/N比更高。然而，在对照、轻度污染和重度污染土壤的POM组分中，C-H和C=O键含量或C-H/C=O比值没有显著差异。与C=O键含量以及FA和HA浓度较低相一致，250-53μm POM粒径组分中的Cd和Zn浓度低于2000-250μm POM粒径组分。POM组分中镉的富集程度随土壤污染水平的增加而增加。这些结果支持了这样一种观点，即有机质浓度的变化以及POM组分的大小和组成在决定水稻土中镉和锌的分布方面起着关键作用。
P01306,Spatial uncertainty assessment of the environmental risk of soil copper using auxiliary portable X-ray fluorescence spectrometry data and soil pH,利用辅助便携式X射线荧光光谱数据和土壤pH进行土壤铜环境风险的空间不确定性评估,土壤重金属环境风险的空间不确定性信息对于精准环境管理至关重要。本研究首先比较了三种地统计学方法，用于中国武汉市城乡结合部农业区土壤铜的空间模拟，即结合原位便携式X射线荧光光谱数据的顺序高斯协同模拟、结合异位便携式X射线荧光光谱数据的顺序高斯协同模拟，以及无辅助数据的顺序高斯模拟。然后，基于中国土壤环境质量标准II中土壤铜和土壤pH的联合阈值，评估了土壤铜的环境风险。利用土壤铜和土壤pH的地统计模拟实现来计算超过联合阈值的概率。验证表明，CoSGS_ex-situ在土壤铜的E型估计和不确定性建模方面略优于CoSGS_in-situ，而SGS表现最差。土壤铜和土壤pH的空间不确定性信息通过相应的地统计模拟实现传递到环境风险图中。超过联合阈值概率较高的区域主要位于研究区域的西北部和西南部。结论是，在土壤铜的空间模拟中，CoSGS_ex-situ和CoSGS_in-situ比传统的SGS更具成本效益，且土壤铜和土壤pH的模拟实现为超过联合阈值概率的空间评估提供了一种解决方案。
P01307,Cadmium dynamics in soil pore water and uptake by rice: Influences of soil-applied selenite with different water managements,土壤孔隙水中镉的动态及水稻的吸收：施加亚硒酸盐与不同水分管理的影响,稻米中的镉对人类健康构成潜在威胁。本研究调查了亚硒酸钠施肥（0、0.5 和 1.0 mg kg-1）对土壤溶液镉动态和水稻吸收的影响。水稻在江西和湖南省的两种镉污染土壤中种植，分别处于好氧和淹水两种条件下。实验在盆栽中进行。在幼苗期和成熟期收获植物以测定其镉含量。并在生长季节提取土壤溶液以监测镉的动态。结果表明，在江西土壤（pH 5.25）中，好氧条件下土壤溶液、幼苗和成熟水稻植株中的镉浓度高于淹水条件。然而在湖南土壤（pH 7.26）中，淹水降低了水稻幼苗中的镉水平，但对成熟植株没有影响。向湖南土壤中添加亚硒酸盐降低了土壤溶液和成熟水稻植株中的镉浓度。在添加了亚硒酸盐的江西土壤溶液或植株中未观察到这些效应。与对照组相比，0.5 mg kg-1 亚硒酸盐使好氧和淹水条件下稻米镉含量分别降低了 45.2% 和 67.7%。结果表明，水分管理模式对江西水稻镉吸收的影响比湖南更有效，而亚硒酸盐添加在湖南比在江西更有效。此外，在淹水条件下施用亚硒酸盐比好氧条件下更能有效降低稻米镉水平。
P01309,Bioaccumulation of microcystin congeners in soil-plant system and human health risk assessment: A field study from Lake Taihu region of China,土壤-植物系统中微囊藻毒素异构体的生物累积及人体健康风险评估：来自中国太湖地区的实地研究,"在太湖附近进行了一项为期120天的田间研究，以评估微囊藻毒素（MC）异构体在土壤-植物系统中的生物累积，并评估食用受MC污染水灌溉的食用植物对人体健康的风险。使用含有天然蓝藻水华的湖水（湖水）和含有天然蓝藻水华的湖水与自来水半稀释（半湖水）灌溉生菜和水稻。仅在生菜实验中进行了额外的蓝藻水华施肥处理。检测了土壤、根、叶和籽粒（水稻）中的MCs。在土壤-生菜系统中，在施用蓝藻水华肥料的土壤中未检测到三种MC异构体。在湖水处理中，检测到的土壤、生菜根和叶中MCs的最高浓度分别为24.8 (MC-LR 10.1, MC-RR 10.5, MC-YR 4.2) mg kg-1，424 (MC-LR 168, MC-RR 194, MC-YR 61.5) mg kg-1和183 (MC-LR 78.0, MC-RR 76.8, MC-YR 28.1) mg kg-1。在土壤-水稻系统中，在湖水处理中，MCs的最高浓度积累在根部，为1504 (MC-LR 634, MC-RR 573, MC-YR 297) mg kg-1。然而，积累在籽粒中的MCs浓度极低，在湖水处理中总MCs浓度为5.2 (MC"
