序号,英文标题,中文标题,中文摘要
P03434,Comprehensive assessment of heavy metal leaching behavior and environmental risk from antimony mine tailings,锑矿尾矿重金属淋溶行为与环境风险的全面评估,
P03435,Using an Improved Life Cycle Assessment Method for Environmental Impacts Assessment of Remediation Technologies,利用改进的生命周期评价方法评估修复技术的环境影响,针对污染场地这一长期存在的问题，迫切需要探索并实施有效的修复技术。鉴于污染场地的多样性，选择一种既能达到最优效果又能最大限度减少环境影响的技术至关重要。为此，本研究采用生命周期评价（LCA）方法。通过将层次分析法（AHP）和逼近理想解排序法（TOPSIS）与LCA结合，提供了一个改进的评估框架。本研究具体关注两种不同的修复方案，即水泥窑协同处置技术和原位化学氧化技术，应用于焦化场地的修复。通过模型计算，水泥窑协同处置技术和原位化学氧化技术的环境影响值分别为0.501和0.499，环境成本分别为65.74元和66.67元，综合影响值分别为0.545和0.455。结果表明，从环境影响和成本考虑，水泥窑协同处置技术比原位化学氧化技术具有更大的环境影响。
P03554,"Spatial dynamics of heavy metal pollution and their driving factors using coupled machine learning and PLS-SEM: A case study in Xiangtan, China",基于耦合机器学习和PLS-SEM的重金属污染空间动态及其驱动因素研究：以中国湘潭为例,重金属污染对食品安全和人类健康构成全球性风险。各种因素与重金属之间复杂的相互作用给识别污染驱动因素和途径带来了相当大的挑战。为了评估自然和人为因素对稻田土壤重金属污染的影响，本研究构建了一个集成随机森林和偏最小二乘结构方程模型（PLS-SEM）的新框架。结果表明，湘潭市面临的重金属风险主要来自镉和锌。灌溉用水使用主导了镉和铬的污染，而降水和PM10强烈影响了汞、砷、铅、锌和镍。基于PLS-SEM的路径分析揭示了气候因素与镉、铅和锌污染之间存在直接的正相关关系，而土壤性质与其他金属（汞、砷、铬、铜和镍）之间检测到负相关关系。人为活动加剧了气候对重金属污染的积极影响，进而通过影响土壤性质加剧了对镉、铅和锌的积极影响，而不是其他金属。地形特征通过改变土壤特征缓解了潜在的金属转移。本研究强调了一种综合方法减轻农业土壤重金属污染的重要性。
P03612,ECOLOGICAL AND HEALTH RISK ASSESSMENT OF SOIL HEAVY METAL CONTAMINATION ALONG NATIONAL HIGHWAY 107 IN CHINA,中国107国道沿线土壤重金属污染的生态与健康风险评估,本研究调查了中国107国道沿线绿化带后的土壤重金属污染。在高速公路两侧采集土壤样本，以测定铜、镉、铬、铅和锌等重金属的浓度。分析了这些重金属的分布规律、生态风险和对健康的危害。为了为土壤重金属污染控制提供更多的样本案例和数据支持。采用电感耦合等离子体质谱法（ICP-MS）检测土壤样品中这五种重金属的浓度和形态。采用地累积指数法、内梅罗污染指数法和健康风险评估模型评估高速公路附近重金属污染的生态和健康风险。结果表明：(1) 随着防护林层数的增加，土壤中Cu、Cd、Cr、Pb和Zn的浓度降低，突出了防护带在阻碍重金属从公路迁移方面的显著作用。(2) 在污染评估方面，地累积指数法揭示了明显的Cd污染，Cd的地累积指数峰值为1.95，总体上属于中度至轻度污染水平。相反，内梅罗指数法表明土壤重金属Cd污染具有中度至极高风险。具体而言，研究区Cd单因子污染指数峰值达到5.78，其内梅罗指数均值（P）为4.67。(3) 在健康风险评估中发现，儿童更容易受到重金属的威胁。五种重金属的非致癌风险指数均小于1，意味着风险极小。然而，Cr的总致癌风险指数在10–6到10–4之间，对人体构成一定程度的致癌风险
P03786,"Contamination and health risk assessment of heavy metals in soil surrounding an automobile industry factory in Jiaxing, China",中国嘉兴某汽车工厂周边土壤重金属污染特征及健康风险评估,汽车零部件行业在国民经济中占据重要战略地位，但也带来了环境污染问题，尤其是土壤重金属污染。本研究采集了中国嘉兴某汽车零部件公司的土壤样品，并采用地累积指数法对数据进行了评估。研究发现，该公司下风向的重金属污染主要是砷(As)、镉(Cd)和锌(Zn)的混合污染，且分布不均。As的变异系数最大，区域变幅较大。Cd、Cr和Ni的变异系数为50%，Zn为39.38%，Pb最低。As和Cd的地累积指数为6，属于极严重污染水平。As含量为1994.7 mg/kg，超标超过44倍，且在土壤中分布不均。Zn的污染水平为3，属于中度水平。土壤重金属污染程度随着距离工厂下风排口距离的增加而降低。根据健康风险评估，重金属进入人体的主要途径是经口呼吸。在暴露途径中，经口暴露重金属的危害最大，因此我们需要特别关注农田土壤重金属污染。
P03871,Ecological Risk Assessment and Source Analysis of Heavy Metals in Farmland Soil in Yangchun City Based on APCS-MLR and Geostatistics,基于APCS-MLR和地统计学的阳春市农田土壤重金属生态风险评估及源解析,广东省阳春市是一个典型的多金属矿产分布区，被选为研究区域，以研究重金属对农田土壤的含量、分布、来源及可能影响。研究结果表明，阳春市重金属的空间分布呈现北部和东南部较高、西部及其他地区较低的特征。部分农业用地采样点的金属含量超过了土壤污染风险筛选值，特别是As（7.5%）、Cd（12%）、Cu（4%）、Hg（14.5%）和Pb（3%）。此外，研究区域中As、Cu、Cd、Pb、Hg和Zn的平均含量均超过了广东省的土壤背景值。采用绝对主成分得分-多元线性回归（APCS-MLR）方法识别土壤样品中重金属的潜在来源。该模型确定了三个潜在来源：交通排放、自然源和农业活动，分别占28.16%、16.68%和14.42%。基于生态风险评估，潜在生态风险（Eri = 310.77）、内梅罗污染指数（PN = 2.27）和多重可能效应浓度质量（mPECQs = 0.23）表明土壤样品中的重金属污染程度为中等。研究确定了三个来源：交通排放、自然源和农业活动。建议结合上述结果，建立重点关注Cd和Hg的监测预警系统。该系统可利用地理信息系统和遥感技术实现污染的动态监测和预测。建议定期检测土壤并采取可持续管理措施
P03873,"Effect of Sod Production on Physical, Chemical, and Biological Properties of Soils in North and South China",中国南北地区草坪生产对土壤物理、化学和生物学性质的影响,草坪在城市发展中起着重要作用，但草坪生产对土壤性质的影响一直存在争议。本研究考察了不同地区和年限[包括中国北方（2.5、3、5、6、8、10、12年），称为N-2.5、N-3等，和中国南方（3、10、11、14、17年），称为S-3、S-10等]草坪生产基地的物理、化学和生物学性质，北方种植高羊茅和草地早熟禾，南方种植狗牙根或匍匐翦股颖。研究发现，草坪生产增加了土壤容重，降低了孔隙度和田间持水量，但这些影响并未随着生产时间的延长而持续加剧。除有效磷和有效钾外，其他土壤养分（全碳、全氮、有机质、碱解氮等）在特定时间点（S-11、S-14）未受影响或有所增加。长期草坪生产（S-10、S-17）也提高了微生物含量。在北方地区，有机质和全氮是影响微生物群落结构的关键因素，而在南方地区，碱解氮、电导率、有效钾和有机质影响最大。我们还发现，轮作、覆砂和深翻可以增强草坪生产中的土壤养分含量和微生物活性。
P03906,Phytoremediation of Toxic Lead from Contaminated Soil Using Neyraudia reynaudiana: Soil of Xuzhou as a Case Study,基于类芦的徐州污染土壤有毒铅植物修复研究,铅作为一种主要的污染元素，在世界范围内造成了大规模的土壤污染。虽然植物修复可以解决这一问题，但修复潜力植物的选择一直是一个科学问题。作为一种多功能的修复植物，类萝既能修复污染土壤，又能修复边坡。此前，类萝在中国南方的地形修复中得到了广泛应用。本研究首次研究了长江以北徐州地区类萝的生长及其对铅的吸收和富集能力。本研究在不同铅浓度的土壤中种植类萝，并在各个生长阶段测定和分析根、茎、叶和土壤中铅含量的变化以及氧化还原酶的变化。结果表明，根系可以吸收铅，最多可以将79.45%的铅转移到茎叶中。随着植物的生长，积累和转移的能力逐渐增强。此外，当土壤铅浓度高于800 mg kg−1时，类萝的积累能力受到显著抑制。此外，超氧化物歧化酶(SOD)、过氧化氢酶(CAT)、抗坏血酸过氧化物酶(APX)和过氧化物酶(POD)在初始阶段首先作用于氧化还原反应，而在后期随着污染物浓度的增加或类萝的生长，谷胱甘肽还原酶(GR)氧化还原系统对铅胁迫持续反馈。本研究证明了类萝是一种针对铅污染土壤的修复植物，可以修复铅污染浓度低于800 mg k g ^ { - 1 }的土壤。结果为阐明类萝修复土壤铅污染的作用机理和阈
P03907,"Spatial Distribution, Source Analysis, and Health Risk Assessment of Heavy Metals in the Farmland of Tangwang Village, Huainan City, China",中国淮南市唐王村农田土壤重金属空间分布、源解析及健康风险评估,"耕作土壤中的重金属污染对农业生产、环境健康以及城乡居民福祉的影响不容忽视，这已成为实现全面乡村振兴的重要瓶颈。为了准确掌握城郊耕作土壤的重金属污染特征，本研究对淮南市郊区的唐王村进行了调查。检测了该地区耕作土壤表层中重金属（Hg, Cu, Hg, As, Pb, Cr, Cd 和 Zn）的含量，并利用反距离空间插值分析了其空间分布特征。(1)通过对PMF模型源头的综合分析和详尽检查，确定Cu、Cd和Zn与农业措施直接相关，累计贡献率为21.10%。同时，Cr来源于自然成土母质和人类活动的混合源，占总比例为24.45%。值得注意的是，汽车尾气排放是铅的主要来源，而砷主要与分散的工厂及其运作有关，贡献率分别为36.38%和18.07%。显然，农业活动、交通运输和工业活动是农田土壤重金属污染的主要原因。(2)地质累积指标评价显示，土壤砷的累积污染程度为轻度至中度（1.199）。另一方面，Cd、Hg、Cr和Cu的累积污染水平相对较低（0.462→0.186），而Pb和Zn的水平低于阈值。(3)生态风险指数评估显示，调查区域内潜在生态风险的主要元素是Hg、As和Cd，平均Ei值分别为E(Hg)="
P03908,Study on the Effects of Reducing Nitrogen Fertilizer: Stabilizing Yield and Carbon Sequestration by Synergistic Utilization of Chinese Milk Vetch and Rice Straw in Double-Cropping Rice Area,双季稻区紫云英与水稻秸秆协同利用减施氮肥对稳产及固碳效应的研究,稻田中化学肥料的过度施用加剧了土壤退化，并对粮食安全构成威胁。实现水稻产量增加和最小化环境成本是实现可持续水稻生产的必然要求。协同利用水稻秸秆（RS）和紫云英（MV）是中国南方提高土壤质量的可持续措施。在不同的施肥条件下，这种管理策略如何影响农业生产力以及土壤固碳（C）尚不清楚。在双季稻种植制度下，设计了几种处理，包括仅在标准氮（N100）和40%减氮（N60）水平下的单施化肥（F）、F+MV（FM）、F+RS（FS）和F+MV+RS（FMS），以探索2018-2020年期间水稻产量、土壤有机碳（SOC）浓度、储量和土壤活性有机碳组分（高锰酸盐氧化碳）的变化。结果表明，FMS处理降低了土壤容重以缓解土壤压实，并提高了土壤碳管理指数。MV和RS的协同利用替代40%的化学氮肥仍能保持水稻产量。与F处理相比，FMS处理的平均年产量显著增加了9.82%和5.84%；SOC浓度平均增加了16.05%和19.98%（p < 0.05），SOC储量在N60和N100水平下分别增加了1.78 Mg C ha-1和2.37 Mg C ha-1。随机森林回归模型和相关分析表明，化学N、有机N和C的投入以及
