序号,英文标题,中文标题,中文摘要
P03836,Optimization of urban green space in Wuhan based on machine learning algorithm from the perspective of healthy city,基于机器学习算法的健康城市视角下武汉城市绿地优化,
P03973,A Deep-Reinforcement-Learning-Based Multi-Source Information Fusion Portfolio Management Approach via Sector Rotation,基于深度强化学习的多源信息融合板块轮动投资组合管理方法,作为量化交易的一个研究目标，投资组合管理的目的是通过跟随股票价格的动态变化来寻找最优的资金配置。目前投资组合管理方法的主要问题是它们仅关注单一数据源，忽略了板块产生的变化或新闻。整合新闻数据的方法在量化文本数据并将其嵌入投资组合模型方面经常面临挑战；这一过程通常需要大量的人工标注。为了解决这些问题，我们提出了一种基于深度强化学习（DRL）的多源信息板块轮动投资组合管理方法。多源信息包括板块和股票特征的时间数据，以及新闻数据。在结构上，该方法部署了一个双层强化学习结构，包括一个多智能体板块层和一个图卷积层。前者学习板块的趋势，后者学习板块内股票之间的联系，并通过大语言模型整合新闻对板块的影响，无需人工标注或融合其他模块的输出信息以提供最终的投资组合管理方案。在中国和美国（US）股票市场上的模拟实验结果表明，我们的方法比多种最先进的方法表现出显著的改进。
P04383,Process Development for the Continuous Manufacturing of Carbamazepine-Nicotinamide Co-Crystals Utilizing Hot-Melt Extrusion Technology,利用热熔挤出技术连续制备卡马西平-烟酰胺共晶的工艺开发,目的：热熔挤出（HME）提供了一种无溶剂、可扩展的药物共晶（CC）制造方法，符合行业向连续制造（CM）的转变。然而，收率优化未定义、风险管理不足以及过程分析技术（PAT）集成有限等挑战阻碍了其工业应用。本研究旨在开发CC的概念验证HME平台，评估工艺风险，并评估PAT启用的监测以促进稳健生产。方法：使用卡马西平（CBZ）和烟酰胺（NIC）作为模型化合物，建立了一个与PAT工具兼容的HME平台。系统的风险评估确定了五个关键风险领域：材料、机械、测量、方法和其他因素。Box-Behnken实验设计（DoE）评估了螺杆转速、温度和混合段对CC质量的影响。近红外（NIR）光谱在HME过程中实时监测CBZ-NIC共晶的形成。结果：DoE显示温度和混合段数量显著影响粒径（D50：2.0–4.0 µm），而螺杆转速影响效率。NIR光谱在5008.3 cm−1处检测到独特的CC吸收峰，实现了高精度的实时结构监测$( R ^ { 2 } = 0 . 9 9 9 9 )$。风险评估强调材料属性、工艺参数和设备设计是影响CC形成的关键因素。所有实验批次均产生纯度≥94%的CC，无残留起始材料，证明了工艺的可
P04616,Intraday and Post-Market Investor Sentiment for Stock Price Prediction: A Deep Learning Framework with Explainability and Quantitative Trading Strategy,日内和盘后投资者情绪用于股票价格预测：一种具有可解释性和量化交易策略的深度学习框架,金融市场固有的不确定性和信息不对称给准确的价格预测带来了巨大挑战。虽然近年来投资者情绪分析在研究中颇受关注，但情绪动态的时间维度仍未得到充分探索。本研究开发了一种新颖的框架，通过整合时间划分的投资者情绪来增强股票价格预测，同时通过Shapley加性解释（SHAP）分析提高模型的可解释性。采用ERNIE（通过知识集成增强表示）3.0模型从中国东方财富股吧提取情绪，我们定量区分了日内和盘后投资者情绪，然后通过神经网络架构将这些时间成分与技术指标整合。结果表明，时间情绪划分有效地降低了不确定性。经验证据表明，我们整合日内和盘后情绪指标的长期短期记忆（LSTM）模型实现了更高的预测准确性，SHAP分析揭示了日内和盘后投资者情绪对股票价格预测模型的重要性。基于这些见解实施量化交易策略，在控制风险的情况下，为代表股票产生显著更高的年化回报，优于不可知情绪和非时间情绪模型。这项研究为处理金融中的时间非结构化数据提供了方法论创新，而SHAP框架为监管机构和投资者提供了关于情绪驱动市场动态的可操作见解。
P04915,A dynamic informed deep-learning method for future estimation of laboratory stick–slip,一种用于实验室粘滑未来估计的动态信息深度学习方法,断层活动建模对于地震监测、风险管理和预警至关重要。实验室地震研究对于模拟自然断层破裂和加深对自然地震动力学的理解具有重要意义。近年来，机器学习方法已被证明在预测实验室环境下的瞬时断层应力和地球上的断层活动方面是有效的。然而，由于缺乏对高度非线性实验室断层滑移系统复杂动力学的理解，这些方法难以获得稳定的未来预测。为了解决这个问题，我们引入了Hankel-Koopman自动编码器（HKAE），这是一种受动力系统理论启发的 novel 方法。HKAE对实验室断层系统进行动力学建模，并提供对系统未来状态的连续估计。
P05334,Enhancing Financial Market Forecasting with LSTM Networks and Technical Indicators,基于LSTM网络和技术指标增强金融市场预测,本文探讨了长短期记忆（LSTM）网络在金融市场量化交易中的应用。该研究基于LSTM模型的构建，整合了移动平均线（MA）、相对强弱指数（RSI）、布林带等技术指标，以此增强模型对未来市场趋势的预测能力。本文将数据集分为三部分：70%用于训练，15%用于验证，15%用于测试。实验结果表明，LSTM模型能有效捕捉长期依赖关系。此外，该模型在测试数据上表现良好，预测曲线与实际市场趋势高度吻合。该方法为理论研究和实际应用提供了新视角，可作为投资者和金融机构的辅助决策工具，以优化投资策略、提高投资回报并促进市场的稳定与可持续发展。
P05424,Blockchain-Based Secure and Reliable High-Quality Data Risk Management Method,基于区块链的安全可靠高质量数据风险管理方法,大规模、多样化数据集的协作构建对于开发高性能机器学习模型至关重要。然而，这种协作面临着重大挑战，包括确保数据安全、保护参与者隐私、维持高数据集质量，以及协调多方利益相关者之间的经济激励。有效的风险管理策略对于系统性地识别、评估和减轻与数据协作相关的潜在风险至关重要。本研究提出了一种基于联邦区块链的框架，旨在安全、透明地管理多方数据集协作，并明确纳入了综合的风险管理实践。该框架涉及六个核心实体——密钥分发中心(KDC)、研究人员(RA)、数据所有者(DO)、联盟区块链、数据集评估平台以及编排模型本身——以确保安全、隐私保护且高质量的数据集协作。此外，该框架利用区块链技术保证数据交易的可追溯性和不可篡改性，并集成基于代币的激励机制以鼓励数据贡献者提供高质量数据集。为了系统地减轻数据集质量风险，我们引入了一种创新的分类数据集质量评估方法，利用标签重排来稳健地评估数据集。我们使用公开可用(UCI)和私有构建的数据集验证了这种质量评估方法。此外，我们的研究在联盟区块链基础设施中实施了所提出的基于区块链的管理系统，并将其性能与现有方法进行基准比较，从而展示了在数据集协作中增强的安全性、可靠性、风险
P05430,Expanding and Interpreting Financial Statement Fraud Detection Using Supply Chain Knowledge Graphs,基于供应链知识图谱的财务报表欺诈检测扩展与解释,供应链内的关系对于分析商业交易至关重要，并能揭示披露财务数据中的重要模式。这些关系亦有助于财务欺诈的评估与检测。近期采用图神经网络的研究表明，通过结合企业财务特征与供应链关系，检测能力得以增强，超越了仅依赖财务特征的传统方法。然而，这些研究面临显著局限：(1) 未对跨年度的企业关联进行建模，阻碍了长期财务欺诈的检测；(2) 缺乏对供应链关系的解释性分析以挖掘欺诈模式或风险传导的有效性。为解决上述缺陷，本文提出了一种可解释且高效的异构图卷积网络，旨在分析供应链知识图谱。该模型还将学习范围扩展至多年期财务数据以用于欺诈检测。实验结果表明，本文方法兼具可扩展性与可解释性，在连续多年期欺诈检测任务中显著优于现有机器学习及GNN方法，实现了0.7498的最高AUC，较领先方法提升了3.8%。此外，元路径分析揭示，共享同一供应商的公司表现出相关的财务欺诈风险，且欺诈可通过供应链传播，为反欺诈与风险管理策略提供了基于增强解释性的新见解。
P05432,Dynamic Modeling of Limit Order Book and Market Maker Strategy Optimization Based on Markov Queue Theory,基于马尔可夫队列理论的限价订单簿动态建模与做市商策略优化,近年来，高频交易在金融市场中日益普及，使得限价订单簿的动态建模和做市商策略的优化成为关键议题。然而，现有研究往往缺乏对订单簿的详细描述，未能充分刻画复杂市场环境下（尤其是中国A股市场）做市商的最优决策。基于马尔可夫排队理论，本文提出了限价订单的动态模型和做市商的最优策略。该模型利用状态转移概率矩阵细化了市场扩散状态、订单生成和交易过程，并纳入了最优报价偏差和限价订单交易概率等指标。然后，构建了最优控制模型，并利用Hamilton–Jacobi–Bellman (HJB) 方程推导了参考策略。随后，利用平安银行单日的高频数据对关键参数进行了估计。在实证方面，选取了中国A股市场114只代表股票在牛市和熊市等不同市场状态下的六个月高频交易数据进行策略验证。结果表明，该策略在牛市中具有稳健的回报和稳定的利润，而在熊市中频繁捕捉市场波动可以在保持50%的订单覆盖率和66%的稳定订单成交率的同时获得相对较高的回报。我们的研究利用马尔可夫排队理论详细描述了限价订单簿的状态和价格动态，并利用优化方法构建和求解了最优做市商策略。实证方面扩大了做市商策略在中国市场的实证范围，研究了做市商在不同市场状态下的
P05439,Intelligent Assessment of Personal Credit Risk Based on Machine Learning,基于机器学习的个人信用风险智能评估,在21世纪的全球经济中，金融业的快速增长，特别是个人信贷，推动了经济增长和市场繁荣。然而，个人信贷业务的快速扩张带来了数据量的爆炸式增长，这对金融机构的风险管理提出了更高的要求。为了解决这个问题，本文在大数据背景下构建了一个个人信用风险智能评估模型。首先，基于森林优化特征选择算法，结合基于卡方检验的初始化、自适应全局播种和贪心搜索策略，从高维数据中准确识别关键风险因子。然后，使用XGBoost算法评估客户的信用风险等级，并利用Tent混沌映射、正余弦搜索、反向学习和柯西变异策略改进了传统的麻雀搜索算法，以提高算法参数的优化性能。最后，利用Lending Club数据集进行实证分析，实验表明该模型提高了个人信用风险评估的准确性，增强了风险控制能力。
P05560,Spatiotemporal evolution and driving force analysis of drought characteristics in the Yellow River Basin,黄河流域干旱特征的时空演变及驱动力分析,
P08920,A performance evaluation framework for university teachers based on the adaptive neural fuzzy inference system (ANFIS),基于自适应神经模糊推理系统的大学教师绩效评估框架,
P09132,Development and Validation of a Nomogram for Predicting Frailty Risk Among Older Patients With Ischaemic Stroke,老年缺血性卒中患者衰弱风险预测列线图的构建与验证,目的：调查老年缺血性卒中患者与衰弱相关的风险因素，构建列线图并应用于临床。设计：横断面研究。方法：共纳入2023年3月至12月期间经历缺血性卒中的567名患者，使用Tilburg衰弱指标量表将其分为衰弱组和非衰弱组，并按时间顺序分为训练集（n = 452）和验证集（n = 115）。在训练集中，使用最小绝对收缩和选择算子回归和随机森林递归特征消除进行特征选择，随后使用二元逻辑回归构建列线图。通过Bootstrap重抽样进行内部验证，并使用验证集评估模型的泛化能力。结果：衰弱患病率为58.6%。婚姻状况、吸烟、跌倒史（前一年）、体育锻炼、多重用药、白蛋白水平、日常生活活动能力、吞咽困难和认知障碍是列线图中的预测因子。ROC曲线分析显示列线图具有优异的判别能力。结论：该列线图可作为评估老年缺血性卒中患者衰弱风险的有效工具。
P09216,Analysis of Effective Paths for Integrating Malan Spirit into College Ideological and Political Education,马兰精神融入高校思想政治教育有效路径探析,
P09295,Auditing in the blockchain: a literature review,区块链中的审计：文献综述,本研究通过系统的文献综述和四大会计师事务所的案例比较，评估了区块链对审计的双重影响。经验证据表明，分布式账本技术通过自动交易认证（以普华永道将对账协议时间缩短90%为例）和机器学习驱动的异常检测算法提高了审计效率，实现了全面的审计抽样和持续监控能力。但持久的技术风险依然存在，特别是51%共识漏洞、智能合约暴露以及去中心化架构中的吞吐量限制，这些都损害了系统完整性。此外，跨境合规框架中的监管空白以及从业人员在密码验证技术方面的能力不足，严重阻碍了技术的吸收。分析证实了三个关键要求：(1)具有图灵完备合规协议的统一监管框架，(2)跨学科人力资本发展计划，以及(3)异构系统互操作性的应用研究。战略性地缓解这些实施障碍可以将审计转向加密信任生态系统，但这取决于监管机构、开发混合审计架构的企业实体和推进验证方法的学术机构之间的协同合作。
P09359,Domain Knowledge-Enhanced Process Mining for Anomaly Detection in Commercial Bank Business Processes,基于领域知识增强的商业银行业务流程异常检测流程挖掘方法,金融服务系统中的流程异常检测对于运营合规和风险管理至关重要。然而，传统的流程挖掘技术由于依赖于频率且未能充分结合领域特定知识，往往忽略了重大低频异常的检测。因此，我们通过引入从标准操作程序（SOP）中导出的领域特定的后续关系矩阵，开发了一种增强的流程挖掘算法。我们基于中国商业银行2022年1月至12月企业开户流程的真实事件日志，实证评估了该算法的有效性。此外，我们采用大语言模型（LLMs）进行根因分析和流程优化建议。实证结果表明，E-Heuristic Miner在流程异常检测方面显著优于传统机器学习方法和流程挖掘算法。此外，LLMs的集成在语义推理方面提供了有前景的能力，并提供了可解释的优化建议，增强了复杂金融场景下的决策支持。我们的研究通过将银行特定的领域知识纳入流程挖掘算法，显著提高了金融背景下流程异常检测的精度。同时，它扩展了流程挖掘在智能语义感知金融服务管理中的理论界限和实际适用性。
P09366,ToxACoL: an endpoint-aware and taskfocused compound representation learning paradigm for acute toxicity assessment,ToxACoL：一种用于急性毒性评估的端点感知和任务聚焦的化合物表征学习范式,
P09409,Enhancing urban resilience through machine learning-supported flood risk assessment: integrating flood susceptibility with building function vulnerability,通过机器学习支持的洪水风险评估增强城市韧性：整合洪水易损性与建筑功能脆弱性,
P09410,CMDMamba: dual-layer Mamba architecture with dual convolutional feed-forward networks for efficient financial time series forecasting,CMDMamba：用于高效金融时间序列预测的双层Mamba架构与双卷积前馈网络,Transformer模型在金融时间序列预测中表现显著，但在计算效率、运营成本和捕捉时间依赖性方面存在局限。我们提出了基于状态空间模型Mamba架构的CMDMamba模型，实现了接近线性的时间复杂度。该模型采用双层Mamba结构捕捉金融市场微观和宏观层面的价格波动，并集成了创新的双卷积前馈网络(DconvFFN)模块以有效捕捉多变量相关性。实验表明，CMDMamba在多变量预测任务上比现有最先进模型提高了10.4%的预测精度，并在预测准确性和计算效率方面表现出色。
P09462,The impact of different sampling strategies on landslide susceptibility assessment: an explainable hybrid BO-XGBoost model,不同采样策略对滑坡敏感性评价的影响：一种可解释的混合 BO-XGBoost 模型,滑坡敏感性评价 (LSA) 是滑坡风险管理的有效方法，但在大范围区域准确划定滑坡边界通常具有挑战性。为了提高 LSA 的准确性，研究人员采用了多种方法来扩展滑坡样本。然而，不同的滑坡采样策略对 LSA 的影响尚未得到充分探讨。本研究利用贝叶斯优化 (BO) 算法优化极限梯度提升 (XGBoost) 模型，并结合 SHapley Additive exPlanations (SHAP)，提出了一种可解释的混合机器学习方法，用于评估四种滑坡采样策略对 LSA 的影响。以三峡库区 (TGRA) 为研究区域，我们使用点、方形、圆形和多边形采样方法构建了四个滑坡数据集，并通过相关性分析和多重共线性检验选择了 12 个影响因素。这些数据集按 7:3 的比例随机划分为训练集和测试集，并使用各种机器学习模型进行分析。结果表明，BO-XGBoost 模型在方形、圆形和多边形数据集上表现异常出色，在多边形数据集上达到了 0.991 的 AUC 和 0.963 的预测精度。此外，交叉验证表明，基于多边形数据集的 XGBoost 模型获得了最高的平均 AUC (0.984)，标准差 (SD) 为 0.003。
P09465,Development and validation of a perioperative risk prediction model for pressure ulcers in neurosurgical procedures: a machine learning approach with protocol compliance metrics,神经外科手术中压疮围手术期风险预测模型的开发与验证：一种结合方案依从性指标的机器学习方法,背景：本研究旨在开发并验证一种列线图，用于预测神经外科患者的压疮（PU）发生率，以加强术后风险管理。方法：对2005年至2025年间四个三级中心的1020名患者进行回顾性分析，评估了20个变量。采用倾向性评分匹配（PSM）处理混杂因素，利用LASSO回归和机器学习筛选预测因子。通过AUC-ROC、C指数和决策曲线分析评估模型性能。结果：确定了PU的八个独立预测因子：糖尿病病程、BMI、白蛋白、前白蛋白、年龄、血红蛋白、温差和尿失禁。训练集的AUC-ROC为0.825（95% CI: 0.797–0.853），灵敏度为77%，特异度为92%；验证集的AUC-ROC为0.800（95% CI: 0.753–0.847），灵敏度为76%，特异度为92%。列线图在训练集和验证集中的重新校准C指数分别为0.833和0.826。决策曲线分析证实了在临床阈值范围内具有显著的净获益。结论：该经验证的列线图能够实现早期PU风险分层，从而促进个性化的术后干预。鉴于其高灵敏度和特异性，该模型可整合到临床实践中，协助早期识别高危患者，从而通过及时干预改善患者预后。
P09474,Advancing Graph Neural Networks for Complex Relational Learning: A Multi-Scale Heterogeneity-Aware Framework with Adversarial Robustness and Interpretable Analysis,推进复杂关系学习的图神经网络：一种具有对抗鲁棒性和可解释性分析的多尺度异构感知框架,图神经网络（GNN）由于数据异构性、对抗性异质性和严重的类别不平衡而在实际应用中面临基本的算法挑战。本文介绍了HAG-CFNet，这是一个通过整合三个关键创新来解决这些差距的新颖框架：（1）异构感知消息传递机制，（2）双通道异质性检测模块，以及（3）域感知反事实生成器。在大规模金融数据集上的广泛测试验证了该框架的影响力。
P09480,Exploring Machine Learning Models for Vault Safety in ICL Implantation: A Comparative Analysis of Regression and Classification Models,探索ICL植入中拱高安全性的机器学习模型：回归与分类模型的比较分析,"引言：准确预测植入性胶原人工晶体（ICL）V4c植入术后的拱高对于减少并发症和实现最佳手术效果至关重要。本研究旨在评估机器学习模型在预测术后拱高方面的表现，重点关注回归和分类方法。

方法：这项回顾性研究分析了生物测量和人口统计数据，包括前房深度、白到白距离和ICL尺寸等变量。使用梯度提升、随机森林和CatBoost算法开发了回归和分类模型。回归模型将拱高预测为连续变量，而分类模型将拱高分类为二分类和多分类任务。模型性能评估指标包括回归模型的平均绝对误差（MAE）和均方根误差（RMSE），以及分类模型的准确性、F1分数和曲线下面积（AUC）。

结果：回归模型显示出中等预测性能，随机森林表现最佳（MAE：134.0 µm，RMSE：171.3 µm，Pearson相关系数：0.45）。另一方面，分类模型比回归方法表现出更大的临床适用性。在二分类任务（拱高 < 250 µm vs. ≥ 250 µm）中，梯度提升实现了最高的整体性能，准确性为 89 ± 12%，AUC为0.89。在预测拱高 >750 µm vs. ≤ 750 µm 的任务中，随机森林成为最有效的分类器，准确性为 86 ±"
P09481,Proximal Distance Algorithms for Sparse Portfolio Selections,稀疏投资组合选择的近端距离算法,由于实施的简单性和求解效率，机器学习算法最近被应用于投资组合选择问题。本文介绍了一种此类算法，称为近端距离算法（PDA），用于稀疏约束投资组合优化，这对许多现有算法来说具有挑战性。虽然 PDA 具有良好的收敛特性，但我们关注的问题是惩罚参数如何影响解的质量。特别是，我们研究了惩罚问题的 ε 最优性，并在一定条件下为仅做多头的稀疏投资组合建立了精确惩罚结果。我们进一步引入了一种新的 PDA 变体，它基于利用到稀疏集的距离函数的精确惩罚。我们通过应用极大极小化技术来规避距离函数的不可微性问题，从而开发了相应的 PDA。我们还报告了大量的数值结果以验证引入的 PDA 的效率。具体而言，通过与几种最先进的投资组合策略进行比较，所提出的投资组合展示了优越的样本外性能。
P11544,CO2 separation through membrane based on CO2-friendly metal-organic frameworks,基于亲二氧化碳的金属有机骨架的膜分离CO2研究,膜分离CO2具有能耗低、成本少、占地面积小、工艺简单、无污染等优点，是一种高效环保和经济可行的碳捕集技术。但传统的无机膜材料难以制备无界面缺陷的连续相；而有机膜材料受限于选择性和渗透性之间的此消彼长效应，影响气体分离性能。针对以上问题，本文以亲CO2的金属有机骨架为研究对象，开展了膜分离CO2的相关机理分析和实验研究。通过优化膜中界面条件、强化选择性吸附位点、降低CO2传质阻力等策略，开发了基于金属有机骨架的连续相晶体膜和混合基质膜，提高了膜分离CO2性能。
