序号,英文标题,中文标题,中文摘要
P00113,"Dam Operation Alters Nutrient Dynamics and Intensifies Heavy Metal Pollution in Riparian Soils: A 15-Year Study of the Three Gorges Reservoir Area, China",大坝运行改变了养分动态并加剧了河岸土壤重金属污染：中国三峡库区15年研究,"三峡大坝（TGD）的运行深刻改变了河岸生态系统，而河岸生态系统是维持河流水质的关键过渡区。尽管已有许多研究 examining 了河岸区土壤养分和重金属的动态，但其长期轨迹仍不清楚。本研究建立了一个长期监测点，并汇编了覆盖大坝运行15年（2007-2021）期间15个区域河岸土壤的文献数据。采用广义线性混合模型（GLMMs）评估影响河岸水库区（RRZ）土壤性质的关键因素的贡献。与相邻的高地土壤相比，RRZ土壤具有更高的土壤有机碳（SOC）和重金属浓度（Cd, Cr, Cu, Zn）。年间洪水频率是主导因素，解释了大多数土壤属性超过50%的变异性。具体而言，pH值、总养分（SOC, TP TK）和重金属浓度（Cd, Cr, Cu, Pb, Zn）均随年间洪水频率显著增加，而土壤有效养分（AN, AP, AK）则显著下降。海拔也起着关键作用，145-155 m的土壤显示出更高的SOC和重金属浓度，而165-175 m的土壤具有更高的TN, TK, AN和AK水平。为了减轻这些影响，迫切需要包括植被恢复在内的生态管理策略。本研究为三峡水库河岸区的保护和恢复提供了重要见解，为未来的管理工作奠定"
P00175,"Quantifying and tracing urban soil pollution sources by coupling magnetic and geochemical methods: A case study from Hangzhou, China",通过耦合磁学和地球化学方法量化与追踪城市土壤污染源：以中国杭州为例,城市土壤污染本质上是复杂的，将环境磁学与地球化学相结合为精确的源解析和针对性的修复提供了有效的策略。本研究系统地表征了杭州表层土壤的磁学和地球化学污染，采用相关分析、主成分分析（PCA）和绝对主成分得分-多元线性回归（APCS–MLR）模型来追踪和量化磁性颗粒和重金属污染物的来源。结果表明，表土磁学主要由低矫顽力准单畴（PSD）和多畴（MD）铁磁性矿物主导，并在工业区和交通拥堵区域显著富集。地球化学元素的空间分布格局显示出明显的人为-自然复合特征，Ca、Cu、Pb 和 Zn 的高浓度主要出现在拱墅、西湖和上城区，而 Al、Fe、Ti、Ce 和 V 主要受自然背景控制。χlf、χARM、SIRM、SOFT 与 Ca、Zn、Cr 之间的显著相关性证实了磁学参数作为重金属监测指标的实用性。APCS–MLR 分析确定了五个主要土壤污染源：工业排放（28.29%）、自然背景（25.29%）、交通排放（18.03%）、建筑扬尘（17.48%）和农业投入（10.91%）。磁性颗粒主要来源于工业活动，而重金属则来自多种组合源。值得注意的是，杭州表土重金属污染已从传统的“工业+交通”模式转变为更复杂的“
P00963,Disentangling Anthropogenic Inputs from Natural Heterogeneity: An Adaptive Machine Learning-Geostatistics Workflow for Soil Heavy Metal Risk Assessment,从自然异质性中解耦人为输入：一种用于土壤重金属风险评估的自适应机器学习-地质统计学工作流程,背景值对于确定土壤重金属的人为输入和风险水平至关重要。然而，重金属的空间异质性经常导致背景值计算产生误差，从而导致低估或误判潜在的环境风险。在此，我们开发了一种利用期望最大化 (EM) 和高斯过程回归 (GPR) 的顺序自适应工作流程，以消除空间异质性并提高重金属风险评估的质量。该工作流程通过顺序诊断和应用阶段运行。它首先进行空间变化驱动因素分析，然后指导背景值的空间异质性识别。该工作流程整合了用于风险评估的空间变化驱动因素分析和背景值的空间异质性识别。空间变化驱动因素分析基于源解析和多尺度地理加权回归。空间异质性识别基于重金属背景值与土壤化学成分之间的相关性。方法学研究使用了 3916 个密集采样数据点，涉及 28 个组分的元素浓度数据集。该工作流程提高了从数据集中区分重金属背景值和人为输入的能力，并将背景值应用于风险识别和环境承载力评估。为了验证所提出的方法，将其与传统方法进行了比较。比较结果表明，所提出的方法通过消除重金属背景值的空间异质性，更有效地提高了区域环境风险评估的准确性和可靠性。适用性分析表明，如果能够获得足够的样本数量和分析项目，该工作流程可应用于地质复杂的区域。这些
P00964,"Unveiling the fate of heavy metals along the soil–rice–human pathway: Source–sink quantification, rhizospheric processes, and health implications",土壤-水稻-人体途径中重金属的归趋解析：源汇量化、根际过程与健康影响,
P00965,An integrated framework coupling process driven model and machine learning to simulate soil heavy metal(loid)s accumulation and predict regional risk,耦合过程驱动模型与机器学习模拟土壤重金属累积及预测区域性风险的综合框架,现有评估区域尺度土壤重金属累积的方法在持续链接时空输入输出过程以及在不依赖广泛环境监测数据的情况下准确量化通量方面仍然存在局限性。为解决这些限制，我们开发了一个综合建模框架，该框架耦合了自下而上的多源排放清单、AERMOD大气扩散模型和基于HYDRUS的水溶质运移模块，并进一步结合既定的经验方法来量化输出过程，从而实现了土壤重金属动力学的长期、空间明确的模拟，并引入了机器学习模块来校准过程衍生的净重金属通量。该框架应用于中国东部沿海浙江省的一个工业聚集区。结果表明，随着工业化和城市化的快速发展，大气沉降输入稳步增加，而农业输入有所下降，高沉降区集中在距离点源10公里范围内。输出过程的模拟显示，淋溶和土壤侵蚀是重金属流失的主要途径，而地表径流通量随着不透水地面的增加呈现逐渐增加的趋势。预测50年后，土壤环境承载力将显著下降，超载区域大幅扩大，特别是砷(30.82%)、铜(31.04%)、镉(19.96%)和铅。
P00968,Novel soil health assessment framework and microbial community characterization for paddy field by interpretable machine learning,基于可解释机器学习的稻田土壤健康评估框架及微生物群落特征,"在稻作系统中，长期集约化管理会导致土壤微生物功能下降和潜在有毒金属的迁移，严重损害稻田土壤健康。然而，土壤健康评估往往倾向于强调以肥力为导向的指标，经常忽视与污染相关的安全信号以及土壤微生物的贡献。此外，微生物多样性指数在区分土壤健康等级方面的能力有限，导致缺乏针对特定健康水平的微生物特征的明确定义。本研究提出了一种新的土壤健康评估方法，利用树结构机器学习和Shapley加性解释(SHAP)模型来评估和预测大量土壤和微生物指标对不同土壤健康水平的敏感性。该框架已系统应用于县级稻田调查。结果表明，在测试集上，极限梯度提升(XGBoost)模型的判定系数(R2)为0.844，相对百分位(RPQ)为45.218，优于随机森林(R2, 0.816)和轻梯度提升机器(R2, 0.839)。SHAP模型确定了7个关键土壤指标(AN, MBC, CBH, EC, AP, NO3, 和 pH)，它们与选定的最小数据集重叠。此外，SHAP模型强调Tremellodendropsidales、Phialoparvum、Cystofilobasidium、Setoseptoria和Tausonia为突出的真"
P00974,Watershed-scale risk assessment of cadmium contamination in Chinese cropland soils: Dual pathways of irrigation input and flood-driven transport,流域尺度中国农田土壤镉污染风险评估：灌溉输入与洪水驱动的双重途径,
P00976,A multi-task deep learning framework integrating land-use types for synchronous prediction of soil properties,一种整合土地利用类型用于土壤属性同步预测的多任务深度学习框架,目前的土壤光谱估算模型往往忽略了不同土地利用类型（LUT）下土壤在可见光和近红外（Vis-NIR）光谱特征上的差异。为了解决这一局限性，我们提出了一种土地利用类型—多门混合专家（LUT-MMoE）模型，能够实现多种土壤属性的同时、高精度预测。具体而言，我们比较了八种建模方法——偏最小二乘回归（PLSR）、随机森林（RF）、卷积神经网络（CNN）、长短期记忆网络（LSTM）、多任务卷积神经网络（Multi-CNN）、多任务长短期记忆网络（Multi-LSTM）、多门混合专家（MMoE）模型以及本文提出的LUT-MMoE——在七种土壤属性（土壤pH、阳离子交换量（CEC）、有机碳（OC）、碳酸钙（CaCO₃）、全氮（TN）、全磷（TP）和全钾（TK））上的预测性能。本研究基于公开的土地利用与覆盖区域框架调查数据集。我们进一步结合五种光谱预处理方法和五种特征选择技术，系统地评估并提升了模型性能。最优的LUT-MMoE配置在pH、CEC、OC、CaCO₃、TN、TP和TK上的决定系数（R²）分别达到了0.943、0.714、0.925、0.941、0.886、0.511和0.530。与其他模型
P00977,An innovative mapping framework for soil erodibility integrating spatial association dimensions and machine learning,整合空间关联维度与机器学习的土壤可蚀性创新制图框架,准确的土壤可蚀性（K）空间制图对于评估侵蚀风险和制定保护策略至关重要。然而，现有的经验模型和空间预测面临挑战，包括低估空间变异性、静态局部环境关联以及区域适应性有限。本研究提出了一种创新框架，整合了经验模型、空间关联的第二维度（SDA，结合多尺度邻域特征）和机器学习，以选择最佳的K值制图方法。首先，基于中国东北黑土区（Mollisols）的土壤调查和实验室分析，使用了三种经验模型：侵蚀生产力影响计算器（K_EPIC）、Shirazi（K_Shirazi）和Torri（K_Torri）来计算K值。其次，SDA通过在半径定义的邻域（100–3000 m）内提取分位数特征（0− 1）来重建环境协变量，从而捕捉多尺度空间动态。第三，采用随机森林（RF）和梯度提升决策树（GBDT）进行数字制图，每种配置生成40个集成模型（10个随机种子 × 4折交叉验证）以增强模型鲁棒性。结果表明，与传统的静态局部关联模型相比，基于SDA的模型将R2提高了12–89%。综合考虑数据分布、模型精度和空间预测，K_Shirazi在SDA-GBDT中表现出最佳的区域代表性（R2 = 0.4562）。此外，气候和景观是
P01013,"Sources, flux, and potential risks of heavy metals in soils around the smelting and mining area",冶炼和矿区周围土壤中重金属的来源、通量及潜在风险,本研究联合采用野外采样和通量监测的方法，评估了集约化冶炼和采矿活动对中国水口山地区土壤重金属（HM）迁移的影响。采矿和冶炼导致了重金属含量及其环境有效性的增加。在距离冶炼和采矿中心8.0公里范围内，距离越近，重金属积累越明显。冶炼和采矿还导致了土壤酸化。成土母质、农业活动、采矿相关活动和冶炼活动是土壤重金属的主要来源。采矿和冶炼是表层土壤中Cd (86.7%)、As (46.5%)、Cu (56.4%)、Pb (88.8%) 和 Zn (60.8%) 的主要来源。成土母质和历史采矿贡献了深层土壤中约70%的重金属。含砷肥料的农业使用也是土壤砷的重要来源。受冶炼和采矿影响的大气沉降已成为重金属输入土壤的主要途径。由于长期暴露于土壤重金属，30.8%的当地成年人可能面临不可接受水平的致癌风险（10^-4）。Cd和As是两个主要的风险因子。结果表明，在当前的监管政策下，冶炼和采矿会持续增加土壤中重金属的积累和环境有效性。有必要进一步研究量化这些负面影响，并制定有效的对策以降低土壤重金属含量。
