序号,英文标题,中文标题,中文摘要
P01457,"A regional soil and river sediment geochemical study in Baoshan area, Yunnan province, southwest China",中国西南云南省保山地区区域土壤与河流沉积物地球化学研究,本研究旨在更好地从区域尺度理解中国西南云南省保山地区地表环境中选定化学元素的浓度和分布，以及自然因素（地质背景、地貌）和人为因素（采矿活动、土地利用、农业施肥）对其分布的影响。该地区的矿产资源（如铜、铅、锌、汞、金、银）以及碳酸盐和玄武岩成土母质往往导致潜在毒性金属（PTM）含量升高，这些金属广泛分布在过去20-30年间采矿活动快速发展的地区。本研究利用了国家土地质量地球化学调查项目（NGSLQ）的1574个表层土壤数据和425个深层土壤数据，以及区域地球化学国家勘测计划（RGNR）收集和分析的1585个存档河流沉积物数据。在对数比转换后，利用成分数据分析、主成分分析和空间分析对这些数据进行了研究。在保山地区，与中国土壤地球化学基准计划（CGB）和RGNR数据集相比，元素As、B、(Br)、Co、Cr、Cu、Hg、(I)、Mn、(N)、Ni、Sb、(Sc)、(Se)、V、Fe2O3Total和COrganic富集；而元素Sr和Na2O较CGB和RGNR数据集贫化。揭示了研究区表层土壤、深层土壤和河流沉积物成分的影响因素。表层土壤、深层土壤和河流沉积物中大多数元素的分布受自然因素影响：C
P01475,"Dynamic capacity modelling of soil environment carrying capacity, and developing a soil quality early warning framework for development land in China",中国建设用地土壤环境承载力动态建模及土壤质量预警框架的建立,了解土壤环境质量及其变化趋势对于土地的安全和可持续利用至关重要。然而，涉及环境、经济和社会压力的土壤环境承载力的综合信息相对较少。本研究提出了一种改进的动态承载力模型，通过综合考虑土壤环境容量、累积输入/输出速率和风险特征来估算土壤环境承载力。基于提出的方法，本文展示了北京市城区目前的污染状况和剩余土壤容量，并建立了一个概念性的土壤环境质量“早期预警”模型，以预测不同积累情景下土壤污染物随时间的变化模式。结果表明，北京市土壤环境承载力随土地利用类型和污染物种类而变化。与Cu、Zn和Pb相比，Cd对居民区和绿公园的土壤环境承载力构成了最大威胁。目前北京建成区土壤重金属承载力尚未超载，在假设的“减少输入”情景下，中短期内也不会显著恶化。所提出的方法为绘制土壤质量水平以及评估中国及其他地区风险管理措施的需求提供了一种简单、经济有效且定量的工具。
P01479,"Impact of irrigation and fertilization regimes on greenhouse gas emissions from soil of mulching cultivated maize (Zea mays L.) field in the upper reaches of Yellow River, China",黄河上游覆膜玉米田灌溉与施肥制度对土壤温室气体排放的影响,农业土壤的温室气体排放受施肥、灌溉和耕作方式等田间措施的强烈影响。理解土壤温室气体排放的机制及其影响因素对于清洁农业生产和全球温室气体减排至关重要。本文研究了黄河上游覆膜种植玉米（Zea mays L.）田在不同灌溉和施肥制度下的土壤温室气体排放。实施了大田灌溉和滴灌两种方式及其不同调度方案。大田灌溉包括三个不同的灌溉深度（180、315 和 450 mm），滴灌由张力计在三个不同的基质势（-15、-25 和 -35 kPa）下触发。在基质势为 -25 kPa 的滴灌处理中施用了三个氮肥水平（350、250 和 150 kg ha-1）。在干旱地区，无论灌溉和氮肥施用如何，土壤都充当了 CH4 的汇。在两种灌溉方法中，N2O 排放量与灌水量呈显著正相关，但灌溉调度对 CO2 排放的影响不显著。在相同水和氮肥水平下，滴灌相比大田灌溉的 CO2 累积排放量增加了 24.7%，但 N2O 累积排放量减少了 23.5%。高氮肥处理（350 kg ha-1）的 CO2 累积排放量比滴灌地块中的中低氮水平增加了 19.3%。滴灌中 N2O 排放量与氮肥施用量呈显著正相关。通过对产量、水和肥料生产力
P01483,"Machine learning-based source identification and spatial prediction of heavy metals in soil in a rapid urbanization area, eastern China",基于机器学习的中国东部快速城市化地区土壤重金属源识别与空间预测,
P01552,"Geographic distribution of heavy metals and identification of their sources in soils near large, open-pit coal mines using positive matrix factorization",大型露天煤矿周边土壤中重金属的地理分布及基于正定矩阵因子分析的污染源识别,"采矿活动被认为是导致表层土壤重金属积累的最重要因素，了解典型草原中重金属的空间分布和来源至关重要。本研究通过地质统计分析、多元统计分析以及正定矩阵因子分析（PMF）模型，确定了在胜利煤炭基地附近草原采集的152个土壤样品中重金属的含量、空间分布及来源。结果表明，重金属的平均浓度较低，不会威胁当地土壤质量。然而，八种重金属（Cu 15.04 mg·kg-1, Zn 49.30 mg·kg-1, Cd 0.11 mg·kg-1, Pb 20.00 mg·kg-1, Se 0.12 mg·kg-1, Ge 1.45 mg·kg-1, As 9.06 mg·kg-1, 和 Sn 2.52 mg·kg-1）的浓度高于内蒙古土壤中的平均背景值。重金属的高变异系数，特别是Ge（1.03）和As（0.56），表明元素浓度受到露天矿存在的影响。多元统计和地质统计分析显示Ge和As高度相关（R2=0.67，P<0.01），表明它们具有相同的来源。使用地质统计和PMF模型，我们在研究区域确定了五个潜在的污染源：1）工业污染（21.2%），包括冶炼活动和露天煤矿，由Zn、Cd、Ge和Cu水平升高表明；2）锗矿"
P01553,Estimation the spatial distribution of heavy metal in agricultural soils using airborne hyperspectral imaging and random forest,利用机载高光谱成像和随机森林估算农田土壤重金属的空间分布,"具有数百个波段和高光谱分辨率的高光谱成像技术为估算农业土壤中的重金属浓度提供了一种有希望的方法。利用大范围的机载图像进行快速反演对环境监测和进一步的决策支持具有重要意义。然而，很少有研究专注于利用机载高光谱成像估算土壤重金属浓度。在这项研究中，我们利用在中国柳新矿区获取的机载高光谱数据（来自 HySpex VNIR-1600 和 HySpex SWIR-384 传感器）建立了基于光谱分析的重金属浓度反演模型。首先，在现场采集了60个土壤样品，并通过电感耦合等离子体质谱分析测定了它们的重金属浓度（Cr, Cu, Pb）。由于混合像素在机载高光谱图像中普遍存在，因此进行了光谱解混以获得更纯净的土壤光谱并提高估算精度。本文介绍了十种估算模型，包括四种不同的随机森林（RF）模型——标准随机森林（SRF）、正则化随机森林（RRF）、引导随机森林（GRF）和引导正则化随机森林（GRRF）。比较估算结果，Cr、Cu 和 Pb 的最佳精度由 RF 获得。结果表明，在该区域 RF 可以比其他模型更好地预测这三种重金属。对于 Cr、Cu、Pb，RF 的最佳模型的 R2p 值分别为 0.75、0.68 和 "
P01554,A partition computing-based positive matrix factorization (PC-PMF) approach for the source apportionment of agricultural soil heavy metal contents and associated health risks,一种基于分区计算的正定矩阵因子分解(PC-PMF)方法用于农业土壤重金属含量源解析及相关的健康风险评估,在大尺度区域解析土壤重金属来源是一项具有挑战性的任务。本研究开发了一种改进的受体模型，用于在大尺度上估算各种源对土壤重金属的贡献及相关健康风险。采用了一种基于分区计算方法的正定矩阵因子分解模型；整个研究区域被划分为若干区域进行源解析，然后统称为分区计算-PMF (PC-PMF)。选取中国天津的农业土壤作为案例研究。PC-PMF结果显示，灌溉、大气沉降和污泥施用是主要的人为来源，贡献率分别为26.60%、19.56%和2.86%。随后，我们将PC-PMF与人体健康风险评估模型(HHRA)相结合，以获取每个源类别的人体健康风险。自然背景被认为是影响该地区人体健康的主要因素，对非致癌风险和致癌风险的贡献率分别为38.03%和28.68%。结果表明，PC-PMF在土壤重金属源解析方面的表现优于PMF。本研究提供了一个很好的例子，说明如何利用空间变异性来减少源解析的不确定性。
P01557,Remediation of cadmium and lead polluted soil using thiol-modified biochar,利用巯基改性生物炭修复镉和铅污染土壤,通过β-巯基乙醇酯化反应制备了巯基改性稻秸生物炭(RS)，用于修复镉和铅污染的土壤。通过元素分析、BET分析、FE-SEM、FT-IR和XPS对改性生物炭进行了表征。分析结果表明，巯基已成功接枝到生物炭表面并参与了金属离子的络合。批处理吸附实验表明，RS对Cd2+和Pb2+的吸附很好地符合准二级动力学模型和Langmuir等温线。在单金属系统中，Cd2+和Pb2+的最大吸附容量分别为45.1 mg/g和61.4 mg/g。在二元金属系统中，RS选择性吸附Cd2+而非Pb2+。Cd2+和Pb2+主要通过表面络合去除。在土壤培养实验(28天)中，RS将有效Cd降低了34.8-39.2%；同时，RS将有效Pb降低了8.6-11.1%。这项研究证明了RS是修复重金属污染土壤的潜在有效改良剂。
P01558,Quantitative Source Apportionment of Heavy Metal(loid)s in the Agricultural Soils of an Industrializing Region and Associated Model Uncertainty,工业化区域农业土壤中重金属的定量源解析及相关模型不确定性,"重金属是地壳的天然成分，对其在表层土壤中的来源进行分配是一项具有挑战性的任务。本研究评估了正定矩阵因子分解（PMF）模型在邯郸（面积>12,000平方公里）农业土壤重金属定量源解析中的应用，该模型辅助以回归模型和地理空间映射。研究发现表层土壤中As、Cd、Cu、Pb和Zn明显富集，仅Cd就占总潜在生态风险的73%。PMF模型揭示，该地区农业土壤中的Cd（56.9%）和Pb（47.8%）主要来自工业源，Fe（71.8%）、Cr（60.0%）、V（52.9%）、Cu（50.7%）、Ni（42.2%）和Mn（41.4%）主要源自成岩母质，而Co（54.1%）、As（42.9%）和Zn（40.0%）主要来自自然背景、农业源和车辆排放的混合源。不确定性分析显示，PMF模型估算的污染源对土壤重金属的贡献具有相当大的变化。虽然基于空间分布可以用PMF实现土壤重金属的定量源解析，但结合排放清单和反应性迁移可能有助于获得更准确的结果。"
P01565,Assessment of heavy metal(loid)s contamination risk and grain nutritional quality in organic waste-amended soil,有机废物改良土壤中重金属(loid)污染风险及谷物营养品质评估,在中国黄土高原的有机废物改良土壤中，评估重金属污染对人体健康风险的研究尚未广泛开展。鉴于此，我们进行了一项为期3年的田间试验，旨在估算常规化肥(CF)、传统中药渣(TCMR)和羊粪(SM)处理下土壤和玉米的重金属污染状况、玉米籽粒的营养品质以及由此带来的健康风险。我们发现，与SM施用相比，TCMR处理下玉米籽粒中的蛋白质、氨基酸和赖氨酸含量分别增加了12.3%、11.3%和5.88%。同时，该处理降低了土壤和玉米籽粒中Cr、Pb、Cd、As和Hg的水平。所有施肥方案均导致儿童面临更高的健康风险，HI值在1.06至1.52之间，且Cr和As的致癌风险(CR)水平 > 1.0 x 10^-4，在SM处理中尤其高。这表明TCMR比SM更有益。基于荟萃分析和蒙特卡洛模拟对羊粪中毒性金属水平及其应用风险的进一步调查表明，Cd、Hg和Pb是最值得警惕的重金属，且中国西南地区的污染风险更大。
