序号,英文标题,中文标题,中文摘要
P03177,"The rhizospheric microbial community structure and diversity of deciduous and evergreen forests in Taihu Lake area, China",中国太湖地区落叶和常绿森林根际微生物群落结构与多样性,"土壤细菌是生物地球化学循环的重要驱动者，参与土壤中的多种营养转化。同时，细菌多样性和群落组成与土壤理化性质和植被因子有关。然而，土壤和植被因子如何影响细菌的多样性和群落组成尚不清楚，特别是对于亚热带森林生态系统中与常绿和落叶树木相关的细菌。本文通过Illumina MiSeq测序16S rRNA基因的V3-V4区，分析了不同类型树木根际土壤的微生物群落。共获得121,219个有效的16S rRNA基因序列，被归类为29个细菌门和2个古菌门。所有样品中的优势门（每个样品中高质量序列的>5%）是变形菌门、酸杆菌门、厚壁菌门和拟杆菌门。细菌群落组成和多样性很大程度上受土壤pH值和树种的影响。土壤pH值是影响细菌多样性的关键因素，较低的pH值与多样性较低的群落相关。同时，常绿林土壤中的NO3-含量高于落叶林土壤，而NH4+含量低于落叶林土壤，导致pH值较低，并间接影响细菌的多样性和组成。通过网络分析评估了共现模式。从89个属中鉴定出415对显著且稳健的相关性（共现和负相关）。16个共现模式的核心节点，主要属于酸杆菌门、变形菌门、厚壁菌门和拟杆菌门，可能在维持根际微生物群落的稳定性方面发挥重要作"
P03181,"Assessment of the distribution, bioavailability and ecological risks of heavy metals in the lake water and surface sediments of the Caohai plateau wetland, China",中国草海高原湿地湖泊水体和表层沉积物中重金属的分布、生物有效性及生态风险评价,"本研究调查了中国草海湿地（一个重要的候鸟国家级自然保护区）水体和沉积物中的重金属（Hg, As, Cd, Pb, Cr, Cu 和 Zn），评估其空间分布、来源、生物有效性和生态风险。结果表明，大部分高浓度区位于湖岸东部。浓度因子（CF）揭示 Hg、Cd 和 Zn 在本研究中从中等风险水平到显著风险水平不等；因此，基于高污染负荷指数（PLI）值，草海湿地被视为已受污染。根据相关的效应范围分类，Cd 可能存在重大的环境危害。化学形态分析表明，Cd 和 Zn 在大多数采样点不稳定，这意味着它们具有快速解吸和释放的更高风险。主成分分析（PCA）表明，重金属污染源于自然和人为源。"
P03226,Causes and distribution of soil pollution in China,中国土壤污染的成因与分布,
P03647,Effects of heavy metal Cd pollution on microbial activities in soil,重金属镉污染对土壤微生物活性的影响,当重金属通过人类活动进入土壤时，就会发生土壤重金属污染，导致生态环境逐渐恶化。微生物活性反映了土壤中各种生化反应的强度，其变化反映了影响土壤的重金属污染水平。通过调查森林土壤和花园土壤的呼吸强度、脲酶活性和过氧化氢酶活性，研究了不同浓度的重金属镉对土壤微生物活性的影响。结果表明，花园土壤的呼吸强度、脲酶和过氧化氢酶活性均高于森林土壤。镉对微生物活性有明显的抑制作用。这3个参数随着镉浓度的增加呈下降趋势。当镉的质量浓度达到1.0 mg/kg时，过氧化氢酶活性增加，表明低浓度的镉可以促进某些微生物的活性。当浓度达到10.0 mg/kg时，呼吸强度和脲酶活性也增加，表明呼吸强度和脲酶活性对不利条件有很强的响应机制。土壤中镉的有效态以及对微生物活性的抑制作用随着培养时间的延长而降低。
P03653,"Stabilization effect on heavy metal contaminated soil of Pb, Zn, Cd using bentonite and attapulgite",膨润土和凹凸棒石对重金属污染土壤中Pb、Zn、Cd的稳定化效果,
P03668,"CHARACTERIZATION OF SOIL HEAVY METAL CONTAMINATION AND POTENTIAL ECOLOGICAL RISK IN THE URBAN–RURAL TRANSITION ZONE OF TAIYUAN CITY, CHINA",中国太原市城乡结合部土壤重金属污染特征与潜在生态风险评估,工业城市及其周边地区的土壤由于工业化和城市化加剧，承受着高水平的污染。中国北部的太原市及其周边地区是重工业发展的热点地区。为了评估环境质量，我们从太原城乡过渡带采集了地表土壤样品。我们测定了 Cr、Cu、Pb、Zn、As、Cd 和 Hg 的浓度。Cr 和 As 的主要输入来源是成土母质（成因来源），而其他元素主要来自人为来源。与其他元素相比，Hg 可能受人类活动的影响更大。由于具有较高的“毒性响应”因子和高浓度，Hg 和 Cd 比其他重金属具有更严重的环境影响。由于靠近金属来源，城市地区的潜在生态风险高于农村地区。
P04006,"Comparisons of Soil Properties, Enzyme Activities and Microbial Communities in Heavy Metal Contaminated Bulk and Rhizosphere Soils of Robinia pseudoacacia L. in the Northern Foot of Qinling Mountain",秦岭北麓刺槐重金属污染土壤与非根际土壤性质、酶活性及微生物群落比较,重金属（HM）污染对植物代谢和土壤微生物的毒性影响近年来备受关注；然而，关于森林生态系统中重金属污染的土体和根际土壤在物理、化学和生物学性质方面的差异，人们知之甚少。本研究旨在评估重金属污染梯度下刺槐根际效应对土壤性质、酶活性及细菌群落的影响。在重金属污染点位，根际土壤的土壤有机质（SOM）、有效氮（AN）和有效磷（AP）含量显著高于土体土壤 ( p < 0 . 0 5 ) 。与土体土壤相比，所有研究点根际土壤中指示碳循环（β-葡萄糖苷酶）、氮循环（蛋白酶、脲酶）和磷循环（碱性磷酸酶）的四种土壤酶活性分别增加了 47.5%、64.1%、52.9% 和 103.8%。分别使用定量 PCR (qPCR) 和限制性片段长度多态性 (RFLP) 测定了土体和根际土壤中细菌的相对丰度、组成和多样性。土体土壤中细菌 16S rRNA 基因的拷贝数显著低于根际土壤 ( p < 0 . 0 5 ) ，且与全铅/DTPA提取态铅浓度呈显著负相关 ( p < 0 . 0 1 ) 。α-变形菌纲、γ-变形菌纲和厚壁菌门是不同研究点位中最占优势的细菌类群。根际土壤的细菌多样性指数物种丰富度 (S) 和 Mar
P04045,Assessment of Radioactive Materials and Heavy Metals in the Surface Soil around the Bayanwula Prospective Uranium Mining Area in China,中国巴彦乌拉预查铀矿区周围表层土壤中放射性物质和重金属的评估,这是首个针对中国巴彦乌拉预查铀矿区周围表层土壤中放射性物质和重金属的系统性大规模研究。本研究利用高纯锗(HPGe) γ能谱仪和电感耦合等离子体质谱仪(ICP-MS)分析了48个表层土壤样品中的天然和人工放射性核素及重金属。测得的238U、226Ra、232Th、40K和137Cs的平均活度浓度分别为25.81 ± 9.58、24.85 ± 2.77、29.40 ± 3.14、923.0 ± 47.2和5.64 ± 4.56 Bq/kg。估算的平均吸收剂量率和年有效剂量率分别为76.7 ± 3.1 nGy/h和83.1 ± 3.8 µSv。还计算了镭当量活度、外部危险指数和内部危险指数，其平均值均在可接受范围内。估算的终生癌症风险为3.2 × 10^-4 / Sv。测定了表层土壤样品中Cr、Ni、Cu、Zn、As、Cd和Pb的重金属含量并评估了其健康风险。除铅约为中国平均水平的3倍外，所有重金属的浓度均远低于中国平均水平。估算的重金属非致癌和致癌风险均在可接受范围内。此外，通过Pearson线性系数确定了放射性核素与重金属之间的相关性。发现放射性核素与重金属在0.01显著性水平上存在强正
P04048,"Disposal Situation of Sewage Sludge from Municipal Wastewater Treatment Plants (WWTPs) and Assessment of the Ecological Risk of Heavy Metals for Its Land Use in Shanxi, China",山西省市政污水处理厂污泥处置状况及土地利用中重金属生态风险评估,土地利用是山西污泥处置的主要方式，占所有处置方式的42.66%。为确定污泥中重金属的生态风险，本研究测定了土地利用应用最广泛的9个市政污水处理厂污泥中7种重金属的含量。测定浓度顺序为：Zn > Cr > Cu > Ni > Pb > As > Cd，所有重金属含量均在中国农用污泥污染物控制标准(GB4284-84)的限值之内。研究采用了四种指数来评估重金属的污染和生态风险。根据地累积指数(Igeo)的平均值，重金属排序为：Cd > Zn > Cu > As > Cr > Ni > Pb。数值显示，3号站点的Zn和1、2、3、4、8、9号站点的Cd污染严重；8和9号站点的Cu，1、2、4、8和9号站点的Zn以及5和7号站点的Cd呈中等到重度污染，其他重金属的积累不显著。单因子污染指数(PI)表明，除9号站点的Cu，3和8号站点的Zn以及1和9号站点的Cd处于中等水平外，其他站点均无重金属污染。根据内梅罗综合污染指数(PN)的结果，除3、8和9号站点处于警戒线外，所有站点的污泥在重金属污染方面对于土地利用是安全的。单项潜在生态风险系数(Eir)显示，大多数站点的重金属生态风险较低。然而，9
P04053,"Risk Assessment of Metals in Urban Soils from a Typical Industrial City, Suzhou, Eastern China",中国东部典型工业城市苏州市城市土壤中金属的风险评估,与其他类型的土壤相比，城市土壤中金属的风险研究较少，阻碍了对人类金属接触的准确评估。本研究分析了苏州市167个表层土壤样品中五种金属（As、Cd、Cr、Pb和Hg）的浓度，并评估了其潜在的生态和人类健康风险。除Cr外，As、Cd、Pb和Hg的平均浓度高于江苏省的背景值。金属浓度在各区之间存在差异，高污染位点呈点状分布。主成分分析和相关性分析表明，As、Pb和Cd可能来源于同一来源。计算了地质累积指数和潜在生态风险指数，较低的Igeo值（<0）和RI值（<150）表明生态风险总体较低。金属的非致癌风险对苏州居民相对较低（成人平均危险指数HI为0.1199，儿童为0.5935，均<1），而Cr和As的总致癌风险（TCR）在可接受范围内（1.0 x 10^-6至1.0 x 10^-4）。儿童面临的威胁高于成人。蒙特卡洛模拟结果低于使用确定性参数模型获得的结果。在所有不确定参数中，摄入率和体重分别对成人和儿童最敏感，而As对两者都是一个重要因素。这些结果以及控制金属风险的因素有助于更好地理解中国工业城市城市土壤中金属的风险。
