factor,cat1,cat2,cat1_A,cat2_A,cat1_B,cat2_B,confidence
苯,1.0,40.0,,,,,single(A需核实)
甲苯,20.0,200.0,,,,,single(A需核实)
乙苯,20.0,200.0,,,,,single(A需核实)
二甲苯,20.0,226.0,,,,,single(A需核实)
萘,20.0,226.0,,,,,single(A需核实)
苯并[a]芘,0.55,5.5,,,,,single(A需核实)
苯胺,20.0,200.0,,,,,single(A需核实)
石油烃(C10-C40),450.0,3000.0,,,,,single(A需核实)
多氯联苯(总量),70.0,1500.0,,,,,single(A需核实)
滴滴涕(总量),15.0,70.0,,,,,single(A需核实)
六氯环己烷(总量),34.0,170.0,,,,,single(A需核实)
氯乙烯,0.5,5.0,,,,,single(A需核实)
三氯乙烯,10.0,100.0,,,,,single(A需核实)
四氯化碳,2.0,5.0,,,,,single(A需核实)
"1,2-二氯乙烷",6.5,96.0,,,,,single(A需核实)
正确且不包含额外解释。</think>苯,1.0,20.0,,,,,single(A需核实)
用户还给出了一个例子：苯并[a]芘,0.55,5.5,,,,,single(A需核实)
二氯乙烷,6.5,,,,,,single(A需核实)
一类,6.0,,,,,,single(A需核实)
二类,30.0,,,,,,single(A需核实)
邻-二甲苯,20.0,200.0,,,,,single(A需核实)
间-二甲苯,20.0,200.0,,,,,single(A需核实)
对-二甲苯,20.0,200.0,,,,,single(A需核实)
蔡,25.0,25.0,,,,,single(A需核实)
