d_code,factor_code,min,max,unit,direction,source_standard,source_document,derivation,evidence_level
D1_土壤含盐量,电导率,0.0,4.0,dS/m,negative,TD/T1036-2013,土地复垦质量控制标准,"min=0(无盐渍化最优), max=4.0(强盐渍化ECe≥4 dS/m, USDA盐渍化分级)",A
D1_土壤含盐量,含盐量,0.0,3.0,g/kg,negative,CJ/T340-2016,绿化种植土壤,"min=0(无盐渍), max=3.0(普通绿化区上限0.15-3.0 mS/cm ≈ 3.0 g/kg上限)",B
D2_土壤碱化度,碱化度,0.0,30.0,%,negative,CJ/T340-2016+USDA,绿化种植土壤+USDA Soil Survey Manual,"min=0(非碱化), max=30(ESP>15为碱化土, USDA分级上限)",B
D2_土壤碱化度,交换性钠,0.0,240.0,mg/kg,negative,CJ/T340-2016,绿化种植土壤,"min=0, max=240(耐盐碱区<120为合格, 2倍上限为极差)",B
D3_土壤机械组成,机械组成,10.0,60.0,%,positive,全国第二次土壤普查+TD/T1036-2013,全国第二次土壤普查养分分级+土地复垦质量控制标准,"min=10(砂土级物理性黏粒下限), max=60(黏土级物理性黏粒上限)",A
D3_土壤机械组成,质地,10.0,60.0,%,positive,全国第二次土壤普查+TD/T1036-2013,同上,同上(别名),A
D3_土壤机械组成,土壤质地,10.0,60.0,%,positive,全国第二次土壤普查+TD/T1036-2013,同上,同上(别名),A
D4_土壤含水率,含水率,5.0,35.0,%,positive,USDA Soil Survey Manual,Soil Survey Manual Ch.3,"min=5(砂土田间持水量下限~5%), max=35(黏土田间持水量上限~35%)",C
D4_土壤含水率,水分,5.0,35.0,%,positive,USDA Soil Survey Manual,同上,同上(别名),C
D5_阳离子交换量,阳离子交换量,5.0,25.0,cmol(+)/kg,positive,全国第二次土壤普查+CJ/T340-2016,全国第二次土壤普查养分分级+绿化种植土壤,"min=5(全国二普6级贫乏上限<5), max=25(全国二普1级丰富下限>20, CJ/T340要求≥10)",A
D5_阳离子交换量,CEC,5.0,25.0,cmol(+)/kg,positive,全国第二次土壤普查+CJ/T340-2016,同上,同上(别名),A
D6_盐基饱和度,盐基饱和度,30.0,90.0,%,positive,全国第二次土壤普查,全国第二次土壤普查养分分级,"min=30(贫乏级<30%), max=90(丰富级>80%, 近饱和)",B
D7_pH,pH,4.0,9.0,无量纲,positive,TD/T1036-2013+CJ/T340-2016,土地复垦质量控制标准+绿化种植土壤,"min=4.0(强酸性下限), max=9.0(强碱性上限), 区间内5.0-8.5最优",A
D8_土壤有机质,有机质,6.0,40.0,g/kg,positive,全国第二次土壤普查,全国第二次土壤普查养分分级,"min=6(6级贫乏<6 g/kg), max=40(1级丰富>40 g/kg)",A
D8_土壤有机质,SOC,3.5,23.0,g/kg,positive,全国第二次土壤普查,同上,"min=3.5(SOM×0.58≈3.5), max=23(SOM×0.58≈23)",A
D9_水稳性团聚体,水稳性团聚体,10.0,60.0,%,positive,土壤结构文献,土壤物理性质分级参考(中国科学院南京土壤研究所),"min=10(结构极差), max=60(结构优良>40%, 2倍中等水平)",C
D10_有效态锌铁锰硼钙,有效锌,0.5,10.0,mg/kg,positive,CJ/T340-2016,绿化种植土壤,"min=0.5(缺乏临界<1), max=10(丰富上限>10)",B
D10_有效态锌铁锰硼钙,有效铁,2.0,350.0,mg/kg,positive,CJ/T340-2016,绿化种植土壤,"min=2.0(极度缺乏), max=350(丰富上限)",B
D10_有效态锌铁锰硼钙,有效锰,0.3,25.0,mg/kg,positive,CJ/T340-2016,绿化种植土壤,"min=0.3(极度缺乏), max=25(丰富上限)",B
D10_有效态锌铁锰硼钙,有效硼,0.2,2.0,mg/kg,positive,CJ/T340-2016,绿化种植土壤,"min=0.2(缺乏临界<0.5), max=2.0(丰富上限>2.0)",B
D10_有效态锌铁锰硼钙,有效钙,100.0,500.0,mg/kg,positive,CJ/T340-2016,绿化种植土壤,"min=100(极度缺乏), max=500(丰富上限)",B
D11_氮磷钾,全氮,0.5,2.0,g/kg,positive,全国第二次土壤普查+NY/T 1749-2009,全国第二次土壤普查养分分级+南方地区耕地土壤肥力诊断与评价,"min=0.5(6级贫乏<0.5 g/kg), max=2.0(1级丰富>2.0 g/kg)",A
D11_氮磷钾,总氮,0.5,2.0,g/kg,positive,全国第二次土壤普查+NY/T 1749-2009,同上,同上(别名),A
D11_氮磷钾,全磷,0.2,1.0,g/kg,positive,全国第二次土壤普查,全国第二次土壤普查养分分级,"min=0.2(6级贫乏<0.2 g/kg), max=1.0(1级丰富>1.0 g/kg)",A
D11_氮磷钾,速效钾,30.0,200.0,mg/kg,positive,全国第二次土壤普查,全国第二次土壤普查养分分级,"min=30(6级贫乏<30 mg/kg), max=200(1级丰富>200 mg/kg)",A
