tech_name,applicable_pollutants,applicable_soil,applicable_land_type,applicable_stage,advantages,limitations,cost_level,duration_level,secondary_risk,forbidden_conditions,source
固化/稳定化(S/S),"重金属(Cd,Pb,As,Cu,Zn,Hg,Ni,Cr)",适用于多数质地;高有机质需调整配比,"生产用地,生态用地,建设用地",施工监理,工程成熟、见效快、设备可移动,降低总量有限、长期稳定性需监测,中,短,固化体长期风化释放风险,强酸性土壤需先调pH;高溶解性有机污染为主时不适用,通用修复导则/工程经验
土壤淋洗,"重金属(Cd,Pb,Zn,Cu),部分有机物",砂质/粗质地效果好,"建设用地,生产用地",施工监理,去除效率高、可处理高浓度,产生废液需处理、细粒土效果差,高,中,淋洗废液二次污染,黏重土壤、地下水位高时慎用,通用修复导则/工程经验
植物修复(超富集/植物提取),"重金属(Cd,Zn,As,Pb)",表层污染、低中浓度,"生态用地,生产用地",效果评估,成本低、生态友好、改善土壤,周期长、受气候限制、仅表层,低,长,植物残体需安全处置,重度污染或深层污染不适用,通用修复导则/工程经验
化学氧化(ISCO),"有机物(PAHs,BTEX,氯代烃,石油烃TPH)",渗透性较好的土壤,"建设用地,生产用地",施工监理,降解彻底、周期较短,氧化剂成本高、可能影响土壤理化,中,短,氧化剂残留与pH扰动,还原性强或高碳酸盐缓冲土壤效果差,通用修复导则/工程经验
生物修复(生物强化/通风),"有机物(石油烃TPH,PAHs,部分OCPs)",通气良好、含水适中,"生态用地,生产用地",效果评估,成本低、原位、扰动小,周期长、对难降解物效果有限,低,长,中间代谢产物风险,重金属高浓度抑制微生物时不适用,通用修复导则/工程经验
热脱附,"有机物(VOCs,SVOCs,PCBs,OCPs,TPH)",多数质地(含水率需控制),建设用地,施工监理,去除率高、适用难降解有机物,能耗高、成本高、破坏土壤结构,高,中,尾气需处理,纯重金属污染不适用,通用修复导则/工程经验
阻隔填埋/风险管控,"重金属,有机物(复合污染)",各类质地,建设用地,后期管护,快速切断暴露途径、成本可控,污染物未去除、需长期管护,中,短,屏障失效泄漏风险,作为永久农用地目标时不宜单独使用,通用风险管控导则/工程经验
农艺调控(钝化+低累积品种),重金属(Cd为主),农用地表层,生产用地,后期管护,边生产边修复、成本低,降低累积非去除、需持续投入,低,长,钝化剂长期效应需监测,污染物超过管制值的农用地不适用,通用安全利用技术/工程经验
客土/换土,"重金属,有机物(局部高浓度)",小面积高污染区,"生产用地,生态用地",施工监理,见效快、彻底,土方量大、成本高、需消纳场地,中,短,污染土外运处置风险,大面积污染经济性差,通用修复导则/工程经验
有机质/调理剂改良,"理化肥力障碍(低有机质,酸化,板结)",退化或重构后土壤,"生产用地,生态用地",后期管护,改善结构与肥力、配合修复,对污染物去除无直接作用,低,中,过量施用致盐分累积,污染物未达标前不替代修复,通用土壤改良技术/工程经验
