sample_id,x_measured_Ace_ngg,x_measured_Acy_ngg,x_measured_Ant_ngg,x_measured_As_mgkg,x_measured_BaA_ngg,x_measured_BaP_ngg,x_measured_BbF_ngg,x_measured_Be_mgkg,x_measured_BghiP_ngg,x_measured_BkF_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Chr_ngg,x_measured_Co_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DIF_ngg,x_measured_DahA_ngg,x_measured_ENRO_ngg,x_measured_Flt_ngg,x_measured_Flu_ngg,x_measured_Hg_mgkg,x_measured_Ind_ngg,x_measured_Mn_mgkg,x_measured_Nap_ngg,x_measured_Ni_mgkg,x_measured_OCP_total_ngg,x_measured_OC_pct,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_Phe_ngg,x_measured_Pyr_ngg,x_measured_SDZ_ngg,x_measured_SMP_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TC_ngg,x_measured_TotalPHC_mgkg,x_measured_V_mgkg,x_measured_Zn_mgkg,x_measured_pH,source_id,paper_id,matrix,site_type,province,n_hm,n_op,latitude,longitude,audit_flag
1-s2.0-S0045653522020495_1-s2.0-S0045653522020495_$\mathtt_{_Y_L_A_s_}$,2.3,2.0,3.4,,,,,,,,,0.1,0.3,,,,,,,2.7,2.8,,,,2.3,,,,,,2.1,2.6,,,,,,,,1.3,,,,,,1-s2.0-S0045653522020495,1-s2.0-S0045653522020495,soil,agricultural,,1,16,,,single_point
1-s2.0-S0045653522020495_1-s2.0-S0045653522020495_XDAs,91.5,79.7,54.2,,,,,,,,,32.2,49.2,,,,,,,74.6,55.9,,,,79.7,,,,,,55.9,91.5,,,,,,,,100.0,,,,,,1-s2.0-S0045653522020495,1-s2.0-S0045653522020495,soil,agricultural,,1,16,,,single_point
1-s2.0-S0048969723059648_1-s2.0-S0048969723059648_10th,,,,4.4,0.15,,,,,,,0.03,,,20.41,8.53,,,,,,0.01,,324.55,,9.04,,,,16.54,,,,,,,,,,,,,324.55,29.03,,1-s2.0-S0048969723059648,1-s2.0-S0048969723059648,soil,agricultural,,8,3,,,single_point
1-s2.0-S0048969723059648_1-s2.0-S0048969723059648_25th,,,,6.2,0.79,,,,,,,0.05,,,26.67,11.56,,,,,,0.01,,391.12,,12.78,,,,19.71,,,,,,,,,,,,,391.12,38.19,,1-s2.0-S0048969723059648,1-s2.0-S0048969723059648,soil,agricultural,,8,3,,,single_point
1-s2.0-S0048969723059648_1-s2.0-S0048969723059648_50th,,,,10.1,2.54,0.25,,,0.25,,,0.09,,,39.26,15.6,,,,,,0.02,,512.55,,18.16,,,,23.41,,,,,,,,,,,,,512.55,49.27,,1-s2.0-S0048969723059648,1-s2.0-S0048969723059648,soil,agricultural,,8,5,,,single_point
1-s2.0-S0048969723059648_1-s2.0-S0048969723059648_75th,,,,14.6,5.33,1.78,,,1.94,,,0.14,,,49.6,19.6,,,,,,0.05,,650.54,,22.9,,,,27.33,,,,,,,,,,,,,650.54,64.36,,1-s2.0-S0048969723059648,1-s2.0-S0048969723059648,soil,agricultural,,8,5,,,single_point
1-s2.0-S0048969723059648_1-s2.0-S0048969723059648_90th,,,,19.0,9.13,4.03,,,3.73,,,0.23,,,60.98,24.49,,,,,,0.12,,,0.15,28.8,,,,31.38,,,,,,,,,,,,,,81.65,,1-s2.0-S0048969723059648,1-s2.0-S0048969723059648,soil,agricultural,,8,4,,,single_point
1-s2.0-S0048969723059648_1-s2.0-S0048969723059648_Coefficient,,,,0.5,1.56,2.17,,,2.18,,,1.08,,,5.34,5.43,,,,,,1.25,,,4.81,6.07,,,,0.41,,,,,,,,,,,,,,5.02,,1-s2.0-S0048969723059648,1-s2.0-S0048969723059648,soil,agricultural,,8,4,,,single_point
1-s2.0-S0048969723059648_1-s2.0-S0048969723059648_Geometric,,,,10.88,1.82,0.61,,,0.51,,,0.15,,,33.16,18.53,,,,,,0.02,,712.58,0.19,23.06,,,,20.7,,,,,,,,,,,,,712.58,43.26,,1-s2.0-S0048969723059648,1-s2.0-S0048969723059648,soil,agricultural,,8,6,,,single_point
1-s2.0-S0048969723059648_1-s2.0-S0048969723059648_Standard,,,,5.38,6.81,3.26,,,2.95,,,0.13,,,220.27,90.28,,,,,,0.05,,2760.76,3.92,117.52,,,,9.94,,,,,,,,,,,,,2760.76,272.6,,1-s2.0-S0048969723059648,1-s2.0-S0048969723059648,soil,agricultural,,8,6,,,single_point
1-s2.0-S004896972500018X_1-s2.0-S004896972500018X_Aromatic_rings,3.0,3.0,3.0,,,,,,,,,6.0,4.0,,,,,,,4.0,3.0,,,,2.0,,,,,,3.0,4.0,,,,,,,,,,,,,,1-s2.0-S004896972500018X,1-s2.0-S004896972500018X,soil,agricultural,,1,15,,,single_point
1-s2.0-S0269749125010206_1-s2.0-S0269749125010206_Max_(mg·kg-1),,,105.0,,,,,,,,,61.5,,,,,,,,161.0,,,,,1150.0,,,,,,,80.2,,,,,,,,,,59400.0,,,,1-s2.0-S0269749125010206,1-s2.0-S0269749125010206,soil,agricultural,,1,7,,,single_point
1-s2.0-S0269749125010206_1-s2.0-S0269749125010206_Min_(mg·kg-1),,,0.1,,,,,,,,,0.1,,,,,,,,0.2,,,,,0.09,,,,,,,0.1,,,,,,,,,,10.0,,,,1-s2.0-S0269749125010206,1-s2.0-S0269749125010206,soil,agricultural,,1,7,,,single_point
