sample_id,x_measured_,x_measured_Ace_ngg,x_measured_Acy_ngg,x_measured_Ane_ngg,x_measured_Ant_ngg,x_measured_Any_ngg,x_measured_Atrazine_ngg,x_measured_BBP_ngg,x_measured_BaA_ngg,x_measured_BaP_ngg,x_measured_Baa_ngg,x_measured_BbF_ngg,x_measured_Bbf_ngg,x_measured_BghiP_ngg,x_measured_Bgp_ngg,x_measured_BkF_ngg,x_measured_Bkf_ngg,x_measured_CEC_cmolkg,x_measured_CTC,x_measured_CTC_ngg,x_measured_Chlorobenzilate_ngg,x_measured_Chr_ngg,x_measured_Clay_pct,x_measured_Co_mgkg,x_measured_DBP_ngg,x_measured_DEHP_ngg,x_measured_DEP_ngg,x_measured_DMP_ngg,x_measured_DNOP_ngg,x_measured_DahA_ngg,x_measured_DiBP_ngg,x_measured_Dicofol_ngg,x_measured_EC_uScm,x_measured_ENRO,x_measured_ENRO_ngg,x_measured_Endosulfan,x_measured_Endosulfan_ngg,x_measured_Fe_mgkg,x_measured_Fla_ngg,x_measured_Fle_ngg,x_measured_Flt_ngg,x_measured_Flu_ngg,x_measured_HCB_ngg,x_measured_HM_total,x_measured_Heptachlor_ngg,x_measured_IcdP_ngg,x_measured_Ind_ngg,x_measured_Mn_mgkg,x_measured_N/A,x_measured_Nap_ngg,x_measured_OCP_total,x_measured_OC_pct,x_measured_OM_pct,x_measured_OPEs_ngg,x_measured_OP_total,x_measured_OTC,x_measured_OTC_ngg,x_measured_PCB101_ngg,x_measured_PCB138_ngg,x_measured_PCB153_ngg,x_measured_PCB180_ngg,x_measured_PCB28_ngg,x_measured_PCB52_ngg,x_measured_Phe_ngg,x_measured_Pyr_ngg,x_measured_SDZ,x_measured_SDZ_ngg,x_measured_SKIP,x_measured_SMZ,x_measured_SMZ_ngg,x_measured_Sand_pct,x_measured_Silt_pct,x_measured_SumDDT_ngg,x_measured_SumEndosulfan_ngg,x_measured_SumHCH_ngg,x_measured_SumOCP_ngg,x_measured_SumPAE,x_measured_SumPAE_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TotalPHC_mgkg,x_measured_V_mgkg,x_measured_none,"x_measured_o, p′-DDD_ngg","x_measured_o, p′-DDE_ngg","x_measured_o, p′-DDT_ngg","x_measured_p, p′-DDD_ngg","x_measured_p, p′-DDE_ngg","x_measured_p, p′-DDT_ngg",x_measured_pH,x_measured_skip,x_measured_α-HCH_ngg,x_measured_γ-HCH_ngg,x_measured_δ-HCH_ngg,x_measured_正文仅min-max范围无采样点级数值,source_id,paper_id,matrix,site_type,province,n_hm,n_op,latitude,longitude,audit_flag,x_measured_SumPFAS_ngg,data_version
0045-6535(92)90409-k_0045-6535(92)90409-k_Bottom_ash**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0045-6535(92)90409-k,0045-6535(92)90409-k,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
0045-6535(92)90409-k_0045-6535(92)90409-k_River_sediment*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,0045-6535(92)90409-k,0045-6535(92)90409-k,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
0045-6535(92)90409-k_0045-6535(92)90409-k_Soi1_No.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,0045-6535(92)90409-k,0045-6535(92)90409-k,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
0045-6535(92)90409-k_0045-6535(92)90409-k_Soil_No.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,0045-6535(92)90409-k,0045-6535(92)90409-k,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
0045-6535(92)90409-k_0045-6535(92)90409-k_Soil_No.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,0045-6535(92)90409-k,0045-6535(92)90409-k,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
0045-6535(92)90409-k_0045-6535(92)90409-k_Soil_No.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,0045-6535(92)90409-k,0045-6535(92)90409-k,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
0045-6535(92)90409-k_0045-6535(92)90409-k_Soil_No._3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,0045-6535(92)90409-k,0045-6535(92)90409-k,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
0045-6535(92)90409-k_0045-6535(92)90409-k_Soil_No._5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,0045-6535(92)90409-k,0045-6535(92)90409-k,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
01490451.2020.1817196_01490451.2020.1817196_S1,,571.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01490451.2020.1817196,01490451.2020.1817196,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
01490451.2020.1817196_01490451.2020.1817196_S2,,361.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01490451.2020.1817196,01490451.2020.1817196,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
01490451.2020.1817196_01490451.2020.1817196_S3,,563.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01490451.2020.1817196,01490451.2020.1817196,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
01490451.2020.1817196_01490451.2020.1817196_T1,,631.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01490451.2020.1817196,01490451.2020.1817196,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
01490451.2020.1817196_01490451.2020.1817196_T2,,1098.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01490451.2020.1817196,01490451.2020.1817196,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
01490451.2020.1817196_01490451.2020.1817196_T3,,711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01490451.2020.1817196,01490451.2020.1817196,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
02757540.2010.504664_02757540.2010.504664_8-HCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,02757540.2010.504664,02757540.2010.504664,soil,other,,0,2,,,single_point,,v2_trusted_augmented_20260715
