DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签_生产,标签_生态,标签,id_DOI,id_Source,split_source,is_synthetic,SoilpH__missing,pH__missing,Sum_PAH_ngg__missing,BaP_ngg__missing,SumOCP_ngg__missing,SumDDTs_ngg__missing,SumPCB_ngg__missing,SumHCHs_ngg__missing,SumPAE_ugkg__missing,SumPBDE_ngg__missing,SumPFAS_ngg__missing,TPH_ngg__missing,HMWPAH_ngg__missing,LMWPAH_ngg__missing
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.31457976117329,105.00180499221874,北京,PAH,6.757532632999805,5.54,,460.0,1667.6405694244863,104.36750726041245,12.740995215870532,47.398496244710415,6.001087970433775,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,31.22915325517336,107.40289352771832,北京,PAH,6.3758859577922085,5.54,,1228.0,1620.6944227328433,63.08487522370306,70.17035417353392,51.4543306046297,5.881890234763863,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,33.30391297147135,108.9778390028034,天津,PAH,6.757532632999805,5.54,,360.0,1667.6405694244863,104.36750726041245,12.740995215870532,47.398496244710415,5.972596231286926,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,33.916454163424554,97.37253698449784,北京,PAH,7.781243467875049,5.54,,1082.6,219.68128537842958,23327.92397916667,557.6147345459492,651.9339501384522,24.768170129543073,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,36.19764536380144,113.41701736712518,北京,PAH,6.415135957792208,5.54,,1989.0,1682.9390477328434,63.08487522370306,77.27963859110187,51.4543306046297,7.449298617710274,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,32.893182658922754,113.27390868715506,北京,PAH,6.569260237319848,5.54,,1285.0,1667.6405694244863,130.2678751934937,58.89081932153215,45.22569423870902,7.444143147972616,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,31.02262121894807,107.41319885929852,北京,PAH,7.781243467875049,5.54,,1026.0,219.68128537842958,23327.92397916667,557.6147345459492,651.9339501384522,24.768170129543073,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,39.52327675743419,111.30200185085668,北京,PAH,6.761834716333138,5.54,,811.0,1667.6405694244863,112.32332905527635,44.06243075151627,46.04158162421299,5.937479224744467,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,34.504883736774424,110.92894783711016,北京,PAH,6.758282632999806,5.54,,673.0,1667.6405694244863,104.36750726041245,11.30206905390373,47.398496244710415,5.812138243902129,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1,1,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,39.35787241588331,113.92655756915548,北京,PAH,6.757532632999805,5.54,,538.0,1667.6405694244863,104.36750726041245,12.407406557819462,47.398496244710415,5.946826396750154,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,0,0,10.1371/journal.pone.0268615,organic_v1.1_10.1371/journal.pone.0268615,real_model_ready,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
