sample_id,site_id,source_id,province,split,split_strategy,split_version
0,1,10.1038/s41597-020-00666-2,四川,train,GroupKFold_source,v0.8
1,2,10.1038/s41597-020-00666-2,内蒙古,train,GroupKFold_source,v0.8
2,3,10.1038/s41597-020-00666-2,甘肃,train,GroupKFold_source,v0.8
3,4,10.1038/s41597-020-00666-2,内蒙古,train,GroupKFold_source,v0.8
4,5,10.1038/s41597-020-00666-2,内蒙古,train,GroupKFold_source,v0.8
5,6,10.1038/s41597-020-00666-2,重庆,train,GroupKFold_source,v0.8
6,7,10.1038/s41597-020-00666-2,甘肃,train,GroupKFold_source,v0.8
7,8,10.1038/s41597-020-00666-2,四川,train,GroupKFold_source,v0.8
8,9,10.1038/s41597-020-00666-2,青海,train,GroupKFold_source,v0.8
9,10,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
10,11,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
11,12,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
12,13,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
13,14,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
14,15,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
15,16,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
16,17,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
17,18,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
18,19,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
19,20,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
20,21,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
21,22,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
22,23,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
23,24,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
24,25,https://figshare.com/articles/22785971,青海,train,GroupKFold_source,v0.8
25,26,https://figshare.com/articles/22785971,西藏,train,GroupKFold_source,v0.8
26,27,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
27,28,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
28,29,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
29,30,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
30,31,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
31,32,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
32,33,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
33,34,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
34,35,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
35,36,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
36,37,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
37,38,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
38,39,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
39,40,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
40,41,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
41,42,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
42,43,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
43,44,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
44,45,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
45,46,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
46,47,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
47,48,https://figshare.com/articles/22785971,云南,train,GroupKFold_source,v0.8
48,49,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
49,50,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
50,51,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
51,52,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
52,53,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
53,54,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
54,55,https://figshare.com/articles/22785971,四川,train,GroupKFold_source,v0.8
